node_1,node_2,edge
assumptions,superhero movie,the requirement for freeing themselves from assumptions in order to create a new superhero movie.
culture now,superhero movie,"the need to make a superhero movie that speaks to the culture now, as opposed to just following the same style or format."
same style,superhero movie,the reference to changing from the 'same style' of superhero movies.
how many times,save the world,the question about how many times a superhero movie can save the world in one way or another.
tone,superhero movie,"the need to free themselves from some assumptions in order to change the tone of the superhero movie, rather than just sticking with the same tone that has existed in the past."
logan,hugh jackman,"At the time, Hugh Jackman neither confirmed nor denied his reprisal of Logan in a new film."
patrick stewart,charles xavier,"Discussions about a possible team-up between Charles Xavier and Logan, featuring Patrick Stewart's portrayal of the former and Jackman's portrayal of the latter."
x-men movies,charles xavier,The four X-Men movies in which Patrick Stewart played the role of Charles Xavier.
logan,x-men,Logan will be a very different sort of X-Men from the four movies that I've already done.
michael green,screenwriting duties,"By April 2015, Michael Green had taken over screenwriting duties, with Mangold still actively overseeing the script development process."
mark millar,creative consultant for fox,"In September 2015, Mark Millar, creative consultant for Fox, confirmed that Mangold's film would be a loose adaptation of the 'Old Man Logan' story he had written in 2008,"
liev schreiber,victor creed / sabretooth,"In January 2016, Jackman confirmed that Mangold had a full screenplay, albeit not complete. In the following month, Liev Schreiber expressed interest in returning to portray Victor Creed / Sabretooth,"
release,wolverine,"In the context, 'release' and 'Wolverine' are related as the article discusses the release of a movie featuring Wolverine."
jackman,sabretooth,"The author reveals that Sabretooth was originally supposed to be in the movie but was removed from the final screenplay, linking Jackman and Sabretooth."
mangold,boyd holbrook,"The author mentions that Mangold chose Boyd Holbrook to play the main antagonist of the movie, indicating a relationship between Mangold and Holbrook."
global corporation,wolverine,"The author explains that the villain in the movie works for a global corporation pursuing Wolverine, linking 'global corporation' and 'Wolverine'."
elizabeth rodriguez,key role,"The author mentions that Elizabeth Rodriguez entered negotiations for a small but key role, indicating a connection between her and other essential characters in the movie."
future,unusual tone,"The author describes the film's setting and style as being set in the future with an unusual tone, possibly implying a connection between these elements."
marvel comics,characters and designs,"The author mentions that Marvel Comics allowed them to use characters and designs for their comic book covers in the movie, but not whole issues, possibly indicating a connection between Marvel Comics and specific aspects of the movie."
new orleans,logan,"Principal photography for Logan took place in New Orleans, Louisiana."
ruse,uncovered,"Relationship between 'Ruse' and 'Uncovered' in the given context. For example, 'Ruse' was discovered to be false or deceptive, which was subsequently uncovered."
new orleans,louisiana,Location where filming is taking place for Mangold's movie. New Orleans in Louisiana has been chosen as the filming location due to its popularity and tax incentive.
may,principal photography,"Start date of principal photography, which falls during the month of May."
greenlawn cemetery,hammond,"Location and time of scheduled daytime shoot for the movie. Greenlawn Cemetery in Hammond will be filmed on May 27, 2016."
u.s. route 425,ferriday and clayton,A portion of U.S. Route 425 between Ferriday and Clayton would be closed for a five-day period during the production of Juarez.
sicily island high school,juarez,Sicily Island High School in Sicily Island would be used as a filming location for Juarez.
a house in sicily island,juarez,A house in Sicily Island would also be utilized during the production of Juarez.
u.s. route 425 just outside of ferriday,crash scene,A crash scene for Juarez would be shot on U.S. Route 425 just outside of Ferriday.
juarez,"natchez, mississippi","Producers of Juarez originally planned to move the production to Natchez, Mississippi for an upcoming scene, requiring the casting truck drivers."
"albuquerque, rio rancho, abiquiú, tierra amarilla and chama",juarez,"Juarez moved on to New Mexico for further filming in Albuquerque, Rio Rancho, Abiquiú, Tierra Amarilla and Chama from July 12 to August."
logan,post-production,"Chas Jarrett, the overall visual effects supervisor for Logan, mentioned the importance of post-production during an interview with McCusker. This highlights a potential working relationship between Logan and post-production."
mccusker,logan,"McCusker spoke about his work on Logan, specifically breaking down scenes and figuring out their structure. This indicates a direct involvement of McCusker in the creation process of Logan."
image engine,logan,"Visual effects company Image Engine worked on most of the visual effects for Logan, as confirmed by Jarrett and other sources. This indicates a significant contribution of Image Engine to the visual aspect of Logan."
mccusker,mangold,"McCusker mentioned working towards getting the cut right with Mangold, highlighting a potential collaboration between the two on Logan."
