node_1,node_2,edge
ralph fiennes,monsieur gustave h.,"Ralph Fiennes portrays the character of Monsieur Gustave H., the renowned concierge of The Grand Budapest Hotel."
tony revolori,zero moustafa,"Tony Revolori plays Zero Moustafa, a newly hired bellhop who is mentored by Gustave."
adrien brody,dmitri desgoffe-und-taxis,"Adrien Brody acts as Dmitri Desgoffe-und-Taxis, Madame D.'s son."
willem dafoe,j. g. jopling,"Willem Dafoe plays the role of J. G. Jopling, a ruthless hitman hired by Dmitri."
saoirse ronan,agatha,"Saoirse Ronan acts as Agatha, an apprentice baker and love interest of Zero Moustafa."
tilda swinton,dowager countess céline villeneuve desgoffe-und-taxis,"Tilda Swinton portrays Dowager Countess Céline Villeneuve Desgoffe-und-Taxis, also known as Madame D."
edward norton,albert henckels,"Edward Norton acts as Albert Henckels, a police investigator who probes Madame D.'s murder."
mathieu amalric,serge x,"Mathieu Amalric plays the role of Serge X, a shifty butler working for Madame D."
jeff goldblum,deputy vilmos kovacs,"Jeff Goldblum portrays Deputy Vilmos Kovacs, the lawyer representing Grand Budapest interests."
harvey keitel,ludwig,"Harvey Keitel acts as Ludwig, a leader of a prison gang at Checkpoint Nineteen."
tom wilkinson,author,"Tom Wilkinson portrays the character of Author, who writes about The Grand Budapest Hotel."
bill murray,m. ivan,"Bill Murray acts as M. Ivan, a Society of the Crossed Keys concierge affiliated with The Grand Budapest Hotel."
owen wilson,m. chuck,"Owen Wilson acts as M. Chuck, another Society of the Crossed Keys concierge affiliated with The Grand Budapest Hotel."
jason schwartzman,m. jean,"Jason Schwartzman portrays M. Jean, the concierge of The Grand Budapest Hotel in 1968 in the film."
léa seydoux,clotilde,"Léa Seydoux plays Clotilde, a maid at Schloss Lutz in the movie."
owen wilson,m. chuck,"Owen Wilson appears as M. Chuck, a concierge belonging to The Society of the Crossed Keys in the film."
larry pine,mr. mosher,"Larry Pine depicts Mr. Mosher, a character featured in the movie."
milton welsh,franz müller,Milton Welsh takes on the role of Franz Müller in the film.
giselda volodi,serge's sister,Giselda Volodi portrays Serge's sister in the movie.
wolfram nielacny,herr becker,"Wolfram Nielacny depicts Herr Becker, a character featured in the film."
florian lukas,pinky,"Florian Lukas plays Pinky, a character presented in the movie."
karl markovics,wolf,"Karl Markovics portrays Wolf, a character featured in the film."
volker michalowski,günther,Volker Michalowski takes on the role of Günther in the movie.
neal huff,lieutenant,"Neal Huff plays Lieutenant, a character presented in the film."
bob balaban,m. martin,"Bob Balaban appears as M. Martin, a character featured in the movie."
fisher stevens,m. robin,"Fisher Stevens portrays M. Robin, a character presented in the film."
warren wolodarsky,m. georges,"Warren Wolodarsky appears as M. Georges, a character featured in the movie."
waris ahluwalia,m. dino,"Waris Ahluwalia plays M. Dino, a character presented in the film."
jella niemann,the young woman,"Jella Niemann portrays The young woman, a character featured in the movie."
lucas hedges,a pump attendant,"Lucas Hedges appears as A pump attendant, a character presented in the film."
