node_1,node_2,edge
alma,ennis,Alma and Ennis divorce in 1975.
ennis,jack,Ennis and Jack meet infrequently for private fishing trips while their respective marriages deteriorate.
alma jr.,jenny,"Alma takes custody of Alma Jr. And Jenny,"
monroe,alma,"Alma marries Monroe, manager of the grocery store where she works."
cassie,ennis,Ennis has a short-lived romantic relationship with a waitress named Cassie.
alma,ennis,"When Alma and Ennis are alone in the kitchen during a Thanksgiving dinner, she confronts him about his relationship with Jack."
alma,cassie,The text doesn't provide any direct relationship between Alma and Cassie.
lureen,jack,"Lureen abandons the rodeo and goes into business with her father, with Jack working in sales."
alma jr.,jenny,Alma takes custody of Alma Jr. And Jenny.
ennis,alma,"Upon hearing about Alma's divorce from Ennis, Jack drives to Wyoming and tells Ennis that they should live together, but Ennis refuses to move away from his children."
ennis,jack,"At the end of a tryst disguised as a fishing trip, Ennis tells Jack that he cannot see him again for months due to work demands."
alma jr.,jenny,"The text doesn't provide any direct relationship between Alma Jr. And Jenny with the befriended couple, Randall and Lashawn Malone."
alma,jenny,"The text doesn't provide any direct relationship between Alma and Jenny with the befriended couple, Randall and Lashawn Malone."
alma jr.,jenny,"The text doesn't provide any direct relationship between Alma Jr. And Jenny with the befriended couple, Randall and Lashawn Malone."
lureen,jack,It is implied that Jack and Lureen's business venture with her father was successful.
alma,monroe,Alma's marriage to Monroe seemed successful as the text mentions no issues in their relationship.
ennis,cassie,"The text doesn't provide any direct relationship between Ennis and Cassie with the befriended couple, Randall and Lashawn Malone."
lureen,jack,The text doesn't provide any direct relationship between Lureen and Jack with Alma Jr. And Jenny.
alma jr.,jenny,"The text doesn't provide any direct relationship between Alma Jr. And Jenny with the befriended couple, Randall and Lashawn Malone."
ennis,alma,"When Ennis receives a call from Jack about Alma's divorce, he refuses to move away from his children, causing them to cease contact."
ennis,alma,"In the kitchen during a Thanksgiving dinner, Alma confronts Ennis about his relationship with Jack."
jack,ennis,"At the end of a tryst disguised as a fishing trip, Ennis tells Jack that he cannot see him again for months due to work demands."
ennis,jack,"relationship between Ennis and Jack, they had a romantic relationship on Brokeback Mountain which continued through letters"
