node_1,node_2,edge
donnie darko,richard kelly,Donnie Darko is the first feature-length script written by Richard Kelly in 1998.
usc school of cinematic arts,richard kelly,Richard Kelly graduated from USC School of Cinematic Arts in Los Angeles.
october 1998,donnie darko,"In October 1998, Richard Kelly felt the time was right to write the script for Donnie Darko."
plane,donnie's mother,the plane that Donnie's mother was on and was from a different dimension
a brief history of time by stephen hawking,time travel and alternate universes,based the film's concept of time travel and alternate universes from reading A Brief History of Time by Stephen Hawking
kelly,film,"Kelly was adamant to set the film in 1988, thinking it would be fresh to explore the era and depict a society that he had not seen in a film before."
1988,era,"Kelly was adamant to set the film in 1988, thinking it would be fresh to explore the era and depict a society that he had not seen in a film before."
fresh,explore,"Kelly was adamant to set the film in 1988, thinking it would be fresh to explore the era and depict a society that he had not seen in a film before."
disorder,supernatural story,Kelly considered such a broad disorder that is difficult to define was 'a great way to ground a supernatural story' in a scientific sense.
script,refine,Producer Sean McKittrick helped refine the script while making the story understandable enough.
ending,pretension,"Kelly felt that had he clarified the film's ending any further, 'the film would collapse under its own pretension',"
kelly,donnie,Kelly has stated that there is 'plenty of me' in Donnie's character.
"midlothian, virginia",grandma death,"Kelly grew up in Midlothian, Virginia, where a local woman called Grandma Death would stand by the road and constantly open and close her mailbox."
school teachers,kelly,Kelly had arguments with his school teachers over the curriculum.
sleepwalking,kelly,Kelly incorporated his personal experiences with sleepwalking into the narrative.
frank,watership down,"The word 'fuck-ass', used in the Darko family dinner scene, was something that two of Kelly's film school friends used during their occasional exchange of insults. Frank was initially going to be a rabbit because of Kelly's longtime interest in Watership Down by Richard Adams."
kelly,complicated story,"Kelly knew that the film's complicated story would be difficult to pitch to producers without a script, so he had producers read it first before discussing it with them further."
kelly,script,"While pitching the script, Kelly and McKittrick insisted that Kelly direct the film, which hindered its chances at being picked up."
film,producers,"Kelly knew that the film's complicated story would be difficult to pitch to producers without a script, so he had producers read it first before discussing it with them further."
script,being picked up,"While pitching the script, Kelly and McKittrick insisted that Kelly direct the film, which hindered its chances at being picked up."
drew barrymore,flower films,"Drew Barrymore agreed to finance the film's production through her company, Flower Films"
karen,the kids,"After being fired, Karen says: ""The kids have to figure it out these days, because the parents, they don't have a clue"""
vince vaughn,donnie,"Early on Vince Vaughn was offered the role of Donnie, but he turned it down as he felt he was too old for the part."
mark wahlberg,donnie,"Mark Wahlberg was approached to play Donnie, but he insisted that he should play Donnie with a lisp."
barrymore,financial backing,"After securing enough financial backing, pre-production accelerated and filming was booked for the summer of 2000 and scheduled to accommodate Barrymore..."
schwartzman,scheduling conflicts,Schwartzman had withdrawn due to scheduling conflicts...
kelly,hopefuls,"Kelly met several hopefuls, including Patrick Fugit and Lucas Black..."
jolene purdy,cherita,Jolene Purdy's audition for Cherita was the first of her career.
kelly,gyllenhaal,Kelly worked with Gyllenhaal to amend parts of his dialogue...
wyle,juvonen,Credits Juvonen for being instrumental for getting Wyle and Swayze on board.
swayze,juvonen,Credits Juvonen for being instrumental for getting Wyle and Swayze on board.
frank,disturbing and animalistic,Kelly wanted Frank to be 'disturbing and animalistic'. This description indicates a relation between the character Frank and his intended portrayal as unsettling and reminiscent of animals.
frank,intense response with the audience,Kelly insisted that Frank's face had to 'disturb people and create an intense response with the audience'. This relationship illustrates how Frank's appearance is intended to have a profound effect on viewers.
easter bunny,frank,"Kelly recalled several people showing him drawings of what they thought Frank should look like, describing them 'like an Easter bunny'. This link portrays the conceptual association between an Easter bunny and Kelly's initial ideas for Frank's appearance."
watership down,frank,This link showcases how the novel Watership Down served as an influence on the creation of Frank's costume and mask design.
ferry,budget,Ferry suggested wearing school uniforms instead of dressing everyone in 1980s clothing because there was not enough money in the budget.
ferry,kelly,Ferry suggested to Kelly that the pupils should wear school uniforms instead of dressing everyone in 1980s clothing.
donnie,conformity,Kelly chose to portray Donnie challenging conformity through the pupils wearing school uniforms.
educational system,donnie,Kelly chose to portray Donnie challenging the educational system through the pupils wearing school uniforms.
steven poster,kelly,"Kelly convinced Steven Poster, cinematographer for Someone to Watch Over Me (1987), to accept the job for a reduced fee."
panavision,poster,Kelly's connection with Panavision allowed Poster to shoot with an unprecedented amount of filming equipment from them at a reduced price.
peggy sue got married (1986),crew,Kelly showed the crew scenes from Peggy Sue Got Married (1986) for its 'idealised ... burnished nostalgia' during night time shots.
cinematography,donnie darko,"The polished cinematography in Donnie Darko 'creates a feeling of hyper-reality, suggesting that all is not what it seems.'"
liquid spears,people's torsos,"The liquid spears that emerge from people's torsos in the film are not only visually striking but also serve a symbolic purpose. They can be interpreted as a representation of a character's psyche or as an illustration of the metaphysical idea of predestination, suggesting that these characters are being guided by some unseen force."
giant escalator,school flooding,"The inspiration for the school flooding in this film can be traced back to a surreal photomontage by Scott Mutter, featuring a giant escalator descending into a rough sea. This visual reference adds an extra layer of meaning and depth to the scene, as it connects the film's themes to those explored in other artistic works."
long beach,filming,"The majority of the filming for 'Donnie Darko' was completed in Long Beach, California in July and August 2000."
