node_1,node_2,edge
loki,chitauri,"Exchange for obtaining the Tesseract, the representative of an extraterrestrial race known as the Chitauri promises to provide Loki with an army to conquer Earth."
loki,tesseract,"Loki steals the Tesseract and uses his scepter to enslave Selvig and other agents, including Clint Barton, to aid him."
nick fury,s.h.i.e.l.d.,"Director of the covert agency S.H.I.E.L.D., Nick Fury arrives at a remote research facility where physicist Dr. Erik Selvig is leading a team studying the Tesseract."
dr. erik selvig,tesseract,"Leading a team studying the Tesseract, Dr. Erik Selvig is enslaved by Loki using his scepter."
clint barton,loki,Agent Clint Barton is enslaved by Loki using his scepter.
steve rogers,loki,Steve Rogers has a confrontation with Loki in Stuttgart after he steals iridium needed to stabilize the Tesseract.
tony stark,loki,"Agent Phil Coulson visits Tony Stark so he can check Selvig's research, leading to a confrontation with Loki."
natasha romanoff,dr. bruce banner,Agent Natasha Romanoff travels to Kolkata to recruit Dr. Bruce Banner so he can trace the Tesseract through its gamma radiation emissions.
chitauri fleet,earth,"The missile destroys the Chitauri mothership and disables their forces on Earth, implying that the Chitauri fleet was attempting to invade or attack Earth."
stark,earth,"Stark becomes unconscious, and his suit loses power, leaving him freefalling towards Earth."
romanoff,loki's scepter,Romanoff uses Loki's scepter to close the wormhole.
thor,loki,Thor transports an imprisoned Loki and the Tesseract to Asgard.
loki,asgardian justice,"In Asgard, Loki will face Asgardian justice."
other,master[d],The Other confers with his master[d] about the failed attack on Earth.
