node_1,node_2,edge
yalitza aparicio,cleodegaria 'cleo' gutiérrez,"Yalitza Aparicio portrays Cleodegaria 'Cleo' Gutiérrez, one of the family's maids in the movie."
marina de tavira,sofía,"Marina de Tavira plays Sofía, the mother of the family in the film."
fernando grediaga,antonio,"Fernando Grediaga portrays Antonio, Sofía's absent husband in the movie."
jorge antonio guerrero,fermín,"Jorge Antonio Guerrero depicts Fermín, Cleo's lover in the film."
marco graf,pepe,"Marco Grafessays Pepe, the youngest child of the family in the movie."
daniela demesa,sofi,"Daniela Demesa portrays Sofi, the second child of the family and only daughter in the film."
diego cortina autrey,toño,"Diego Cortina Autrey depicts Toño, the eldest child of the family in the movie."
carlos peralta,paco,"Carlos Peralta essays Paco, the third child of the family in the film."
nancy garcía,adela,"Nancy García portrays Adela, Cleo's friend and one of the family's maids in the movie."
verónica garcía,teresa,"Verónica García depicts Teresa, Sofía's mother in the film."
josé manuel guerrero mendoza,ramón,"José Manuel Guerrero Mendoza portrays Ramón, Adela's lover in the movie."
latin lover,professor zovek,Latin Lover essays Professor Zovek in the film.
zarela lizbeth chinolla arellano,velez,Zarela Lizbeth Chinolla Arellano portrays Velez in the movie.
clementina guadarrama,benita,Clementina Guadarrama depicts Benita in the film.
nicolás peréz taylor félix,beto,Nicolás Peréz Taylor Félix essays Beto in the movie.
kjartan halvorsen,ove larsen,Kjartan Halvorsen portrays Ove Larsen in the film.
jennifer armour,leslie matos,Jennifer Armour depicts Leslie Matos in the movie.
