node_1,node_2,edge
martin scorsese,best director,Director Martin Scorsese was nominated for the Best Director award at the Academy Awards for The Wolf of Wall Street (2013 film).
leonardo dicaprio,best actor,Actor Leonardo DiCaprio was nominated for the Best Actor award at the Academy Awards and won the Best Actor – Motion Picture Musical or Comedy award at the Golden Globe Awards for his performance in The Wolf of Wall Street (2013 film).
jonah hill,best supporting actor,Actor Jonah Hill was nominated for the Best Supporting Actor award at the Academy Awards and Golden Globe Awards for his performance in The Wolf of Wall Street (2013 film).
the wolf of wall street (2013 film),best adapted screenplay,"The screenplay for The Wolf of Wall Street (2013 film), written by Terence Winter, was nominated for the Best Adapted Screenplay award at the Academy Awards."
the wolf of wall street (2013 film),main article,The Wolf of Wall Street (2013 film) has a main article named 'List of accolades received by The Wolf of Wall Street (2013 film)' that lists its awards and nominations.
academy awards,best picture,The Wolf of Wall Street (2013 film) was nominated for the Best Picture award at the Academy Awards.
bafta awards,best director,Martin Scorsese was nominated for the Best Director award at the BAFTA Awards for The Wolf of Wall Street (2013 film).
bafta awards,best actor,Leonardo DiCaprio was nominated for the Best Actor award at the BAFTA Awards for The Wolf of Wall Street (2013 film).
bafta awards,best adapted screenplay,"The screenplay for The Wolf of Wall Street (2013 film), written by Terence Winter, was nominated for the Best Adapted Screenplay award at the BAFTA Awards."
golden globe awards,best actor – motion picture musical or comedy,Leonardo DiCaprio won the Best Actor – Motion Picture Musical or Comedy award at the Golden Globe Awards for his performance in The Wolf of Wall Street (2013 film).
