node_1,node_2,edge
daniel day-lewis,daniel plainview,The actor Daniel Day-Lewis portrays the character Daniel Plainview in the movie.
kevin j. o'connor,henry,The actor Kevin J. O'Connor portrays the character Henry in the movie.
ciarán hinds,fletcher hamilton,"In the movie, the actor Ciarán Hinds plays the role of Fletcher Hamilton."
colleen foy,mary sunday,"In the movie, the actress Colleen Foy plays the role of Mary Sunday."
david willis,abel sunday,"In the movie, the actor David Willis plays the role of Abel Sunday."
hans howes,bandy,The actor Hans Howes portrays the character Bandy in the movie.
paul f. tompkins,prescott,"In the movie, the actor Paul F. Tompkins plays the role of Prescott."
jim downey,al rose,The actor Jim Downey portrays the character Al Rose in the movie.
david warshofsky,h.m. tilford,"In the movie, the actor David Warshofsky plays the role of H.M. Tilford."
barry del sherman,h.b. ailman,The actor Barry Del Sherman portrays the character H.B. Ailman in the movie.
