node_1,node_2,edge
joaquin phoenix,johnny cash,Joaquin Phoenix portrays the role of Johnny Cash in the movie.
reese witherspoon,june carter,Reese Witherspoon plays the character of June Carter in the movie.
ginnifer goodwin,vivian cash (née liberto),Ginnifer Goodwin essays the role of Vivian Cash (née Liberto) in the movie.
robert patrick,ray cash,Robert Patrick portrays Ray Cash in the movie.
mcghee monteith,reba cash,McGhee Monteith plays Reba Cash in the movie.
dallas roberts,sam phillips,Dallas Roberts portrays Sam Phillips in the movie.
dan john miller,luther perkins,Dan John Miller acts as Luther Perkins in the movie.
larry bagby,marshall grant,Larry Bagby portrays Marshall Grant in the movie.
shelby lynne,carrie cash,Shelby Lynne essays the role of Carrie Cash in the movie.
tyler hilton,elvis presley,Tyler Hilton portrays Elvis Presley in the movie.
waylon payne,jerry lee lewis,Waylon Payne plays Jerry Lee Lewis in the movie.
shooter jennings,waylon jennings,Shooter Jennings portrays Waylon Jennings in the movie.
sandra ellis lafferty,maybelle carter,Sandra Ellis Lafferty acts as Maybelle Carter in the movie.
dan beene,ezra carter,Dan Beene portrays Ezra Carter in the movie.
clay steakley,"w.s. ""fluke"" holland","Clay Steakley essays the role of W.S. ""Fluke"" Holland in the movie."
johnathan rice,roy orbison,Johnathan Rice portrays Roy Orbison in the movie.
johnny holiday,carl perkins,Johnny Holiday plays Carl Perkins in the movie.
ridge canipe,young j.r.,Ridge Canipe portrays young J.R. In the movie.
lucas till,young jack cash,Lucas Till essays the role of young Jack Cash in the movie.
