node_1,node_2,edge
duke leto atreides,arrakis," Duke Leto Atreides is assigned by the Padishah Emperor Shaddam IV to replace Baron Vladimir Harkonnen as the fiefholder of Arrakis, a harsh desert planet and the sole source of 'spice'"
arrakis,spice," Spice is the valuable psychotropic substance that imparts heightened vitality and awareness, and Arrakis is the sole source of it"
spice,spacing guild navigators, Spacing Guild Navigators use spice to guide starships to traverse space instantaneously and safely
house atreides,arrakis," Duke Leto Atreides, as the fiefholder of Arrakis, represents House Atreides in this context"
emperor shaddam iv,duke leto atreides, Emperor Shaddam IV assigns Duke Leto Atreides to replace Baron Vladimir Harkonnen as the fiefholder of Arrakis
emperor shaddam iv,house harkonnen," Emperor Shaddam IV plots for House Harkonnen to retake Arrakis, secretly aided by his Sardaukar troops"
lady jessica,bene gesserit, Lady Jessica is an acolyte of the Bene Gesserit
bene gesserit,centuries-long breeding program, The Bene Gesserit have implemented a centuries-long breeding program to produce the Kwisatz Haderach
paul,lady jessica," Paul is the son of Lady Jessica, who disobeyed the Bene Gesserit's orders to bear a daughter"
paul,duncan idaho," Paul is trained by Duncan Idaho, one of Duke Leto Atreides' aides"
paul,gurney halleck," Paul is trained by Gurney Halleck, another of Duke Leto Atreides' aides"
paul,suk doctor wellington yueh," Paul is trained by the Suk doctor Wellington Yueh, who was previously employed by House Harkonnen"
paul,thufir hawat," Paul is trained by Thufir Hawat, a Mentat employed by Duke Leto Atreides"
fremen,arrakis, The Fremen are the mysterious natives of Arrakis mentioned in the context
