node_1,node_2,edge
frank costello,colin sullivan,Frank Costello introduces himself to a young Colin Sullivan.
colin sullivan,special investigation unit (siu),Colin Sullivan joins the Special Investigation Unit (SIU).
billy costigan,captain queenan,Captain Queenan and Sergeant Dignam select Billy Costigan to go undercover as a criminal.
costigan,costello,"one night, costigan follows costello into an adult theater and witnesses him giving sullivan an envelope containing information of his crew."
costello,sullivan,costigan witnesses costello giving sullivan an envelope containing information of his crew.
queenan,sullivan,queenan advises sullivan to follow costello to find the msp mole.
costigan,queenan,"costigan calls queenan and sets up a meeting to end the undercover operation,"
sullivan,queenan,"sullivan has queenan followed, lying to the other officers that queenan may be the spy."
costello's gang,meeting location,sullivan calls in costello's gang to the meeting location.
costello's men,police,Causes a firefight between police and Costello's men due to Queenan's murder
delahunt,costello,"Costello suspects the police department made up the claim so he would stop looking for the mole, as revealed through Delahunt's statement"
sullivan,costello,"Deciding to turn on him, Sullivan directs the MSP to tail Costello, causing a gunfight that kills most of Costello's crew"
costello,sullivan,"Sullivan confronts a wounded Costello, who admits to being an FBI informant"
costigan,sullivan,"Costigan goes to Sullivan to reveal his undercover status, still unaware of the other's true identity."
sullivan,costigan,"His assignment finished, Costigan goes to Sullivan to reveal his undercover status, still unaware of the other's true identity."
costigan,sullivan,"After Sullivan goes to another room, Costigan notices the same envelope from the theater on his desk."
sullivan,costigan,"After Sullivan goes to another room, Costigan notices the same envelope from the theater on his desk."
costigan,sullivan,"Costigan realizes that Sullivan was Costello's mole,"
sullivan,costigan,"Costigan realizes that Sullivan was Costello's mole,"
costigan,sullivan,"Sullivan returns to find Costigan gone,"
sullivan,costigan,"Sullivan returns to find Costigan gone,"
costigan,madden,"Costigan visits Madden,"
madden,costigan,"Costigan visits Madden,"
madden,sullivan,"Madden has revealed that she's pregnant to Sullivan but not to Costigan knowing that Sullivan may not be the father,"
sullivan,madden,"Madden has revealed that she's pregnant to Sullivan but not to Costigan knowing that Sullivan may not be the father,"
costigan,sullivan,"Costigan says that he has evidence tying Sullivan to Costello. Sullivan shoots Barrigan dead, allowing him to denounce Barrigan as the mole while removing suspicion from himself at Costigan's funeral."
sullivan,madden,"At Costigan's funeral, Sullivan and Madden stand by his grave. As Madden silently cries, Sullivan realizes that they were involved."
dignam,sullivan,"Dignam is waiting for Sullivan inside and, after Sullivan indifferently accepts his fate, Dignam shoots him in the head, avenging Queenan’s and Costigan’s deaths."
