node_1,node_2,edge
frodo baggins,the ring,"Frodo Baggins, a young hobbit, continues his quest to destroy the Ring, which continues to weaken and tempt him."
elijah wood,frodo baggins,Elijah Wood portrays Frodo Baggins in the film series.
ian mckellen,gandalf the white,Ian McKellen portrays Gandalf the White in the film series.
aragorn,dúnedain ranger,Aragorn is a Dúnedain ranger.
viggo mortensen,aragorn,Viggo Mortensen portrays Aragorn in the film series.
sean astin,samwise gamgee,Sean Astin portrays Samwise Gamgee in the film series.
sméagol,gollum,Sméagol is a wretched and treacherous creature who was once one of the river-folk (an extinct race of hobbits) and now guides Frodo and Sam into Mordor while seeking the Ring. The first scenes in the film portray him in his former life as Sméagol as well as his deterioration into Gollum.
andy serkis,sméagol,Andy Serkis portrays Sméagol in the film series and also voices Gollum.
peregrin took,pippin,"Peregrin Took, better known as Pippin, is a cousin of Frodo's who becomes an esquire of Gondor."
billy boyd,peregrin took,Billy Boyd portrays Peregrin Took in the film series and also portrays Pippin.
meriadoc brandybuck,merry,"Meriadoc Brandybuck, better known as Merry, is a cousin of Frodo's who becomes an esquire of Rohan."
dominic monaghan,meriadoc brandybuck,Dominic Monaghan portrays Meriadoc Brandybuck in the film series and also portrays Merry.
gimli,dwarf warrior,Gimli is a dwarf warrior and companion to Aragorn along with Legolas.
john rhys-davies,gimli,John Rhys-Davies portrays Gimli in the film series and also voices Treebeard.
treebeard,ent leader,"Rhys-Davies also voices Treebeard, the ent leader."
john rhys-davies,gimli,"Actor John Rhys-Davies portrays the character of Gimli, a dwarf warrior and companion to Aragorn in 'The Lord of the Rings' trilogy."
john rhys-davies,treebeard,"Apart from playing Gimli, John Rhys-Davies also gave voice to Treebeard, the ent leader in 'The Lord of the Rings'."
orlando bloom,legolas,"Actor Orlando Bloom essayed the role of Legolas, an elven prince of Mirkwood and skilled archer in 'The Lord of the Rings'."
bernard hill,théoden,"In 'The Lord of the Rings', Bernard Hill portrayed Théoden, the King of Rohan."
miranda otto,éowyn,"Actress Miranda Otto played Éowyn, Théoden's niece and a warrior woman who wishes to prove herself in battle in 'The Lord of the Rings'."
miranda otto,aragorn,"In 'The Lord of the Rings: The Return of the King', Miranda Otto's character Éowyn falls in love with Aragorn, but he does not reciprocate her feelings."
david wenham,faramir,"In 'The Lord of the Rings: The Two Towers', David Wenham played Faramir, a son of the Stewards of Gondor and head of the Gondorian Rangers defending Osgiliath."
karl urban,éomer,"Actor Karl Urban depicted Éomer, Éowyn's brother and Chief Marshal of the Riders of Rohan who serves as his uncle's heir in 'The Lord of the Rings'."
hugo weaving,elrond,"In 'The Lord of the Rings: The Fellowship of the Ring', Hugo Weaving portrayed Elrond, the Lord of Rivendell."
liv tyler,arwen,"Actress Liv Tyler appeared as Arwen, Elrond's daughter and Aragorn's true love in 'The Lord of the Rings'."
cate blanchett,galadriel,"In 'The Lord of the Rings: The Fellowship of the Ring', Cate Blanchett enacted the role of Galadriel, the Elven-Queen of Lothlórien."
john noble,denethor,"Actor John Noble depicted Denethor, the corrupt Steward of Gondor and father of Boromir and Faramir in 'The Lord of the Rings'."
ian holm,bilbo baggins,Ian Holm portrays the character of Bilbo Baggins in the movie.
sean bean,boromir,Sean Bean plays the character of Boromir in the movie.
marton csokas,celeborn the wise,Marton Csokas portrays the character of Celeborn the Wise in the movie.
lawrence makoare,witch-king of angmar,"As per the context, Lawrence Makoare plays the character of the Witch-king of Angmar."
makoare,gothmog,"In the Extended Edition of the movie, Makoare portrays the character of Gothmog, who is voiced by Craig Parker."
thomas robins,déagol,Thomas Robins plays the character of Déagol in the movie.
christopher lee,saruman the white,"In the movie, Christopher Lee portrays the character of Saruman the White."
brad dourif,gríma wormtongue,"As per the Extended Edition of the movie, Brad Dourif plays the character of Gríma Wormtongue."
gríma wormtongue,saruman's,"In the movie, Gríma Wormtongue is Saruman's sycophantic and treacherous servant."
brad dourif,gríma wormtongue,Brad Dourif portrayed the character Gríma Wormtongue in the film.
saruman's,sycophantic servant,Gríma Wormtongue was Saruman's sycophantic servant as depicted in the movie.
legolas,brad dourif,"After stabbing Saruman, Brad Dourif's character Gríma Wormtongue was shot by Legolas in the movie."
bruce spence,the mouth of sauron,Bruce Spence played the role of the Mouth of Sauron in the film.
sauron's,ambassador at the black gate,"The character portrayed by Bruce Spence, known as the Mouth of Sauron, was Sauron's ambassador at the Black Gate."
sean astin's daughter,sam and rosie's older daughter elanor,"In the last scene of the film, Sean Astin's daughter played Sam and Rosie's older daughter Elanor."
sarah mcleod's daughter,sam and rosie's younger son,"In the same scene, Sarah McLeod's daughter played Sam and Rosie's younger son."
christian rivers,gondorian soldier guarding the beacon pippin lights,"In the film, Christian Rivers played a Gondorian soldier guarding the Beacon Pippin lights."
royd tolkien,ranger in osgiliath,"In the film, Royd Tolkien appeared as a Ranger in Osgiliath."
howard shore,celebrating soldier at edoras,"In the extended edition, Howard Shore appeared as a celebrating soldier at Edoras."
the designers of the lord of the rings strategy battle game,rohirrim at the pelennor,"In the extended edition, four of the designers of The Lord of the Rings Strategy Battle Game appeared as Rohirrim at the Pelennor."
each cast member,portrait morphed with the real photograph beside their name,"During the closing credits of the film, each cast member got a sketched portrait morphed with the real photograph beside their name, which were sketched by Alan Lee."
