node_1,node_2,edge
swann,safin,"Swann shot Safin, but he later rescued her."
blofeld,swann's father,Blofeld ordered Swann's father to assassinate Safin's family.
spectre operatives,swann and bond,Spectre operatives led by Primo attempted to eliminate Swann and Bond.
spectre party in cuba,obruchev,Spectre agents extracted Obruchev from a London laboratory and stole Project Heracles at the Spectre party in Cuba.
bond,paloma,"Bond infiltrates the party with Paloma, a Cuban agent assisting Leiter."
blofeld,primo's bionic eye,"Blofeld, overseeing the gathering from Belmarsh prison through Primo's bionic eye,"
safin,obruchev,Safin orders Obruchev to reprogram the nanobots
ash,safin,"Ash is revealed to be a double agent working for Safin,"
leiter,bond,"Outmaneuvering Nomi with Paloma's help, Bond brings Obruchev to Ash and Leiter aboard a trawler."
safin,swann,Safin coerces Swann into infecting herself with a nanobot dose to assassinate Blofeld.
blofeld,swann,"Blofeld reports only speaking to his psychiatrist, Swann,"
bond,swann,"Meeting Swann in Belmarsh, Bond unknowingly infects himself with Swann's nanobots."
blofeld,bond,Blofeld reveals to Bond that he planned the explosion at Vesper's grave to make Bond believe that Swann betrayed him.
safin,swann,"Swann insists that Safin is not the father of her daughter Mathilde and shares intelligence about him with Bond. However, Safin kidnaps both Swann and Mathilde after defeating Bond in a confrontation."
bond,swann,"Bond tracks Swann to her childhood home in Norway and reconciles with her. They are pursued by Ash and his forces, and Bond orders Swann and Mathilde to hide while he confronts Ash's men before killing Ash."
swann,mathilde,"Swann has a five-year-old daughter named Mathilde. Bond meets Mathilde in Norway, and Swann insists that Mathilde is not Bond's child."
ash,bond,"MI6 alerts Bond that Ash is approaching his location, and Ash and several armed thugs ambush Bond, Mathilde, and Swann as they flee in their car."
