node_1,node_2,edge
mark zuckerberg,erica albright,"Mark Zuckerberg's ex-girlfriend Erica Albright is mentioned in the context. No explicit relationship between them is stated, but it can be inferred that they had a romantic relationship."
facemash,harvard university,Facemash was created by hacking and downloading photos from house face books at Harvard University. This indicates that Facemash is related to Harvard University.
mark zuckerberg,livejournal blog,"Mark Zuckerberg wrote an insulting post about his ex-girlfriend Erica Albright on his LiveJournal blog, which is mentioned in the context."
harvard connection,cameron and tyler winklevoss,"The trio of Cameron and Tyler Winklevoss and Divya Narendra invited Mark Zuckerberg to work on Harvard Connection, indicating a relationship between them and Harvard Connection."
harvard connection,divya narendra,"The trio of Cameron and Tyler Winklevoss and Divya Narendra invited Mark Zuckerberg to work on Harvard Connection, indicating a relationship between them and Harvard Connection."
mark zuckerberg,eduardo saverin,"Mark Zuckerberg approached his friend Eduardo Saverin with an idea for Thefacebook, indicating a relationship between them and Thefacebook."
harvard connection,stalling,"When the Winklevoss twins and Narendra learned of Thefacebook, they believed that Mark Zuckerberg misled them by stalling development on the Harvard Connection website."
thefacebook,harvard university,"When the Winklevoss twins and Narendra learned of Thefacebook, they believed that it was exclusive to Ivy League students, indicating a relationship between Thefacebook and Harvard University."
thefacebook,ivy league students,"When the Winklevoss twins and Narendra learned of Thefacebook, they believed that it was exclusive to Ivy League students, indicating a relationship between Thefacebook and Ivy League students."
harvard connection,larry summers,"When the Winklevoss twins and Narendra raised their complaint with Harvard President Larry Summers, indicating a relationship between Harvard Connection and Larry Summers."
thefacebook,harvard university,"When the Winklevoss twins and Narendra learned of Thefacebook, they believed that it was created by Mark Zuckerberg while he was still a student at Harvard University, indicating a relationship between Thefacebook and Harvard University."
facebook,thefacebook,"Facebook is the expanded and renamed version of Thefacebook, which was initially limited to Harvard students."
yale,facebook,Zuckerberg expanded Facebook to include Yale students.
columbia,facebook,Zuckerberg expanded Facebook to include Columbia students.
stanford,facebook,Zuckerberg expanded Facebook to include Stanford students.
palo alto,facebook,"Parker advised Zuckerberg to relocate Facebook to Palo Alto, which he did."
henley royal regatta,winklevoss twins,The Winklevoss twins competed in the Henley Royal Regatta for Harvard and discovered that Facebook had expanded to Europe.
intellectual property theft,facebook,The Winklevoss twins accused Facebook of intellectual property theft related to its expansion to Europe.
saverin,zuckerberg,"Saverin becomes enraged when he discovers that the new investment deal allows his share of Facebook to be diluted from 34% to 0.03%, without diluting the ownership percentage of any other owner. He confronts Zuckerberg and Parker, and Saverin vows to sue Zuckerberg. Later, in separate depositions, Saverin claims his shares of Facebook were unfairly diluted when the company was incorporated."
parker,saverin,"Parker tells him that he is no longer a part of Facebook and has security eject him from the building after Saverin's name had already been removed from the masthead as co-founder and CFO, and Saverin vows to sue Zuckerberg."
winklevoss twins,zuckerberg,The Winklevoss twins claim that Zuckerberg stole their idea
delpy,zuckerberg,Marylin Delpy informs Zuckerberg that they will settle with Saverin since the sordid details of Facebook's founding and Zuckerberg's callous attitude will make him unsympathetic to a jury
zuckerberg,albright,"Alone, Zuckerberg sends a Facebook friend request to Albright and repeatedly refreshes the page."
