node_1,node_2,edge
pixar,brad bird,"Brad Bird, an American director, writer, and animator, joined Pixar in March 2000 and pitched his story idea for a computer-animated superhero movie to old friend John Lasseter at Pixar. This resulted in the production of The Incredibles at Pixar."
the incredibles,brad bird,"Brad Bird, an American director, writer, and animator, developed his superhero story idea for a computer-animated movie in the early 1990s, which later became The Incredibles at Pixar."
computer animation,the incredibles,"After Brad Bird's pitch to John Lasseter at Pixar, The Incredibles was produced using computer animation instead of the originally planned 2D cel animation."
the iron giant,brad bird,"Brad Bird's first feature, The Iron Giant, was a box office bomb. This led to him gravitating toward his superhero story idea and reconnecting with old friend John Lasseter at Pixar in March 2000."
superhero story,brad bird,"Brad Bird's superhero story idea dates back to 1993 when he sketched the family during an uncertain point in his film career, as he pondered whether his career goals were attainable only at the price of his family life."
warner bros.,brad bird,"During his production deal with Warner Bros. Feature Animation, Brad Bird directed his first feature, The Iron Giant, which became a box office bomb."
boyhood,the incredibles,The Incredibles is an homage to Brad Bird's favorite comic books and spy films from his boyhood in the 1960s.
dad,strong,"The dad is always expected to be strong, so I made him strong."
moms,stretch,"Moms are always pulled in a million different directions, so I made her stretch like taffy."
teenage girls,invisible,"Teenagers, particularly teenage girls, are insecure and defensive, so I made her turn invisible."
syndrome,nomanisan island,"In the original version of The Incredibles, Syndrome was intended to fly Helen Parr/Elastigirl to Nomanisan Island and die there. However, this position was given to a character named Snug instead, after director John Lasseter suggested that Helen should pilot the plane herself."
computer animation,difficult,Bird found working in computer animation 'difficult'
disney,cgi,"Disney was initially reluctant to make the film because of these issues, thinking that a 'human characters' in CGI was technically challenging."
hair,underwater,The character's hair is submerged in water while they are both underwater and blowing through the wind.
alpha omega,organizational structure,"The team adopted Alpha Omega as the organizational structure for The Incredibles, which was different from the structures used in previous Pixar features due to the film's complexities."
visual effects shots,781,"There were at least 781 visual effects shots in The Incredibles, which were often visual gags such as the window shattering when Bob angrily shut the car door."
clouds,modeling,"The team improved their modeling of clouds for The Incredibles using volumetric rendering, which was a first for the film."
skin,realism,The skin of the characters gained a new level of realism due to a technology used in The Incredibles to mimic 'subsurface'.
volumetric rendering,new level of realism from a technology to mimic 'subsurface scattering',The skin of the characters gained a new level of realism from a technology to mimic 'subsurface scattering' through volumetric rendering.
bird,"baby jack-jack would have to undergo a series of transformations, and in one of the five planned he would turn himself into a kind of goo.","In a shot near the film's end, bird decided that baby Jack-Jack would have to undergo a series of transformations, and in one of the five planned he would turn himself into a kind of goo."
technical directors,stealing precious hours from production that had already entered its final and most critical stages.,"The challenges did not stop with modeling humans, as the technical directors petitioned the film's producer for help, stealing precious hours from production that had already entered its final and most critical stages."
bird,"storyboards define the blocking of characters' motions, lighting, and camera movements.","Bird insisted that the storyboards define the blocking of characters' motions, lighting, and camera movements."
the incredibles,pixar,The Incredibles is a computer-animated superhero film produced by Pixar Animation Studios.
michael giacchino,the incredibles,"Michael Giacchino composed the score for The Incredibles, marking his first collaboration with Pixar."
brad bird,the incredibles,"Brad Bird directed and co-wrote the screenplay for The Incredibles, making it his second feature film after Iron Giant."
john barry,the incredibles,"John Barry was initially chosen to score The Incredibles, but he declined due to wanting to avoid repeating the sound from his earlier works."
simonec,score's recording,Simonec was the conductor/orchestrator for the score's recording.
film's orchestral score,simonec,Simonec was the conductor/orchestrator for the film's orchestral score.
walt disney records,film's orchestral score,"The film's orchestral score was released on November 2, 2004, by Walt Disney Records."
los angeles film critics association award,film's orchestral score,The film's orchestral score won numerous awards for best score including Los Angeles Film Critics Association Award.
bmi film & tv award,film's orchestral score,The film's orchestral score won numerous awards for best score including BMI Film & TV Award.
ascap film and television music award,film's orchestral score,The film's orchestral score won numerous awards for best score including ASCAP Film and Television Music Award.
annie award,film's orchestral score,The film's orchestral score won numerous awards for best score including Annie Award.
las vegas film critics society award,film's orchestral score,The film's orchestral score won numerous awards for best score including Las Vegas Film Critics Society Award.
online film critics society award,film's orchestral score,The film's orchestral score won numerous awards for best score including Online Film Critics Society Award.
