node_1,node_2,edge
theo faron,government minister,Relationship between Theo Faron and his cousin who is a government minister.
kee,safe house,Kee and the group hide Julian's body in a safe house.
kee,pregnant woman,"Kee is revealed to be pregnant, making her the only known pregnant woman in the world."
luke,police officers,Two police officers are killed by Luke and his group.
human project,kee,"Julian intended to take Kee to the Human Project, a scientific research group dedicated to curing humanity's infertility."
united kingdom,totalitarian police state,"The United Kingdom is one of the few remaining nations with a functioning government and has become a totalitarian police state in which immigrants are arrested, imprisoned, deported, or executed."
immigrants,concentration camps,"In the context, immigrants are either imprisoned, deported, or executed in concentration camps."
human project,infertility,"Theo believes that the Human Project is dedicated to curing humanity's infertility, implying that infertility is a condition related to the Human Project."
julian,death,Theo learns from eavesdropping that the Fishes orchestrated Julian's death.
luke,leader,Luke becomes the new leader of the Fishes after orchestrating Julian's death.
jasper palmer,reclusive,"Theo's reclusive, aging hippie friend Jasper Palmer is introduced in the context."
janice,journalism,Jasper's wife Janice was tortured into catatonia by the British government for her journalism.
tomorrow,ship,"The group plans to reach the Human Project ship, the Tomorrow, scheduled to arrive offshore at Bexhill."
bexhill,immigrant detention centre,"The group plans to reach the Tomorrow at Bexhill, which is a notorious immigrant detention centre."
syd,immigration officer,"Jasper plans to use Syd, an immigration officer to whom Jasper sells cannabis, to smuggle them into Bexhill as refugees."
kee,water breaks,"When Kee's water breaks, the group meets with Syd to board a bus to the camp."
miriam,obstruct,"When a guards enters the bus to select people for execution, Miriam obstructs him and is taken away."
guard,execution,A guards enters the bus to select people for execution after Kee's water breaks.
theo,points,"When the guard also wants to take Kee away, Theo points him to the water on the floor, fooling him into thinking she soiled herself."
kee,water on the floor,"When the guard also wants to take Kee away, Theo points him to the water on the floor, fooling him into thinking she soiled herself"
kee,refugees,"The next day, Syd tells Theo and Kee that war has broken out between the British military and the refugees"
kee,fishes,Syd then reveals that Theo and Kee have a bounty on their heads and attempts to capture them. The Fishes capture Kee and the baby.
kee,british soldiers and fishes,"As British fighter jets conduct airstrikes on Bexhill, Theo and Kee row to the rendezvous point in heavy fog. The British soldiers and Fishes temporarily stop fighting and allow the trio to leave."
kee,baby girl dylan,"Theo reveals that he was shot and wounded by Luke earlier; he teaches Kee how to burp her baby, and she tells him she will name the baby girl Dylan, after Theo's and Julian's lost son."
kee,heavy fog,Theo and Kee row to the rendezvous point in heavy fog.
