node_1,node_2,edge
k,rick deckard,"In the same story, K and Rick Deckard are characters in Blade Runner."
k,joi,K has a relationship with Joi as she is his virtual companion in the movie.
luv,rick deckard,Luv is an enforcer who works for Niander Wallace and is sent to capture Rick Deckard.
lt. joshi,k,Lt. Joshi is K's superior in the police force.
mariette,sapper morton,Mariette and Sapper Morton work together at a wallace corporation facility.
dr. ana stelline,niander wallace,Dr. Ana Stelline is a memory designer working for Niander Wallace.
mister cotton,sapper morton,Mister Cotton and Sapper Morton work together at a wallace corporation facility.
niander wallace,dr. ana stelline,Niander Wallace is the founder of the Wallace Corporation and Dr. Ana Stelline works for him.
gaff,k,Gaff is a retired Blade Runner who has previously encountered K.
doc badger,sapper morton,Doc Badger and Sapper Morton work together at a wallace corporation facility.
freysa,niander wallace,Freysa is Niander Wallace's sister and right-hand woman.
coco,sapper morton,Coco and Sapper Morton work together at a wallace corporation facility.
nandez,replicant,Nandez is a Replicant who works at a wallace corporation facility.
rachel,replicant,"Rachel was a replicant created by the Tyrell Corporation, and her likeness is used in the movie."
