node_1,node_2,edge
furiosa,bullet farmer,Furiosa trades produce and water for petrol and ammunition with the Bullet Farmer.
furiosa,people eater,Furiosa trades produce and water for petrol and ammunition with the People Eater.
furiosa,rival gang,Furiosa fends off a rival gang in enemy territory.
furiosa,nux's car,Furiosa destroys Nux's car.
green place,watchtower,"Furiosa spots a Green Place watchtower and identifies herself to the watchwoman, who summons their matriarchal clan, the Vuvalini."
green place,vuvalini,"The Vuvalini recognise Furiosa as one of their own, but inform a devastated Furiosa that the Green Place was the now-uninhabitable swamp from the previous night, and that there are only seven Vuvalini left."
vuvalini,toast,"Five Vuvalini are killed in the battle with Joe, and Toast is captured."
max,rictus,"Max fights Joe's son and enforcer, Rictus."
furiosa,joe's truck,Furiosa boards Joe's truck to rescue Toast.
nux,rig,"Nux sacrifices himself by wrecking the Rig to block the canyon behind them, killing Rictus."
furiosa,joe,"Furiosa boards Joe's truck to rescue Toast, who distracts Joe, allowing Furiosa to kill him."
max,furiosa,"Max transfuses his blood to Furiosa, saving her life."
citadel,rejoice,The people at the Citadel rejoice upon learning of Joe's death.
max,disappears into the crowd,"As Max's companions are lifted to Joe's cliffside fortress, Max disappears into the crowd."
