node_1,node_2,node_3,node_4,edge_1,edge_2,edge_3
jeff goldblum,jeff goldblum,jeff goldblum,jeff goldblum,Jeff Goldblum is reprising his role from the first Independence Day movie.,Jeff Goldblum is reprising his role from the first Independence Day movie.,Jeff Goldblum is reprising his role from the first Independence Day movie.
jamie kennedy,jamie kennedy,jamie kennedy,jamie kennedy,"Jamie Kennedy is returning to play the character of Jimmy Carnahan, who previously appeared in Independence Day and Daylight.","Jamie Kennedy is returning to play the character of Jimmy Carnahan, who previously appeared in Independence Day and Daylight.","Jamie Kennedy is returning to play the character of Jimmy Carnahan, who previously appeared in Independence Day and Daylight."
bill pullman,bill pullman,bill pullman,bill pullman,Bill Pullman is reprising his role as President Thomas J. Whitmore from the first Independence Day movie.,Bill Pullman is reprising his role as President Thomas J. Whitmore from the first Independence Day movie.,Bill Pullman is reprising his role as President Thomas J. Whitmore from the first Independence Day movie.
independence day: resurgence,jeff goldblum,jeff goldblum,jeff goldblum,Jeff Goldblum is returning to play his character from the first Independence Day movie in Independence Day: Resurgence.,Jeff Goldblum is reprising his role from the first Independence Day movie.,Jeff Goldblum is reprising his role from the first Independence Day movie.
independence day: resurgence,jamie kennedy,jamie kennedy,jamie kennedy,Jamie Kennedy is reprising his role as Jimmy Carnahan in Independence Day: Resurgence.,"Jamie Kennedy is returning to play the character of Jimmy Carnahan, who previously appeared in Independence Day and Daylight.","Jamie Kennedy is returning to play the character of Jimmy Carnahan, who previously appeared in Independence Day and Daylight."
independence day: resurgence,bill pullman,bill pullman,bill pullman,Bill Pullman is returning to play his character from the first Independence Day movie in Independence Day: Resurgence.,Bill Pullman is reprising his role as President Thomas J. Whitmore from the first Independence Day movie.,Bill Pullman is reprising his role as President Thomas J. Whitmore from the first Independence Day movie.
general,william fichtner,general,william fichtner,"William Fichtner has been cast to play a General in 'Independence Day: Resurgence', with the role planned to be larger if more films are made.","In May 2015, it was announced that William Fichtner had been cast in a role that is planned to be larger if more films are made. The specific role he will be playing is that of a General.","William Fichtner has been cast to play a General in 'Independence Day: Resurgence', with the role planned to be larger if more films are made."
william fichtner,general,william fichtner,general,"In May 2015, it was announced that William Fichtner had been cast in a role that is planned to be larger if more films are made. The specific role he will be playing is that of a General.","William Fichtner has been cast to play a General in 'Independence Day: Resurgence', with the role planned to be larger if more films are made.","In May 2015, it was announced that William Fichtner had been cast in a role that is planned to be larger if more films are made. The specific role he will be playing is that of a General."
angelababy,independence day: resurgence,will smith,scheduling conflicts with suicide squad,"Chinese actress and model Angelababy was announced to be joining the cast of Independence Day: Resurgence on June 3, 2015 via a tweet from director Roland Emmerich.","The reason behind Will Smith's absence in Independence Day: Resurgence is explained due to scheduling conflicts with Suicide Squad, which was also in production at that time.","Will Smith declined the role in Independence Day: Resurgence due to scheduling conflicts with Suicide Squad, which was also in production at that time."
angelababy,independence day: resurgence,jeff goldblum,jeff goldblum,"Chinese actress and model Angelababy was announced to be joining the cast of Independence Day: Resurgence on June 3, 2015 via a tweet from director Roland Emmerich.",Jeff Goldblum is returning to play his character from the first Independence Day movie in Independence Day: Resurgence.,Jeff Goldblum is reprising his role from the first Independence Day movie.
angelababy,independence day: resurgence,jamie kennedy,jamie kennedy,"Chinese actress and model Angelababy was announced to be joining the cast of Independence Day: Resurgence on June 3, 2015 via a tweet from director Roland Emmerich.",Jamie Kennedy is reprising his role as Jimmy Carnahan in Independence Day: Resurgence.,"Jamie Kennedy is returning to play the character of Jimmy Carnahan, who previously appeared in Independence Day and Daylight."
angelababy,independence day: resurgence,bill pullman,bill pullman,"Chinese actress and model Angelababy was announced to be joining the cast of Independence Day: Resurgence on June 3, 2015 via a tweet from director Roland Emmerich.",Bill Pullman is returning to play his character from the first Independence Day movie in Independence Day: Resurgence.,Bill Pullman is reprising his role as President Thomas J. Whitmore from the first Independence Day movie.
