node_1,node_2,node_3,node_4,edge_1,edge_2,edge_3
joey king,elle,marco,elle,Joey King stars as Elle in The Kissing Booth 3.,"While Marco gets a job in the area, during a day at the waterpark, Noah and Marco clash, prompting Noah to call Elle naive for not seeing that Marco still has feelings for her. Tensions escalate when she struggles to divide her time between the brothers.","Marco shows up at the Fourth of July party where he again fights with Noah and punches him, but Noah refuses to retaliate. Marco admits to Elle he does still have feelings for her, but she rejects him."
jacob elordi,marco,elle,marco,"Jacob Elordi, who played Marco in The Kissing Booth and The Kissing Booth 2, appears in The Kissing Booth 3.","Marco shows up at the Fourth of July party where he again fights with Noah and punches him, but Noah refuses to retaliate. Marco admits to Elle he does still have feelings for her, but she rejects him.","While Marco gets a job in the area, during a day at the waterpark, Noah and Marco clash, prompting Noah to call Elle naive for not seeing that Marco still has feelings for her. Tensions escalate when she struggles to divide her time between the brothers."
jacob elordi,marco,elle,noah,"Jacob Elordi, who played Marco in The Kissing Booth and The Kissing Booth 2, appears in The Kissing Booth 3.","Marco shows up at the Fourth of July party where he again fights with Noah and punches him, but Noah refuses to retaliate. Marco admits to Elle he does still have feelings for her, but she rejects him.","Simultaneously, Elle struggles with accepting her father's new girlfriend, Linda (also a friend of her late mom), fearing that she'll replace her. Encouraged by Chloe (who is coping with her parents' divorce) to talk to Elle, Noah makes up with her."
jacob elordi,marco,elle,chloe,"Jacob Elordi, who played Marco in The Kissing Booth and The Kissing Booth 2, appears in The Kissing Booth 3.","Marco shows up at the Fourth of July party where he again fights with Noah and punches him, but Noah refuses to retaliate. Marco admits to Elle he does still have feelings for her, but she rejects him.","Simultaneously, Elle struggles with accepting her father's new girlfriend, Linda (also a friend of her late mom), fearing that she'll replace her. Encouraged by Chloe (who is coping with her parents' divorce) to talk to Elle, Noah makes up with her."
jacob elordi,marco,elle,father,"Jacob Elordi, who played Marco in The Kissing Booth and The Kissing Booth 2, appears in The Kissing Booth 3.","Marco shows up at the Fourth of July party where he again fights with Noah and punches him, but Noah refuses to retaliate. Marco admits to Elle he does still have feelings for her, but she rejects him.","That night, Elle fights with her father over Linda, accusing him of only dating her for his own pride; in response, he angrily recounts the sacrifices he has made for her and her brother Brad and that she is not the only person who deserves to be loved."
jacob elordi,marco,elle,noah,"Jacob Elordi, who played Marco in The Kissing Booth and The Kissing Booth 2, appears in The Kissing Booth 3.","Marco shows up at the Fourth of July party where he again fights with Noah and punches him, but Noah refuses to retaliate. Marco admits to Elle he does still have feelings for her, but she rejects him.","In context, Elle and Noah part ways after looking back at each other. This signifies that Elle and Noah are related characters in 'The Kissing Booth'."
jacob elordi,marco,elle,california coastline,"Jacob Elordi, who played Marco in The Kissing Booth and The Kissing Booth 2, appears in The Kissing Booth 3.","Marco shows up at the Fourth of July party where he again fights with Noah and punches him, but Noah refuses to retaliate. Marco admits to Elle he does still have feelings for her, but she rejects him.","In context, Elle and Noah ride down the California coastline while having fun. This suggests that Elle is related to the concept of the California coastline as she is present in that location."
jacob elordi,marco,elle,laughing,"Jacob Elordi, who played Marco in The Kissing Booth and The Kissing Booth 2, appears in The Kissing Booth 3.","Marco shows up at the Fourth of July party where he again fights with Noah and punches him, but Noah refuses to retaliate. Marco admits to Elle he does still have feelings for her, but she rejects him.","In context, Elle and Noah laugh while riding motorcycles. This indicates that Elle is related to the concept of laughing as she is involved in this action."
maisie richardson-sellers,lee,elle,marco,Maisie Richardson-Sellers returns as Lee in The Kissing Booth 3.,"Heartbroken, Elle misses a bucket list with Lee to play Dance Dance Revolution. Arguing, Lee tells her that he's never mattered to her compared to Noah, while she tells him to grow up and that all of her decisions this summer have been about trying to make everybody happy.","While Marco gets a job in the area, during a day at the waterpark, Noah and Marco clash, prompting Noah to call Elle naive for not seeing that Marco still has feelings for her. Tensions escalate when she struggles to divide her time between the brothers."
maisie richardson-sellers,lee,elle,noah,Maisie Richardson-Sellers returns as Lee in The Kissing Booth 3.,"Heartbroken, Elle misses a bucket list with Lee to play Dance Dance Revolution. Arguing, Lee tells her that he's never mattered to her compared to Noah, while she tells him to grow up and that all of her decisions this summer have been about trying to make everybody happy.","Simultaneously, Elle struggles with accepting her father's new girlfriend, Linda (also a friend of her late mom), fearing that she'll replace her. Encouraged by Chloe (who is coping with her parents' divorce) to talk to Elle, Noah makes up with her."
