node_1,node_2,node_3,node_4,edge_1,edge_2,edge_3
dmitri,madame d.,gustave,arrested,Dmitri is the son of Madame D.,"Madame D. leaves Gustave as the beneficiary of her hotel and fortune in her second will, which is discovered later by the group.",Inspector Alfred J. Henckels arrested Gustave for Madame D.'s murder.
dmitri,madame d.,gustave,dmitri,Dmitri is the son of Madame D.,"Madame D. leaves Gustave as the beneficiary of her hotel and fortune in her second will, which is discovered later by the group.","Dmitri is the real killer of Gustave, but Gustave later finds out that Dmitri also has a missing second will."
serge x,madame d.,gustave,arrested,Serge X is the butler of Madame D.,"Madame D. leaves Gustave as the beneficiary of her hotel and fortune in her second will, which is discovered later by the group.",Inspector Alfred J. Henckels arrested Gustave for Madame D.'s murder.
serge x,madame d.,gustave,dmitri,Serge X is the butler of Madame D.,"Madame D. leaves Gustave as the beneficiary of her hotel and fortune in her second will, which is discovered later by the group.","Dmitri is the real killer of Gustave, but Gustave later finds out that Dmitri also has a missing second will."
gustave,dmitri,madame d.,gustave h.,"Dmitri is the real killer of Gustave, but Gustave later finds out that Dmitri also has a missing second will.",Dmitri is the son of Madame D.,Madame D. Has a nearly two-decade affair with Gustave H.
gustave,dmitri,madame d.,second will,"Dmitri is the real killer of Gustave, but Gustave later finds out that Dmitri also has a missing second will.",Dmitri is the son of Madame D.,Madame D. Had a missing second will that would only take effect if she was murdered.
gustave,dmitri,madame d.,gustave,"Dmitri is the real killer of Gustave, but Gustave later finds out that Dmitri also has a missing second will.",Dmitri is the son of Madame D.,"Madame D. leaves Gustave as the beneficiary of her hotel and fortune in her second will, which is discovered later by the group."
madame d.,gustave,dmitri,madame d.,"Madame D. leaves Gustave as the beneficiary of her hotel and fortune in her second will, which is discovered later by the group.","Dmitri is the real killer of Gustave, but Gustave later finds out that Dmitri also has a missing second will.",Dmitri is the son of Madame D.
zero,gustave,dmitri,madame d.,Zero is a trusted friend of Gustave who helps him escape from Jopling and saves his life multiple times.,"Dmitri is the real killer of Gustave, but Gustave later finds out that Dmitri also has a missing second will.",Dmitri is the son of Madame D.
agatha,gustave,dmitri,madame d.,"Agatha is the love interest of Gustave, and they are married eventually.","Dmitri is the real killer of Gustave, but Gustave later finds out that Dmitri also has a missing second will.",Dmitri is the son of Madame D.
