node_1,node_2,node_3,node_4,edge_1,edge_2,edge_3
damien chazelle,whiplash,fletcher,andrew,Damien Chazelle wrote and directed the film Whiplash.,"In 'Whiplash', Fletcher isn't making a Charlie Parker, but rather, a type of musician who would throw a cymbal at him. This distorts jazz history and promotes a misleading idea of genius.","strict and verbally and physically abusive towards his students. When Andrew fails to keep tempo on Hank Levy's 'Whiplash' during his first ensemble rehearsal, Fletcher throws a chair at him, slaps his face, and berates him."
damien chazelle,whiplash,fletcher,j. k. simmons,Damien Chazelle wrote and directed the film Whiplash.,"In 'Whiplash', Fletcher isn't making a Charlie Parker, but rather, a type of musician who would throw a cymbal at him. This distorts jazz history and promotes a misleading idea of genius.",Fletcher was portrayed by J. K. Simmons (no relation) in the short film 'Right of Way'
miles teller,whiplash,fletcher,andrew,Miles Teller starred in the film Whiplash.,"In 'Whiplash', Fletcher isn't making a Charlie Parker, but rather, a type of musician who would throw a cymbal at him. This distorts jazz history and promotes a misleading idea of genius.","strict and verbally and physically abusive towards his students. When Andrew fails to keep tempo on Hank Levy's 'Whiplash' during his first ensemble rehearsal, Fletcher throws a chair at him, slaps his face, and berates him."
miles teller,whiplash,fletcher,j. k. simmons,Miles Teller starred in the film Whiplash.,"In 'Whiplash', Fletcher isn't making a Charlie Parker, but rather, a type of musician who would throw a cymbal at him. This distorts jazz history and promotes a misleading idea of genius.",Fletcher was portrayed by J. K. Simmons (no relation) in the short film 'Right of Way'
j. k. simmons,whiplash,fletcher,andrew,J. K. Simmons appeared in the film Whiplash.,"In 'Whiplash', Fletcher isn't making a Charlie Parker, but rather, a type of musician who would throw a cymbal at him. This distorts jazz history and promotes a misleading idea of genius.","strict and verbally and physically abusive towards his students. When Andrew fails to keep tempo on Hank Levy's 'Whiplash' during his first ensemble rehearsal, Fletcher throws a chair at him, slaps his face, and berates him."
j. k. simmons,whiplash,fletcher,j. k. simmons,J. K. Simmons appeared in the film Whiplash.,"In 'Whiplash', Fletcher isn't making a Charlie Parker, but rather, a type of musician who would throw a cymbal at him. This distorts jazz history and promotes a misleading idea of genius.",Fletcher was portrayed by J. K. Simmons (no relation) in the short film 'Right of Way'
paul reiser,whiplash,fletcher,andrew,Paul Reiser appeared in the film Whiplash.,"In 'Whiplash', Fletcher isn't making a Charlie Parker, but rather, a type of musician who would throw a cymbal at him. This distorts jazz history and promotes a misleading idea of genius.","strict and verbally and physically abusive towards his students. When Andrew fails to keep tempo on Hank Levy's 'Whiplash' during his first ensemble rehearsal, Fletcher throws a chair at him, slaps his face, and berates him."
paul reiser,whiplash,fletcher,j. k. simmons,Paul Reiser appeared in the film Whiplash.,"In 'Whiplash', Fletcher isn't making a Charlie Parker, but rather, a type of musician who would throw a cymbal at him. This distorts jazz history and promotes a misleading idea of genius.",Fletcher was portrayed by J. K. Simmons (no relation) in the short film 'Right of Way'
melissa benoist,whiplash,fletcher,andrew,Melissa Benoist appeared in the film Whiplash.,"In 'Whiplash', Fletcher isn't making a Charlie Parker, but rather, a type of musician who would throw a cymbal at him. This distorts jazz history and promotes a misleading idea of genius.","strict and verbally and physically abusive towards his students. When Andrew fails to keep tempo on Hank Levy's 'Whiplash' during his first ensemble rehearsal, Fletcher throws a chair at him, slaps his face, and berates him."
melissa benoist,whiplash,fletcher,j. k. simmons,Melissa Benoist appeared in the film Whiplash.,"In 'Whiplash', Fletcher isn't making a Charlie Parker, but rather, a type of musician who would throw a cymbal at him. This distorts jazz history and promotes a misleading idea of genius.",Fletcher was portrayed by J. K. Simmons (no relation) in the short film 'Right of Way'
