node_1,node_2,node_3,node_4,edge_1,edge_2,edge_3
han,chewbacca,rey,bb-8,"Using the Falcon, Han, Chewbacca, and Finn infiltrate the facility,",Chewbacca saves Rey and the injured Finn from Kylo's clutches.,"Rey, Finn, and BB-8 steal the Millennium Falcon and escape Jakku. Rey, Finn, and BB-8 encounter each other."
han,chewbacca,rey,childhood memory,"Using the Falcon, Han, Chewbacca, and Finn infiltrate the facility,",Chewbacca saves Rey and the injured Finn from Kylo's clutches.,Rey experiences a childhood memory of a ship leaving her on Jakku.
han,chewbacca,rey,secluded vault,"Using the Falcon, Han, Chewbacca, and Finn infiltrate the facility,",Chewbacca saves Rey and the injured Finn from Kylo's clutches.,The Force draws Rey to a secluded vault.
han,chewbacca,rey,anakin skywalker's lightsaber,"Using the Falcon, Han, Chewbacca, and Finn infiltrate the facility,",Chewbacca saves Rey and the injured Finn from Kylo's clutches.,Rey finds Anakin Skywalker's lightsaber in a secluded vault.
han,chewbacca,rey,han,"Using the Falcon, Han, Chewbacca, and Finn infiltrate the facility,",Chewbacca saves Rey and the injured Finn from Kylo's clutches.,"Finds Rey, who had been seen by Han."
han,chewbacca,rey,kylo,"Using the Falcon, Han, Chewbacca, and Finn infiltrate the facility,",Chewbacca saves Rey and the injured Finn from Kylo's clutches.,Kylo pursues Rey and Finn into the woods and incapacitates Rey.
han,chewbacca,rey,kylo,"Using the Falcon, Han, Chewbacca, and Finn infiltrate the facility,",Chewbacca saves Rey and the injured Finn from Kylo's clutches.,Rey awakens and takes the lightsaber from Kylo after defeating him in a duel.
rey,han,chewbacca,rey,"Finds Rey, who had been seen by Han.","Using the Falcon, Han, Chewbacca, and Finn infiltrate the facility,",Chewbacca saves Rey and the injured Finn from Kylo's clutches.
chewbacca,rey,han,chewbacca,Chewbacca saves Rey and the injured Finn from Kylo's clutches.,"Finds Rey, who had been seen by Han.","Using the Falcon, Han, Chewbacca, and Finn infiltrate the facility,"
chewbacca,rey,kylo,emotions,Chewbacca saves Rey and the injured Finn from Kylo's clutches.,Kylo pursues Rey and Finn into the woods and incapacitates Rey.,"Snoke questions Kylo's ability to deal with emotions surrounding his father, Han Solo."
chewbacca,rey,kylo,emotions,Chewbacca saves Rey and the injured Finn from Kylo's clutches.,Rey awakens and takes the lightsaber from Kylo after defeating him in a duel.,"Snoke questions Kylo's ability to deal with emotions surrounding his father, Han Solo."
finn,rey,han,chewbacca,"While trying to escape with Rey, Finn gets defeated by Kylo.","Finds Rey, who had been seen by Han.","Using the Falcon, Han, Chewbacca, and Finn infiltrate the facility,"
finn,rey,kylo,emotions,"While trying to escape with Rey, Finn gets defeated by Kylo.",Kylo pursues Rey and Finn into the woods and incapacitates Rey.,"Snoke questions Kylo's ability to deal with emotions surrounding his father, Han Solo."
finn,rey,kylo,emotions,"While trying to escape with Rey, Finn gets defeated by Kylo.",Rey awakens and takes the lightsaber from Kylo after defeating him in a duel.,"Snoke questions Kylo's ability to deal with emotions surrounding his father, Han Solo."
luke,rey,han,chewbacca,Rey finds Luke atop a cliff on a remote island and presents him with his lightsaber.,"Finds Rey, who had been seen by Han.","Using the Falcon, Han, Chewbacca, and Finn infiltrate the facility,"
luke,rey,kylo,emotions,Rey finds Luke atop a cliff on a remote island and presents him with his lightsaber.,Kylo pursues Rey and Finn into the woods and incapacitates Rey.,"Snoke questions Kylo's ability to deal with emotions surrounding his father, Han Solo."
luke,rey,kylo,emotions,Rey finds Luke atop a cliff on a remote island and presents him with his lightsaber.,Rey awakens and takes the lightsaber from Kylo after defeating him in a duel.,"Snoke questions Kylo's ability to deal with emotions surrounding his father, Han Solo."
