node_1,node_2,node_3,node_4,edge_1,edge_2,edge_3
woody,bonnie,andy,bonnie,"['A Sunnyside child named Bonnie finds Woody.', 'Bonnie takes Woody to her house, playing with him and her other toys.']","Initially hesitant, Andy introduces the toys individually to Bonnie, and she recognizes Woody.","Assuming a note from Woody's mother, Andy donates toys to Bonnie. Initially hesitant, Andy passes Woody on to her when Bonnie recognizes him."
buzz,lotso,buzz,lotso,"After Andy's toys endure a rough playtime with the toddlers, Buzz asks Lotso to have himself and his friends moved to the older children’s room, but is instead captured. Lotso tells Buzz he sends all new toys to the toddler room for his gang’s safety, regardless if the new toys are age-appropriate or get broken. Seeing promise in Buzz, Lotso has him switched to demo mode, brainwashing him into believing Lotso is his commander.","After Andy's toys endure a rough playtime with the toddlers, Buzz asks Lotso to have himself and his friends moved to the older children’s room, but is instead captured.","After Andy's toys endure a rough playtime with the toddlers, Buzz asks Lotso to have himself and his friends moved to the older children’s room, but is instead captured. Lotso tells Buzz he sends all new toys to the toddler room for his gang’s safety, regardless if the new toys are age-appropriate or get broken. Seeing promise in Buzz, Lotso has him switched to demo mode, brainwashing him into believing Lotso is his commander."
buzz,lotso,buzz,andy's toys,"After Andy's toys endure a rough playtime with the toddlers, Buzz asks Lotso to have himself and his friends moved to the older children’s room, but is instead captured. Lotso tells Buzz he sends all new toys to the toddler room for his gang’s safety, regardless if the new toys are age-appropriate or get broken. Seeing promise in Buzz, Lotso has him switched to demo mode, brainwashing him into believing Lotso is his commander.","After Andy's toys endure a rough playtime with the toddlers, Buzz asks Lotso to have himself and his friends moved to the older children’s room, but is instead captured.","After Andy's toys endure a rough playtime with the toddlers, Buzz asks Lotso to have himself and his friends moved to the older children’s room, but is instead captured."
buzz,lotso,buzz,spanish mode,"After Andy's toys endure a rough playtime with the toddlers, Buzz asks Lotso to have himself and his friends moved to the older children’s room, but is instead captured. Lotso tells Buzz he sends all new toys to the toddler room for his gang’s safety, regardless if the new toys are age-appropriate or get broken. Seeing promise in Buzz, Lotso has him switched to demo mode, brainwashing him into believing Lotso is his commander.","After Andy's toys endure a rough playtime with the toddlers, Buzz asks Lotso to have himself and his friends moved to the older children’s room, but is instead captured.","That night, Andy's toys inadvertently reset Buzz to Spanish mode in the process."
lotso,buzz,lotso,buzz,"After Andy's toys endure a rough playtime with the toddlers, Buzz asks Lotso to have himself and his friends moved to the older children’s room, but is instead captured.","After Andy's toys endure a rough playtime with the toddlers, Buzz asks Lotso to have himself and his friends moved to the older children’s room, but is instead captured. Lotso tells Buzz he sends all new toys to the toddler room for his gang’s safety, regardless if the new toys are age-appropriate or get broken. Seeing promise in Buzz, Lotso has him switched to demo mode, brainwashing him into believing Lotso is his commander.","After Andy's toys endure a rough playtime with the toddlers, Buzz asks Lotso to have himself and his friends moved to the older children’s room, but is instead captured."
lotso,buzz,lotso,all new toys,"After Andy's toys endure a rough playtime with the toddlers, Buzz asks Lotso to have himself and his friends moved to the older children’s room, but is instead captured.","After Andy's toys endure a rough playtime with the toddlers, Buzz asks Lotso to have himself and his friends moved to the older children’s room, but is instead captured. Lotso tells Buzz he sends all new toys to the toddler room for his gang’s safety, regardless if the new toys are age-appropriate or get broken. Seeing promise in Buzz, Lotso has him switched to demo mode, brainwashing him into believing Lotso is his commander.","Lotso tells Buzz he sends all new toys to the toddler room for his gang’s safety, regardless if the new toys are age-appropriate or get broken."
lotso,buzz,lotso,daisy,"After Andy's toys endure a rough playtime with the toddlers, Buzz asks Lotso to have himself and his friends moved to the older children’s room, but is instead captured.","After Andy's toys endure a rough playtime with the toddlers, Buzz asks Lotso to have himself and his friends moved to the older children’s room, but is instead captured. Lotso tells Buzz he sends all new toys to the toddler room for his gang’s safety, regardless if the new toys are age-appropriate or get broken. Seeing promise in Buzz, Lotso has him switched to demo mode, brainwashing him into believing Lotso is his commander.","Chuckles, Lotso, and Big Baby were once owned by a girl named Daisy."
lotso,buzz,lotso,deception,"After Andy's toys endure a rough playtime with the toddlers, Buzz asks Lotso to have himself and his friends moved to the older children’s room, but is instead captured.","After Andy's toys endure a rough playtime with the toddlers, Buzz asks Lotso to have himself and his friends moved to the older children’s room, but is instead captured. Lotso tells Buzz he sends all new toys to the toddler room for his gang’s safety, regardless if the new toys are age-appropriate or get broken. Seeing promise in Buzz, Lotso has him switched to demo mode, brainwashing him into believing Lotso is his commander.","Woody reveals Lotso's deception to Big Baby,"
lotso,buzz,lotso,shredder,"After Andy's toys endure a rough playtime with the toddlers, Buzz asks Lotso to have himself and his friends moved to the older children’s room, but is instead captured.","After Andy's toys endure a rough playtime with the toddlers, Buzz asks Lotso to have himself and his friends moved to the older children’s room, but is instead captured. Lotso tells Buzz he sends all new toys to the toddler room for his gang’s safety, regardless if the new toys are age-appropriate or get broken. Seeing promise in Buzz, Lotso has him switched to demo mode, brainwashing him into believing Lotso is his commander.","Woody and Buzz help Lotso avoid a shredder,"
lotso,buzz,andy's toys,prison,"After Andy's toys endure a rough playtime with the toddlers, Buzz asks Lotso to have himself and his friends moved to the older children’s room, but is instead captured.","After Andy's toys endure a rough playtime with the toddlers, Buzz asks Lotso to have himself and his friends moved to the older children’s room, but is instead captured.","Andy's toys realize their mistake and attempt to leave, but are captured and imprisoned by Buzz on Lotso’s order."
