node_1,node_2,node_3,edge_1,edge_2
max,ben,camp olympiad,"Charlie and Phil's children, Max and Ben,",The kids found Ben during their training for the Camp Olympiad.
max,ben,campmates,"Charlie and Phil's children, Max and Ben,",Campmates encourage Ben after falling during climbing course
max,ben,wall,"Charlie and Phil's children, Max and Ben,",Ben successfully climbs the greased wall with time left to hit the bell
charlie,buck,campers,Charlie disapproved of Buck's care for toughness and believed that Buck only cared about toughness during their training for the Camp Olympiad.,easy training of campers by Colonel Buck Hinton
charlie,buck,military ways and support,Charlie disapproved of Buck's care for toughness and believed that Buck only cared about toughness during their training for the Camp Olympiad.,The kids admired Buck because of his military ways and support during their training for the Camp Olympiad.
charlie,buck,plan to win against canola,Charlie disapproved of Buck's care for toughness and believed that Buck only cared about toughness during their training for the Camp Olympiad.,Buck formulated a plan to win against Canola during the Camp Olympiad.
mullet head,ben,camp olympiad,Ben replaces Mullet Head in climbing course due to ankle injury,The kids found Ben during their training for the Camp Olympiad.
mullet head,ben,campmates,Ben replaces Mullet Head in climbing course due to ankle injury,Campmates encourage Ben after falling during climbing course
mullet head,ben,wall,Ben replaces Mullet Head in climbing course due to ankle injury,Ben successfully climbs the greased wall with time left to hit the bell
becca,lance,1977 olympiad,Becca shows evidence of Lance's cheating on wall,It was revealed that Lance won the 1977 Olympiad.
becca,lance,wall,Becca shows evidence of Lance's cheating on wall,Lance cheats on the wall for years by greasing it
bobby j,lance,1977 olympiad,"Bobby J talks back and kicks Lance, causing the wall to collapse and leading to Lance breaking down crying",It was revealed that Lance won the 1977 Olympiad.
bobby j,lance,wall,"Bobby J talks back and kicks Lance, causing the wall to collapse and leading to Lance breaking down crying",Lance cheats on the wall for years by greasing it
