node_1,node_2,node_3,edge_1,edge_2
rasputia latimore,norbit,albert rice,"Eddie Murphy portrays the character of Norbit, who is married to Rasputia Latimore. This indicates that Norbit and Rasputia Latimore are linked by a marital bond.","Eddie Murphy plays the character of Norbit, who as a child was named Albert Rice. This reveals that Norbit was once known by another name."
rasputia latimore,norbit,khamani griffin,"Eddie Murphy portrays the character of Norbit, who is married to Rasputia Latimore. This indicates that Norbit and Rasputia Latimore are linked by a marital bond.",Khamani Griffin portrays the character of Young Norbit at the age of 5. This signifies that Young Norbit and Norbit are connected in some way.
rasputia latimore,norbit,austin reid,"Eddie Murphy portrays the character of Norbit, who is married to Rasputia Latimore. This indicates that Norbit and Rasputia Latimore are linked by a marital bond.",Austin Reid acts as the 10-year-old version of Norbit. This implies that Young Norbit and Norbit have a temporal relationship.
rasputia latimore,norbit,jonathan robinson,"Eddie Murphy portrays the character of Norbit, who is married to Rasputia Latimore. This indicates that Norbit and Rasputia Latimore are linked by a marital bond.",Jonathan Robinson depicts the character of Young Norbit at the age of 17. This suggests that there is a time sequence between the various stages of Young Norbit's life and Norbit.
young rasputia,rasputia latimore,norbit,Lindsey Sims-Lewis plays the role of Young Rasputia at the age of 10. This suggests that there is a temporal relationship between Young Rasputia and Rasputia Latimore.,"Eddie Murphy portrays the character of Norbit, who is married to Rasputia Latimore. This indicates that Norbit and Rasputia Latimore are linked by a marital bond."
mr. wong,norbit,albert rice,"The character of Mr. Wong, portrayed by an unspecified actor, is the Chinese owner of the orphanage where Norbit and Kate met as children. This implies that there is a connection between Mr. Wong and Norbit because they both have a shared history with Kate.","Eddie Murphy plays the character of Norbit, who as a child was named Albert Rice. This reveals that Norbit was once known by another name."
mr. wong,norbit,khamani griffin,"The character of Mr. Wong, portrayed by an unspecified actor, is the Chinese owner of the orphanage where Norbit and Kate met as children. This implies that there is a connection between Mr. Wong and Norbit because they both have a shared history with Kate.",Khamani Griffin portrays the character of Young Norbit at the age of 5. This signifies that Young Norbit and Norbit are connected in some way.
mr. wong,norbit,austin reid,"The character of Mr. Wong, portrayed by an unspecified actor, is the Chinese owner of the orphanage where Norbit and Kate met as children. This implies that there is a connection between Mr. Wong and Norbit because they both have a shared history with Kate.",Austin Reid acts as the 10-year-old version of Norbit. This implies that Young Norbit and Norbit have a temporal relationship.
mr. wong,norbit,jonathan robinson,"The character of Mr. Wong, portrayed by an unspecified actor, is the Chinese owner of the orphanage where Norbit and Kate met as children. This implies that there is a connection between Mr. Wong and Norbit because they both have a shared history with Kate.",Jonathan Robinson depicts the character of Young Norbit at the age of 17. This suggests that there is a time sequence between the various stages of Young Norbit's life and Norbit.
kate thomas,norbit,albert rice,"Thandiwe Newton plays the character of Kate Thomas, who is Norbit's childhood best friend and has had a lifelong romantic interest in him. This signifies that Kate Thomas and Norbit share a close relationship.","Eddie Murphy plays the character of Norbit, who as a child was named Albert Rice. This reveals that Norbit was once known by another name."
kate thomas,norbit,khamani griffin,"Thandiwe Newton plays the character of Kate Thomas, who is Norbit's childhood best friend and has had a lifelong romantic interest in him. This signifies that Kate Thomas and Norbit share a close relationship.",Khamani Griffin portrays the character of Young Norbit at the age of 5. This signifies that Young Norbit and Norbit are connected in some way.
kate thomas,norbit,austin reid,"Thandiwe Newton plays the character of Kate Thomas, who is Norbit's childhood best friend and has had a lifelong romantic interest in him. This signifies that Kate Thomas and Norbit share a close relationship.",Austin Reid acts as the 10-year-old version of Norbit. This implies that Young Norbit and Norbit have a temporal relationship.
kate thomas,norbit,jonathan robinson,"Thandiwe Newton plays the character of Kate Thomas, who is Norbit's childhood best friend and has had a lifelong romantic interest in him. This signifies that Kate Thomas and Norbit share a close relationship.",Jonathan Robinson depicts the character of Young Norbit at the age of 17. This suggests that there is a time sequence between the various stages of Young Norbit's life and Norbit.
young kate,kate thomas,norbit,China Anderson portrays the role of Young Kate at the age of 5. This suggests that there is a temporal link between Young Kate and Kate Thomas.,"Thandiwe Newton plays the character of Kate Thomas, who is Norbit's childhood best friend and has had a lifelong romantic interest in him. This signifies that Kate Thomas and Norbit share a close relationship."
deion hughes,kate thomas,norbit,"Cuba Gooding Jr. Performs the character of Deion Hughes, who is engaged to Kate Thomas. This indicates that there is a romantic connection between Deion Hughes and Kate Thomas.","Thandiwe Newton plays the character of Kate Thomas, who is Norbit's childhood best friend and has had a lifelong romantic interest in him. This signifies that Kate Thomas and Norbit share a close relationship."
terry crews,rasputia latimore,norbit,"Terry Crews depicts the character of Big Black Jack Latimore, who is Rasputia Latimore's eldest brother and henchman. This implies that there is a familial connection between Rasputia Latimore and Big Black Jack Latimore.","Eddie Murphy portrays the character of Norbit, who is married to Rasputia Latimore. This indicates that Norbit and Rasputia Latimore are linked by a marital bond."
lester 'rasta' speight,rasputia latimore,norbit,"Lester 'Rasta' Speight portrays the character of Blue Latimore, who is Rasputia Latimore's second eldest brother and henchman. This signifies that there is a familial connection between Rasputia Latimore and Blue Latimore.","Eddie Murphy portrays the character of Norbit, who is married to Rasputia Latimore. This indicates that Norbit and Rasputia Latimore are linked by a marital bond."
clifton powell,rasputia latimore,norbit,"Clifton Powell enacts the character of Earl Latimore, who is Rasputia Latimore's third eldest brother and henchman. This implies that there is a familial connection between Rasputia Latimore and Earl Latimore.","Eddie Murphy portrays the character of Norbit, who is married to Rasputia Latimore. This indicates that Norbit and Rasputia Latimore are linked by a marital bond."
pope sweet jesus,norbit,albert rice,"Eddie Griffin plays the role of Pope Sweet Jesus, who is Norbit's friend. This suggests that there is a friendship bond between Norbit and Pope Sweet Jesus.","Eddie Murphy plays the character of Norbit, who as a child was named Albert Rice. This reveals that Norbit was once known by another name."
pope sweet jesus,norbit,khamani griffin,"Eddie Griffin plays the role of Pope Sweet Jesus, who is Norbit's friend. This suggests that there is a friendship bond between Norbit and Pope Sweet Jesus.",Khamani Griffin portrays the character of Young Norbit at the age of 5. This signifies that Young Norbit and Norbit are connected in some way.
pope sweet jesus,norbit,austin reid,"Eddie Griffin plays the role of Pope Sweet Jesus, who is Norbit's friend. This suggests that there is a friendship bond between Norbit and Pope Sweet Jesus.",Austin Reid acts as the 10-year-old version of Norbit. This implies that Young Norbit and Norbit have a temporal relationship.
pope sweet jesus,norbit,jonathan robinson,"Eddie Griffin plays the role of Pope Sweet Jesus, who is Norbit's friend. This suggests that there is a friendship bond between Norbit and Pope Sweet Jesus.",Jonathan Robinson depicts the character of Young Norbit at the age of 17. This suggests that there is a time sequence between the various stages of Young Norbit's life and Norbit.
