node_1,node_2,node_3,edge_1,edge_2
christian,ana,architect gia matteo,Spouse relationship between Christian and Ana,Interaction between Ana and architect Gia Matteo
christian,ana,bank manager,Spouse relationship between Christian and Ana,The suspicious bank manager calls Christian after Ana takes a checkbook and revolver from Christian's desk and goes to the bank to withdraw the money for Hyde's ransom.
christian,ana,hyde,Spouse relationship between Christian and Ana,Ana pulls out the revolver and shoots Hyde in the leg.
christian,ana,christian,Spouse relationship between Christian and Ana,Christian reflects on his whole journey with Ana and how they fell in love.
christian,ana,red room,Spouse relationship between Christian and Ana,Ana invites Christian to join her in the red room.
christian,ana,christian,Spouse relationship between Christian and Ana,"Years later, Ana and Christian are at their house by the lake with their son Teddy and Ana is already pregnant with their second child."
elena lincoln,christian,ana,"Christian texted and met his ex-lover and former BDSM dominant, Elena Lincoln, who had groomed him as a minor.",Spouse relationship between Christian and Ana
elena lincoln,christian,ana,"Christian texted and met his ex-lover and former BDSM dominant, Elena Lincoln, who had groomed him as a minor.","Christian and his security team, who tracked Ana's phone, arrive with the police who apprehend Hyde and Liz."
elena lincoln,christian,grace,"Christian texted and met his ex-lover and former BDSM dominant, Elena Lincoln, who had groomed him as a minor.","Christian's adoptive mother, Grace, assures him that Ana will not leave him."
elena lincoln,christian,ana,"Christian texted and met his ex-lover and former BDSM dominant, Elena Lincoln, who had groomed him as a minor.",Christian and Ana reconcile after she wakes up from a three-day hospital stay.
elena lincoln,christian,hyde,"Christian texted and met his ex-lover and former BDSM dominant, Elena Lincoln, who had groomed him as a minor.","Christian and Hyde had shared the same foster family, though Christian seems to have no memory of this."
mia,hyde,liz,Hyde demands a ransom of $5 million in cash in two hours for Mia's release. He threatens to kill her if his demands are not met.,"psychotic and vengeful Hyde attacks Liz, kicking her abdomen."
liz,ana,architect gia matteo,"Ana tricks Hyde by taking the bank manager's phone and slipping hers into the bag of money, and exits the back entrance to discover that the driver and Jack's accomplice is her co-worker, Liz.",Interaction between Ana and architect Gia Matteo
liz,ana,bank manager,"Ana tricks Hyde by taking the bank manager's phone and slipping hers into the bag of money, and exits the back entrance to discover that the driver and Jack's accomplice is her co-worker, Liz.",The suspicious bank manager calls Christian after Ana takes a checkbook and revolver from Christian's desk and goes to the bank to withdraw the money for Hyde's ransom.
liz,ana,hyde,"Ana tricks Hyde by taking the bank manager's phone and slipping hers into the bag of money, and exits the back entrance to discover that the driver and Jack's accomplice is her co-worker, Liz.",Ana pulls out the revolver and shoots Hyde in the leg.
liz,ana,christian,"Ana tricks Hyde by taking the bank manager's phone and slipping hers into the bag of money, and exits the back entrance to discover that the driver and Jack's accomplice is her co-worker, Liz.",Christian reflects on his whole journey with Ana and how they fell in love.
liz,ana,red room,"Ana tricks Hyde by taking the bank manager's phone and slipping hers into the bag of money, and exits the back entrance to discover that the driver and Jack's accomplice is her co-worker, Liz.",Ana invites Christian to join her in the red room.
liz,ana,christian,"Ana tricks Hyde by taking the bank manager's phone and slipping hers into the bag of money, and exits the back entrance to discover that the driver and Jack's accomplice is her co-worker, Liz.","Years later, Ana and Christian are at their house by the lake with their son Teddy and Ana is already pregnant with their second child."
hyde,liz,ana,"psychotic and vengeful Hyde attacks Liz, kicking her abdomen.","Ana tricks Hyde by taking the bank manager's phone and slipping hers into the bag of money, and exits the back entrance to discover that the driver and Jack's accomplice is her co-worker, Liz."
hyde,liz,hyde,"psychotic and vengeful Hyde attacks Liz, kicking her abdomen.",Hyde blackmailed Liz with a sex tape into being his accomplice.
ana,hyde,liz,Ana pulls out the revolver and shoots Hyde in the leg.,"psychotic and vengeful Hyde attacks Liz, kicking her abdomen."
christian,ana,architect gia matteo,"Christian and his security team, who tracked Ana's phone, arrive with the police who apprehend Hyde and Liz.",Interaction between Ana and architect Gia Matteo
