node_1,node_2,node_3,edge_1,edge_2
wharton academy,alan tracy,jeff tracy,Alan Tracy attends Wharton Academy.,Alan Tracy is Jeff Tracy's son.
fermat hackenbacker,alan tracy,jeff tracy,"Alan Tracy's best friend is Fermat Hackenbacker, the son of International Rescue engineer Brains.",Alan Tracy is Jeff Tracy's son.
brains,fermat hackenbacker,alan tracy,Brains is the resident engineer of International Rescue and the father of Fermat Hackenbacker.,"Alan Tracy's best friend is Fermat Hackenbacker, the son of International Rescue engineer Brains."
tin-tin,tracy family,jeff tracy,Tin-Tin is the daughter of International Rescue butler Kyrano and a member of the Tracy family.,Jeff Tracy is a member of the Tracy family.
thunderbird 1,alan tracy,jeff tracy,"Alan Tracy attempts to fly Thunderbird 1, but is grounded as a result.",Alan Tracy is Jeff Tracy's son.
tracking beacon,thunderbird 1,alan tracy,A tracking beacon was planted on the hull of Thunderbird 1 by The Hood's accomplice during a recent rescue on an oil rig.,"Alan Tracy attempts to fly Thunderbird 1, but is grounded as a result."
tracking beacon,thunderbird 1,london,A tracking beacon was planted on the hull of Thunderbird 1 by The Hood's accomplice during a recent rescue on an oil rig.,"Arriving in London, Alan and Tin-Tin rescue the submerged monorail car using Thunderbird 1."
thunderbird 2,the hood,psychic criminal mastermind,"During one of International Rescue's first operations, Jeff abandoned The Hood in a collapsing illegal diamond mine, but rescued his half-brother, Kyrano. As revenge, The Hood plans to use Thunderbird 2 to rob ten of the world's major banks, thus plunging the international monetary system into chaos.",The Hood is a psychic criminal mastermind.
thunderbird 2,the hood,international rescue,"During one of International Rescue's first operations, Jeff abandoned The Hood in a collapsing illegal diamond mine, but rescued his half-brother, Kyrano. As revenge, The Hood plans to use Thunderbird 2 to rob ten of the world's major banks, thus plunging the international monetary system into chaos.","Enemy relationship between The Hood and International Rescue, established as The Hood and his team are arrested after being defeated by Tin-Tin."
thunderbird 2,the hood,jeff and lady penelope,"During one of International Rescue's first operations, Jeff abandoned The Hood in a collapsing illegal diamond mine, but rescued his half-brother, Kyrano. As revenge, The Hood plans to use Thunderbird 2 to rob ten of the world's major banks, thus plunging the international monetary system into chaos.",Captivity relationship established as The Hood captures Jeff and Lady Penelope during the final showdown in London.
alan,the hood,psychic criminal mastermind,"Antagonist relationship established during the final showdown between Alan and The Hood in London. The Hood challenges Alan to defeat him, captures Jeff and Lady Penelope, and taunts Alan to let him die as his father did. However, Alan rescues The Hood after he is defeated by Tin-Tin.",The Hood is a psychic criminal mastermind.
alan,the hood,international rescue,"Antagonist relationship established during the final showdown between Alan and The Hood in London. The Hood challenges Alan to defeat him, captures Jeff and Lady Penelope, and taunts Alan to let him die as his father did. However, Alan rescues The Hood after he is defeated by Tin-Tin.","Enemy relationship between The Hood and International Rescue, established as The Hood and his team are arrested after being defeated by Tin-Tin."
alan,the hood,jeff and lady penelope,"Antagonist relationship established during the final showdown between Alan and The Hood in London. The Hood challenges Alan to defeat him, captures Jeff and Lady Penelope, and taunts Alan to let him die as his father did. However, Alan rescues The Hood after he is defeated by Tin-Tin.",Captivity relationship established as The Hood captures Jeff and Lady Penelope during the final showdown in London.
the hood,international rescue,disgrace,"Enemy relationship between The Hood and International Rescue, established as The Hood and his team are arrested after being defeated by Tin-Tin.","The Hood reveals that during one of International Rescue's first operations, Jeff abandoned him in a collapsing illegal diamond mine, but rescued his half-brother, Kyrano. As revenge, he plans to use Thunderbird 2 to rob ten of the world's major banks, thus plunging the international monetary system into chaos, with International Rescue held responsible and disgraced."
alan,thunderbird 1,alan tracy,"Vehicle relationship between Alan and Thunderbird 1, as he sets off in pursuit of The Hood in this vehicle.","Alan Tracy attempts to fly Thunderbird 1, but is grounded as a result."
alan,thunderbird 1,london,"Vehicle relationship between Alan and Thunderbird 1, as he sets off in pursuit of The Hood in this vehicle.","Arriving in London, Alan and Tin-Tin rescue the submerged monorail car using Thunderbird 1."
tin-tin,the hood,psychic criminal mastermind,"Antagonist relationship between Tin-Tin and The Hood during their fight on the catwalk over the moving drill of The Mole, after which Tin-Tin is able to use his powers to defeat The Hood.",The Hood is a psychic criminal mastermind.
tin-tin,the hood,international rescue,"Antagonist relationship between Tin-Tin and The Hood during their fight on the catwalk over the moving drill of The Mole, after which Tin-Tin is able to use his powers to defeat The Hood.","Enemy relationship between The Hood and International Rescue, established as The Hood and his team are arrested after being defeated by Tin-Tin."
tin-tin,the hood,jeff and lady penelope,"Antagonist relationship between Tin-Tin and The Hood during their fight on the catwalk over the moving drill of The Mole, after which Tin-Tin is able to use his powers to defeat The Hood.",Captivity relationship established as The Hood captures Jeff and Lady Penelope during the final showdown in London.
