node_1,node_2,node_3,edge_1,edge_2
amphitryon,hercules,nemean lion,"Amphitryon attempts to eliminate Hercules by sending him on a military campaign in Egypt, but he survives and uses his gods-given name to conceal his identity as the prince.","Hercules strangles the Nemean lion to death, which is a significant event in the plot."
amphitryon,hercules,mercenaries,"Amphitryon attempts to eliminate Hercules by sending him on a military campaign in Egypt, but he survives and uses his gods-given name to conceal his identity as the prince.",Hercules fights with mercenaries using his lightning sword in the context provided.
amphitryon,hercules,amphitryon,"Amphitryon attempts to eliminate Hercules by sending him on a military campaign in Egypt, but he survives and uses his gods-given name to conceal his identity as the prince.",Hercules nearly defeats Amphitryon but meets him in personal combat in the given context.
amphitryon,hercules,amphitryon,"Amphitryon attempts to eliminate Hercules by sending him on a military campaign in Egypt, but he survives and uses his gods-given name to conceal his identity as the prince.",Hercules finally avenges Alcmene's death and kills Amphitryon with the same blade that killed his mother in the context provided.
hercules,amphitryon,hercules,Hercules nearly defeats Amphitryon but meets him in personal combat in the given context.,"Amphitryon attempts to eliminate Hercules by sending him on a military campaign in Egypt, but he survives and uses his gods-given name to conceal his identity as the prince."
iphicles,hebe,hercules,Iphicles holds Hebe hostage and threatens to kill her in the provided context.,"Hercules hesitates, but Hebe thrusts the dagger through her shoulder, killing Iphicles in the given context."
iphicles,hebe,hercules,Iphicles holds Hebe hostage and threatens to kill her in the provided context.,Hercules watches over Hebe as she slowly drifts into unconsciousness in the given context.
iphicles,hebe,baby,Iphicles holds Hebe hostage and threatens to kill her in the provided context.,"The cries of a baby are heard, and it is revealed that Hercules' and Hebe's son in the provided context."
hebe,hercules,nemean lion,"Hercules hesitates, but Hebe thrusts the dagger through her shoulder, killing Iphicles in the given context.","Hercules strangles the Nemean lion to death, which is a significant event in the plot."
hebe,hercules,mercenaries,"Hercules hesitates, but Hebe thrusts the dagger through her shoulder, killing Iphicles in the given context.",Hercules fights with mercenaries using his lightning sword in the context provided.
hebe,hercules,amphitryon,"Hercules hesitates, but Hebe thrusts the dagger through her shoulder, killing Iphicles in the given context.",Hercules nearly defeats Amphitryon but meets him in personal combat in the given context.
hebe,hercules,amphitryon,"Hercules hesitates, but Hebe thrusts the dagger through her shoulder, killing Iphicles in the given context.",Hercules finally avenges Alcmene's death and kills Amphitryon with the same blade that killed his mother in the context provided.
hercules,amphitryon,hercules,Hercules finally avenges Alcmene's death and kills Amphitryon with the same blade that killed his mother in the context provided.,"Amphitryon attempts to eliminate Hercules by sending him on a military campaign in Egypt, but he survives and uses his gods-given name to conceal his identity as the prince."
hebe,hercules,nemean lion,Hercules watches over Hebe as she slowly drifts into unconsciousness in the given context.,"Hercules strangles the Nemean lion to death, which is a significant event in the plot."
hebe,hercules,mercenaries,Hercules watches over Hebe as she slowly drifts into unconsciousness in the given context.,Hercules fights with mercenaries using his lightning sword in the context provided.
hebe,hercules,amphitryon,Hercules watches over Hebe as she slowly drifts into unconsciousness in the given context.,Hercules nearly defeats Amphitryon but meets him in personal combat in the given context.
hebe,hercules,amphitryon,Hercules watches over Hebe as she slowly drifts into unconsciousness in the given context.,Hercules finally avenges Alcmene's death and kills Amphitryon with the same blade that killed his mother in the context provided.
