node_1,node_2,node_3,edge_1,edge_2
hudgens,mysterious creature,security guard,"After escaping, Hudgens finds everyone killed by a mysterious creature and the coffin empty.",The mysterious creature from the ship attacks and kills a security guard inside the museum.
carnby,abkani artifact,carnby,Carnby arrives at the urban museum with an Abkani artifact that he has been studying since his nightmare in which he hides from alien-like creatures as a child.,Carnby arrived with an Abkani artifact that he has been studying since Hudgens' absence.
abkani artifact,carnby,abkani artifact,Carnby arrived with an Abkani artifact that he has been studying since Hudgens' absence.,Carnby arrives at the urban museum with an Abkani artifact that he has been studying since his nightmare in which he hides from alien-like creatures as a child.
abkani artifact,carnby,cedric,Carnby arrived with an Abkani artifact that he has been studying since Hudgens' absence.,Carnby and Cedric hide in a storage closet during the attack inside the museum.
abkani artifact,carnby,burke,Carnby arrived with an Abkani artifact that he has been studying since Hudgens' absence.,"Carnby attempts to relay information to their team leader, Commander Burke, but Burke tells him to stay out of it."
abkani artifact,carnby,burke's pocket,Carnby arrived with an Abkani artifact that he has been studying since Hudgens' absence.,Carnby picks Burke's pocket containing his security badge during a scuffle.
abkani artifact,carnby,creatures,Carnby arrived with an Abkani artifact that he has been studying since Hudgens' absence.,"are attacked by dozens of the creatures; only Carnby, Cedric, and Burke survive"
abkani artifact,carnby,artifact,Carnby arrived with an Abkani artifact that he has been studying since Hudgens' absence.,finds Carnby's artifact
fischer,carnby,abkani artifact,"Carnby visits his former co-workers, including staff surgeon and pathologist Sam Fischer, about the creature.",Carnby arrives at the urban museum with an Abkani artifact that he has been studying since his nightmare in which he hides from alien-like creatures as a child.
fischer,carnby,cedric,"Carnby visits his former co-workers, including staff surgeon and pathologist Sam Fischer, about the creature.",Carnby and Cedric hide in a storage closet during the attack inside the museum.
fischer,carnby,burke,"Carnby visits his former co-workers, including staff surgeon and pathologist Sam Fischer, about the creature.","Carnby attempts to relay information to their team leader, Commander Burke, but Burke tells him to stay out of it."
fischer,carnby,burke's pocket,"Carnby visits his former co-workers, including staff surgeon and pathologist Sam Fischer, about the creature.",Carnby picks Burke's pocket containing his security badge during a scuffle.
fischer,carnby,creatures,"Carnby visits his former co-workers, including staff surgeon and pathologist Sam Fischer, about the creature.","are attacked by dozens of the creatures; only Carnby, Cedric, and Burke survive"
fischer,carnby,artifact,"Carnby visits his former co-workers, including staff surgeon and pathologist Sam Fischer, about the creature.",finds Carnby's artifact
