node_1,node_2,node_3,edge_1,edge_2
jonathan,alexi petrovich,rollerball promoter,"Jonathan's team promoter, Alexi Petrovich, has a vested interest in keeping the game popular through planned gory ""accidents"". Jonathan and Ridley eventually discover this situation but want to keep their current lifestyle.",Jonathan is described as the poster child of Rollerball promoter Alexi Petrovich.
aurora,jonathan,alexi petrovich,"In the beginning, Jonathan is enamored by his female teammate Aurora and keeps their relationship a secret. The two keep their relationship a secret and refuse to put a stop to rumors that Aurora is a lesbian.","Jonathan's team promoter, Alexi Petrovich, has a vested interest in keeping the game popular through planned gory ""accidents"". Jonathan and Ridley eventually discover this situation but want to keep their current lifestyle."
aurora,jonathan,ridley,"In the beginning, Jonathan is enamored by his female teammate Aurora and keeps their relationship a secret. The two keep their relationship a secret and refuse to put a stop to rumors that Aurora is a lesbian.","Jonathan and Ridley pretend to know nothing about Alexi's plan but after an ""accident"" almost kills Aurora, they decide to flee the country to save their lives."
aurora,jonathan,alexi,"In the beginning, Jonathan is enamored by his female teammate Aurora and keeps their relationship a secret. The two keep their relationship a secret and refuse to put a stop to rumors that Aurora is a lesbian.","Jonathan and Alexi are followed by Alexi's men who attack them before they can reach the Russian border. Jonathan is injured, and Ridley has to leave him behind. Alexi captures Jonathan and kills Ridley before he can cross the border. Jonathan says that he will keep working for Alexi if Aurora is traded to another team, wanting to keep her away from danger. Alexi complies, secretly transferring Aurora to the opposing team for the next match."
aurora,jonathan,aurora,"In the beginning, Jonathan is enamored by his female teammate Aurora and keeps their relationship a secret. The two keep their relationship a secret and refuse to put a stop to rumors that Aurora is a lesbian.","Jonathan wants to keep Aurora away from danger and asks Alexi to trade her to another team. In return, Jonathan says that he will continue working for Alexi."
aurora,jonathan,rollerball match,"In the beginning, Jonathan is enamored by his female teammate Aurora and keeps their relationship a secret. The two keep their relationship a secret and refuse to put a stop to rumors that Aurora is a lesbian.","During the upcoming Rollerball match, Jonathan tries to start a revolution by breaking the rules and causing chaos. This leads to more violent gameplay."
aurora,jonathan,wwe-like showmanship,"In the beginning, Jonathan is enamored by his female teammate Aurora and keeps their relationship a secret. The two keep their relationship a secret and refuse to put a stop to rumors that Aurora is a lesbian.","In response to Jonathan's actions, Alexi tries to stage a public execution of him by removing all the rules from the Rollerball match. This leads to more WWE-like showmanship and spectacle in the game."
aurora,jonathan,crazy costumes and stunts,"In the beginning, Jonathan is enamored by his female teammate Aurora and keeps their relationship a secret. The two keep their relationship a secret and refuse to put a stop to rumors that Aurora is a lesbian.",The crazy costumes and stunts that Jonathan introduces during the Rollerball match become a part of the WWE-like showmanship in the game.
aurora,jonathan,"pink, slipknot, and shane mcmahon","In the beginning, Jonathan is enamored by his female teammate Aurora and keeps their relationship a secret. The two keep their relationship a secret and refuse to put a stop to rumors that Aurora is a lesbian.","The film features cameo appearances by Pink, Slipknot, and Shane McMahon due to the WWE-like showmanship introduced by Jonathan."
aurora,jonathan,fans,"In the beginning, Jonathan is enamored by his female teammate Aurora and keeps their relationship a secret. The two keep their relationship a secret and refuse to put a stop to rumors that Aurora is a lesbian.",The fans see the true nature of the Rollerball game because of Jonathan's revolution.
aurora,jonathan,alexi,"In the beginning, Jonathan is enamored by his female teammate Aurora and keeps their relationship a secret. The two keep their relationship a secret and refuse to put a stop to rumors that Aurora is a lesbian.","In a fit of rage, Jonathan kills Alexi before reuniting with Aurora."
aurora,jonathan,sanjay,"In the beginning, Jonathan is enamored by his female teammate Aurora and keeps their relationship a secret. The two keep their relationship a secret and refuse to put a stop to rumors that Aurora is a lesbian.","After killing Alexi, Jonathan also kills Sanjay."
jonathan,alexi,aurora,"Jonathan and Alexi are followed by Alexi's men who attack them before they can reach the Russian border. Jonathan is injured, and Ridley has to leave him behind. Alexi captures Jonathan and kills Ridley before he can cross the border. Jonathan says that he will keep working for Alexi if Aurora is traded to another team, wanting to keep her away from danger. Alexi complies, secretly transferring Aurora to the opposing team for the next match.",Alexi secretly transfers Aurora to the opposing team for the next match in return for Jonathan's cooperation.
jonathan,aurora,jonathan,"Jonathan wants to keep Aurora away from danger and asks Alexi to trade her to another team. In return, Jonathan says that he will continue working for Alexi.","In the beginning, Jonathan is enamored by his female teammate Aurora and keeps their relationship a secret. The two keep their relationship a secret and refuse to put a stop to rumors that Aurora is a lesbian."
alexi,aurora,jonathan,Alexi secretly transfers Aurora to the opposing team for the next match in return for Jonathan's cooperation.,"In the beginning, Jonathan is enamored by his female teammate Aurora and keeps their relationship a secret. The two keep their relationship a secret and refuse to put a stop to rumors that Aurora is a lesbian."
jonathan,alexi,aurora,"In a fit of rage, Jonathan kills Alexi before reuniting with Aurora.",Alexi secretly transfers Aurora to the opposing team for the next match in return for Jonathan's cooperation.
harry knowles,rollerball,violent extension of roller derby involving motorcycles and a metal ball,"Harry Knowles, from Ain't it Cool News, watched a test screening of the film and gave a review. He said that the movie was bad but had much nudity and brutal violence in Rollerball scenes.",The new sport of Rollerball is described as a violent extension of roller derby involving motorcycles and a metal ball.
harry knowles,rollerball,most expensive box office flop,"Harry Knowles, from Ain't it Cool News, watched a test screening of the film and gave a review. He said that the movie was bad but had much nudity and brutal violence in Rollerball scenes.","In 2014, the Los Angeles Times listed the updated version of Rollerball as one of the most expensive box office flops of all time."
harry knowles,rollerball,william harrison,"Harry Knowles, from Ain't it Cool News, watched a test screening of the film and gave a review. He said that the movie was bad but had much nudity and brutal violence in Rollerball scenes.","The creator of Rollerball, William Harrison, has expressed no interest in watching the 2002 incarnation of Rollerball."
