node_1,node_2,node_3,edge_1,edge_2
horus,isis,osiris,Horus is the son of Isis and Osiris,"Isis is the wife of Osiris, the king of Egypt"
horus,isis,nephthys,Horus is the son of Isis and Osiris,Isis and Nephthys are sisters and wives of Set
hathor,horus,isis,"Hathor is the lover of Horus, the Egyptian God of Air",Horus is the son of Isis and Osiris
hathor,horus,osiris,"Hathor is the lover of Horus, the Egyptian God of Air","Horus is the son of Osiris, the king of Egypt"
zaya,bek,horus,"Zaya is the lover of Bek, a young thief who allies with Horus","Bek allies with Horus, the Egyptian God of Air"
thoth,horus,isis,"Thoth is the brother of Horus, the Egyptian God of Air",Horus is the son of Isis and Osiris
thoth,horus,osiris,"Thoth is the brother of Horus, the Egyptian God of Air","Horus is the son of Osiris, the king of Egypt"
urshu,set,osiris,"Urshu is the second-in-command and architect of Set, the Egyptian God of the Desert","Set is the brother of Osiris, the king of Egypt"
astarte,set,osiris,"Astarte is one of the goddesses of war who are loyal to Set, the Egyptian God of the Desert","Set is the brother of Osiris, the king of Egypt"
anat,set,osiris,"Anat is one of the goddesses of war who are loyal to Set, the Egyptian God of the Desert","Set is the brother of Osiris, the king of Egypt"
bek,horus,isis,"Bek allies with Horus, the Egyptian God of Air",Horus is the son of Isis and Osiris
bek,horus,osiris,"Bek allies with Horus, the Egyptian God of Air","Horus is the son of Osiris, the king of Egypt"
