node_1,node_2,edge,chunk_id,node_3,node_4,count
spider-man: no way home,marvel comics character spider-man,The film 'Spider-Man: No Way Home' is based on the Marvel Comics character Spider-Man.,10a0a60391994314962fa699cf122ce8,,,4
columbia pictures,spider-man: no way home,"Co-produced by Columbia Pictures and Marvel Studios, 'Spider-Man: No Way Home' is distributed by Sony Pictures Releasing.",10a0a60391994314962fa699cf122ce8,,,4
marvel studios,spider-man: no way home,"Co-produced by Columbia Pictures and Marvel Studios, 'Spider-Man: No Way Home' is distributed by Sony Pictures Releasing.",10a0a60391994314962fa699cf122ce8,,,4
sony pictures releasing,spider-man: no way home,"Distributed by Sony Pictures Releasing, 'Spider-Man: No Way Home' is a 2021 American superhero film based on the Marvel Comics character Spider-Man.",10a0a60391994314962fa699cf122ce8,,,4
tom holland,peter parker / spider-man,Starring Tom Holland as Peter Parker / Spider-Man in 'Spider-Man: No Way Home'.,10a0a60391994314962fa699cf122ce8,,,4
zendaya,mia mallory,Co-starring Zendaya as Mia Mallory in 'Spider-Man: No Way Home'.,10a0a60391994314962fa699cf122ce8,,,4
benedict cumberbatch,dr. stephen strange,Starring Benedict Cumberbatch as Dr. Stephen Strange in 'Spider-Man: No Way Home'.,10a0a60391994314962fa699cf122ce8,,,4
jacob batalon,ned leeds,Co-starring Jacob Batalon as Ned Leeds in 'Spider-Man: No Way Home'.,10a0a60391994314962fa699cf122ce8,,,4
jon favreau,happy hogan,Co-starring Jon Favreau as Happy Hogan in 'Spider-Man: No Way Home'.,10a0a60391994314962fa699cf122ce8,,,4
jamie foxx,electro (max dillon),Starring Jamie Foxx as Electro (Max Dillon) in 'Spider-Man: No Way Home'.,10a0a60391994314962fa699cf122ce8,,,4
willem dafoe,norman osborn / green goblin,Starring Willem Dafoe as Norman Osborn / Green Goblin in 'Spider-Man: No Way Home'.,10a0a60391994314962fa699cf122ce8,,,4
alfred molina,doctor octopus (otto octavius),Starring Alfred Molina as Doctor Octopus (Otto Octavius) in 'Spider-Man: No Way Home'.,10a0a60391994314962fa699cf122ce8,,,4
benedict wong,wong,Co-starring Benedict Wong as Wong in 'Spider-Man: No Way Home'.,10a0a60391994314962fa699cf122ce8,,,4
tony revolori,flash thompson,Co-starring Tony Revolori as Flash Thompson in 'Spider-Man: No Way Home'.,10a0a60391994314962fa699cf122ce8,,,4
marisa tomei,may parker,Starring Marisa Tomei as May Parker in 'Spider-Man: No Way Home'.,10a0a60391994314962fa699cf122ce8,,,4
andrew garfield,peter parker / spider-man (amazing),Starring Andrew Garfield as Peter Parker / Spider-Man (Amazing) in 'Spider-Man: No Way Home'.,10a0a60391994314962fa699cf122ce8,,,4
tobey maguire,peter parker / spider-man (classic),Starring Tobey Maguire as Peter Parker / Spider-Man (Classic) in 'Spider-Man: No Way Home'.,10a0a60391994314962fa699cf122ce8,,,4
mcu,spider-man: no way home,'Spider-Man: No Way Home' is the 27th film in the Marvel Cinematic Universe (MCU).,10a0a60391994314962fa699cf122ce8,,,4
director,jon watts,The film 'Spider-Man: No Way Home' is directed by Jon Watts.,10a0a60391994314962fa699cf122ce8,,,4
writer,chris mckenna,The screenplay of the film 'Spider-Man: No Way Home' is written by Chris McKenna.,10a0a60391994314962fa699cf122ce8,,,4
erik sommers,screenplay writer,The screenplay of the film 'Spider-Man: No Way Home' is also written by Erik Sommers.,10a0a60391994314962fa699cf122ce8,,,4
mcu spider-man film,homecoming,Third MCU Spider-Man film was planned during the production of Homecoming in 2017.,2957450cff2f4155b9245ac7d72fb911,,,4
mcu spider-man film,no way home,"Negotiations between Sony and Marvel Studios to alter their deal ended with Marvel Studios leaving the project in August 2019, but a negative fan reaction led to a new deal between the companies a month later.",2957450cff2f4155b9245ac7d72fb911,,,4
