node_1,node_2,edge,chunk_id,node_3,node_4,node_5,node_6,node_7,count
james bond,mi6 operative,Bond is an MI6 operative.,05b922c0eabe43a793d65562c624ef6d,,,,,,4
james bond,00 agent,Bond becomes a 00 agent by earning his 'licence to kill' and assassinating the traitorous Dryden in Prague.,05b922c0eabe43a793d65562c624ef6d,,,,,,4
steven obanno,lord's resistance army,Obanno is a high-ranking member of the Lord's Resistance Army.,05b922c0eabe43a793d65562c624ef6d,,,,,,4
le chiffre,albanian private banker to terrorists,Le Chiffre is an Albanian private banker to terrorists.,05b922c0eabe43a793d65562c624ef6d,,,,,,4
obanno,le chiffre,Obanno entrusts Le Chiffre with $100 million.,05b922c0eabe43a793d65562c624ef6d,,,,,,4
le chiffre,skyfleet,"Using knowledge of his upcoming terrorist attack on aerospace manufacturer Skyfleet, Le Chiffre shorts the company's stock.",05b922c0eabe43a793d65562c624ef6d,,,,,,4
mollaka,bond,"Bond destroys an embassy while capturing and then killing Mollaka, causing an international incident which M criticises Bond for. Mollaka's phone leads Bond to Alex Dimitrios.",06b51d9c98584c25b54b3a5348ccbce4,,,,,,4
mollaka,le chiffre,Le Chiffre hires Mollaka to bomb Skyfleet's prototype airliner at his request.,06b51d9c98584c25b54b3a5348ccbce4,,,,,,4
dimitrios,bond,Bond wins Dimitrios's vintage Aston Martin in a poker game and seduces his wife Solange. Bond pursues Dimitrios to Miami and fights off an attack by him.,06b51d9c98584c25b54b3a5348ccbce4,,,,,,4
dimitrios,le chiffre,"Alex Dimitrios had hired a new bomber at the request of Le Chiffre, to destroy the Skyfleet airliner.",06b51d9c98584c25b54b3a5348ccbce4,,,,,,4
solange,le chiffre,Le Chiffre tortures Solange to death when he realizes that somebody talked about the terrorist plot.,06b51d9c98584c25b54b3a5348ccbce4,,,,,,4
bond,le chiffre,"organizes a Texas hold 'em tournament at the Casino Royale in Montenegro to recoup his client's money for MI6 enters Bond, believing a defeat will force Le Chiffre to seek asylum with the British government in exchange for information on his clients.",a3327ac152554c32b7a8517ce6b82215,,,,,,4
le chiffre,obanno,"is threatened by Obanno, but allows him to continue playing to win back the money he owes.",a3327ac152554c32b7a8517ce6b82215,,,,,,4
bond,vesper lynd,"MI6 enters Bond in the tournament and pairs him with Vesper Lynd, a British Treasury agent overseeing the $10 million buy-in.",a3327ac152554c32b7a8517ce6b82215,,,,,,4
bond,rené mathis,"meets their contact, René Mathis, in Montenegro.",a3327ac152554c32b7a8517ce6b82215,,,,,,4
le chiffre,bond's tell,Le Chiffre is tipped off about Bond's own tell and he loses his $10 million stake after Le Chiffre is tipped off about his own tell.,a3327ac152554c32b7a8517ce6b82215,,,,,,4
vesper lynd,le chiffre's clients,"MI6 enters Bond in the tournament, believing a defeat will force Le Chiffre to seek asylum with the British government in exchange for information on his clients.",a3327ac152554c32b7a8517ce6b82215,,,,,,4
bond,felix leiter,Bond loses his $10 million stake after Le Chiffre is tipped off about his own tell and fellow player and CIA agent Felix Leiter stakes Bond the money in exchange for letting the CIA take Le Chiffre into custody.,a3327ac152554c32b7a8517ce6b82215,,,,,,4
le chiffre,valenka,Le Chiffre's lover Valenka poisons Bond but Vesper rescues him.,a3327ac152554c32b7a8517ce6b82215,,,,,,4
mr. white,le chiffre,"Mr. White bursts in and kills Le Chiffre, but spares Bond and Vesper.",a3327ac152554c32b7a8517ce6b82215,,,,,,4
quentin tarantino,casino royale,"Director Quentin Tarantino expressed interest in directing an adaptation of Casino Royale, but Eon was not interested.",e3b30443b8bc4c70b0f05ad5c7e18108,,,,,,4
quentin tarantino,eon,"Tarantino's interest in directing an adaptation of Casino Royale led to his involvement behind the scenes with the Fleming family, which he believes was a reason why filmmakers finally went ahead with Casino Royale.",e3b30443b8bc4c70b0f05ad5c7e18108,,,,,,4
pierce brosnan,casino royale,Tarantino would only have made an adaptation of Casino Royale with Pierce Brosnan as Bond.,e3b30443b8bc4c70b0f05ad5c7e18108,,,,,,4
martin campbell,purvis and wade's draft,needed a rewrite,0716d8bea4384db882850cc75cba5946,,,,,,4
campbell,paul haggis,was suggested to rewrite the climax of the film,0716d8bea4384db882850cc75cba5946,,,,,,4
haggis,purvis and wade's draft,rewrote,0716d8bea4384db882850cc75cba5946,,,,,,4
purvis and wade's draft,climax of the film,needed a rewrite,0716d8bea4384db882850cc75cba5946,,,,,,4
haggis,vesper,thought that Vesper had to be in the sinking house and Bond has to want to kill her and then try and save her,0716d8bea4384db882850cc75cba5946,,,,,,4
broccoli,die another day,became too fantastical,0716d8bea4384db882850cc75cba5946,,,,,,4
wilson,die another day,became too fantastical,0716d8bea4384db882850cc75cba5946,,,,,,4
broccoli,frivolity,didn't feel appropriate after the 9/11 attacks,0716d8bea4384db882850cc75cba5946,,,,,,4
eon,computer-generated imagery effects,"Eon believed that it had relied too heavily on computer-generated imagery effects in the more recent films, particularly Die Another Day.",e008c8eebca94d4c97ab7c785f060935,,,,,,4
eon,die another day,"Eon believed that it had relied too heavily on computer-generated imagery effects in the more recent films, particularly Die Another Day.",e008c8eebca94d4c97ab7c785f060935,,,,,,4
die another day,computer-generated imagery effects,"Eon believed that it had relied too heavily on computer-generated imagery effects in the more recent films, particularly Die Another Day.",e008c8eebca94d4c97ab7c785f060935,,,,,,4
casino royale,the old fashioned way,Eon was keen to accomplish the stunts in Casino Royale 'the old fashioned way'.,e008c8eebca94d4c97ab7c785f060935,,,,,,4
spectre,organization of which mr white is a part,"Due to copyright issues related to the ownership of Thunderball, the organization of which Mr White is a part is not named SPECTRE.",e008c8eebca94d4c97ab7c785f060935,,,,,,4
thunderball,ownership,"Due to copyright issues related to the ownership of Thunderball, the organization of which Mr White is a part is not named SPECTRE.",e008c8eebca94d4c97ab7c785f060935,,,,,,4
fleming's,darker storyline and characterization of bond,"Screenwriters Purvis, Wade and Haggis wanted the script to follow as closely as possible the original 1953 novel, keeping Fleming's darker storyline and characterization of Bond.",e008c8eebca94d4c97ab7c785f060935,,,,,,4
brosnan,james bond,"Brosnan had signed a deal for four films and this was fulfilled with the production of Die Another Day in 2002, officially announcing his stepping down from the role of James Bond in February 2004.",24ecda786986428abf089f3408c8938c,,,,,,4
james bond,craig,"At one point, producer Michael G. Wilson claimed over 200 names were being considered for Craig's replacement after Brosnan stepped down.",24ecda786986428abf089f3408c8938c,,,,,,4
craig,višnjić,"Croatian actor Goran Višnjić auditioned for the role of James Bond on the same day as Craig, but was reportedly unable to master an English accent.",24ecda786986428abf089f3408c8938c,,,,,,4
