node_1,node_2,edge,chunk_id,node_3,node_4,node_5,node_6,node_7,node_8,node_9,count
la la land,musical,La La Land is a musical romantic comedy-drama film written and directed by Damien Chazelle.,24f670184c184cfbaab5717c6401c58e,,,,,,,,4
damien chazelle,director,Damien Chazelle first conceptualized the film alongside Justin Hurwitz while attending Harvard University together.,24f670184c184cfbaab5717c6401c58e,,,,,,,,4
musical,romantic comedy-drama,La La Land is a musical romantic comedy-drama film written and directed by Damien Chazelle.,24f670184c184cfbaab5717c6401c58e,,,,,,,,4
ryan gosling,struggling jazz pianist,La La Land stars Ryan Gosling as a struggling jazz pianist and an aspiring actress who meet and fall in love while pursuing their dreams in Los Angeles.,24f670184c184cfbaab5717c6401c58e,,,,,,,,4
emma stone,aspiring actress,La La Land stars Ryan Gosling and Emma Stone as a struggling jazz pianist and an aspiring actress who meet and fall in love while pursuing their dreams in Los Angeles.,24f670184c184cfbaab5717c6401c58e,,,,,,,,4
john legend,supporting cast,"The supporting cast includes John Legend, Rosemarie DeWitt, Finn Wittrock, and J. K. Simmons.",24f670184c184cfbaab5717c6401c58e,,,,,,,,4
rosemarie dewitt,supporting cast,"The supporting cast includes John Legend, Rosemarie DeWitt, Finn Wittrock, and J. K. Simmons.",24f670184c184cfbaab5717c6401c58e,,,,,,,,4
finn wittrock,supporting cast,"The supporting cast includes John Legend, Rosemarie DeWitt, Finn Wittrock, and J. K. Simmons.",24f670184c184cfbaab5717c6401c58e,,,,,,,,4
j. k. simmons,supporting cast,"The supporting cast includes John Legend, Rosemarie DeWitt, Finn Wittrock, and J. K. Simmons.",24f670184c184cfbaab5717c6401c58e,,,,,,,,4
harvard university,conceptualized,"After moving to Los Angeles in 2010, Chazelle penned the script but did not find a studio willing to finance the production without changes to his design.",24f670184c184cfbaab5717c6401c58e,,,,,,,,4
miles teller,originally in talks to star,"After both Miles Teller and Emma Watson dropped out, Gosling and Stone were cast.",24f670184c184cfbaab5717c6401c58e,,,,,,,,4
sebastian 'seb' wilder,mia dolan,Sebastian 'Seb' Wilder had a moment of road rage directed at Mia Dolan while stuck in Los Angeles traffic.,57bf972cae0d4c93a62dee6d43dd4f76,,,,,,,,4
mia dolan,casting director,"During an emotional scene, the casting director took a phone call during Mia Dolan's next audition, which went awry.",57bf972cae0d4c93a62dee6d43dd4f76,,,,,,,,4
mia dolan,roommates,"Mia Dolan's roommates took her to a lavish party in the Hollywood Hills, promising her that someone in the crowd could jump-start her career.",57bf972cae0d4c93a62dee6d43dd4f76,,,,,,,,4
mia dolan,car,"After her car was towed, Mia Dolan walked home in disappointment.",57bf972cae0d4c93a62dee6d43dd4f76,,,,,,,,4
