node_1,node_2,edge,chunk_id,relation,type,count
mulholland drive,david lynch,Director Mulholland Drive is a surrealist mystery film written and directed by David Lynch,5ecf4583f7234888a403cc38ec2ed95d,,,4
betty elms,naomi watts,Actress Naomi Watts plays the role of Betty Elms in Mulholland Drive,5ecf4583f7234888a403cc38ec2ed95d,,,4
amnesiac woman,laura harring,Actress Laura Harring plays the role of an amnesiac woman in Mulholland Drive,5ecf4583f7234888a403cc38ec2ed95d,,,4
hollywood film director,justin theroux,Actor Justin Theroux plays the role of a Hollywood film director in Mulholland Drive,5ecf4583f7234888a403cc38ec2ed95d,,,4
aspiring actress,betty elms,Betty Elms is an aspiring actress in Mulholland Drive,5ecf4583f7234888a403cc38ec2ed95d,,,4
los angeles,mulholland drive,Mulholland Drive takes place in Los Angeles,5ecf4583f7234888a403cc38ec2ed95d,,,4
car accident,amnesiac woman,The amnesiac woman suffers from a car accident,5ecf4583f7234888a403cc38ec2ed95d,,,4
tagline,mulholland drive,Mulholland Drive is labeled as 'A love story in the city of dreams' by David Lynch,5ecf4583f7234888a403cc38ec2ed95d,,,4
mulholland drive,woman,The woman is trying to escape a shooting on Mulholland Drive.,45e57c2e29b54de28bff4bc734abed55,,,4
limousine chauffeur,woman,The limousine chauffeur attempts to shoot the woman on Mulholland Drive.,45e57c2e29b54de28bff4bc734abed55,,,4
apartment,woman,The woman hides in an apartment after escaping from the shooting.,45e57c2e29b54de28bff4bc734abed55,,,4
betty elms,woman,Betty Elms discovers the woman with amnesia in her aunt's apartment.,45e57c2e29b54de28bff4bc734abed55,,,4
rita,woman,The woman adopts the name 'Rita' from a Gilda poster.,45e57c2e29b54de28bff4bc734abed55,,,4
winkie's diner,man,A man and his companion investigate behind Winkie's diner due to similarities in their nightmares with the diner.,45e57c2e29b54de28bff4bc734abed55,,,4
horrific figure,man,The horrific figure causes the man to collapse in shock while investigating behind Winkie's diner.,45e57c2e29b54de28bff4bc734abed55,,,4
mulholland drive,cash,Rita and Betty Elms discover a large quantity of cash in Rita's purse while she was hiding on Mulholland Drive.,45e57c2e29b54de28bff4bc734abed55,,,4
mulholland drive,blue key,Rita and Betty Elms also find a blue key in Rita's purse while she was hiding on Mulholland Drive.,45e57c2e29b54de28bff4bc734abed55,,,4
mulholland drive,ann miller,Mulholland Drive is the last feature film to star veteran Hollywood actress Ann Miller.,45e57c2e29b54de28bff4bc734abed55,,,4
adam kesher,camilla rhodes,"Adam refuses to cast Camilla at her audition, but later the mobsters pressure him to do so, as they remove his line of credit and shut down production. Adam eventually gives in and casts Camilla, which pleases the studio.",67feafb75eaf45a39e04b677ab59756c,,,4
camilla rhodes,unknown actress,"Both terms refer to individuals being considered for roles in Adam's film. The difference is that Camilla was ultimately cast, while the identity of the unknown actress remains unclear.",67feafb75eaf45a39e04b677ab59756c,,,4
adam kesher,studio,The studio shuts down production after Adam refuses to cast Camilla Rhodes. This action is taken due to pressure from the mobsters.,67feafb75eaf45a39e04b677ab59756c,,,4
adam kesher,mobsters,"The mobsters threaten Adam, urging him to cast Camilla Rhodes. They also remove his line of credit, leading to the studio shutting down production.",67feafb75eaf45a39e04b677ab59756c,,,4
adam kesher,wife's lover,"After Adam discovers his wife's infidelity, she kicks him out of their home. This could potentially lead to a change in the relationship between Adam and his wife's lover.",67feafb75eaf45a39e04b677ab59756c,,,4
adam kesher,cowboy,"The cowboy strongly urges Adam to cast Camilla Rhodes, implying a potential association between the two men.",67feafb75eaf45a39e04b677ab59756c,,,4
rita,diane selwyn,"After Rita's name is mentioned by a waitress at Winkie's, she remembers the name Diane Selwyn. They subsequently call her number, but there is no answer.",67feafb75eaf45a39e04b677ab59756c,,,4
betty,casting agent,The casting agent shows Betty around during her audition for a role in Adam's film.,67feafb75eaf45a39e04b677ab59756c,,,4
adam kesher,the sylvia north story,Adam is auditioning for The Sylvia North Story when Betty enters the set. They briefly lock eyes before Betty flees.,67feafb75eaf45a39e04b677ab59756c,,,4
hitman,book of phone numbers,"A bungling hitman attempts to steal a book of phone numbers, leading to the deaths of three people.",67feafb75eaf45a39e04b677ab59756c,,,4
betty,diane selwyn,"Betty and Rita go to Diane Selwyn's apartment complex, but the occupant explains she is Diane’s neighbor and they recently swapped apartments.",dcda4382c7ac49329024cf59a5fcd451,,,4
