node_1,node_2,edge,chunk_id,description,count
avatar,epic science fiction film,Avatar is a type of epic science fiction film.,a806b61ab52c415ea4b307946da7ad5e,,4
james cameron,directed,James Cameron directed the film Avatar.,a806b61ab52c415ea4b307946da7ad5e,,4
avatar,2009,The film Avatar was released in 2009.,a806b61ab52c415ea4b307946da7ad5e,,4
avatar,co-produced,Avatar was co-produced by its producers.,a806b61ab52c415ea4b307946da7ad5e,,4
avatar,mid-22nd century,The film Avatar is set in the mid-22nd century.,a806b61ab52c415ea4b307946da7ad5e,,4
pandora,lush habitable moon,"Pandora is a lush habitable moon, as depicted in the film Avatar.",a806b61ab52c415ea4b307946da7ad5e,,4
alpha centauri star system,pandora's location,"Pandora is located in the Alpha Centauri star system, as depicted in the film Avatar.",a806b61ab52c415ea4b307946da7ad5e,,4
humanoid species,na'vi,"The local tribe of Pandora, as depicted in the film Avatar, is a humanoid species.",a806b61ab52c415ea4b307946da7ad5e,,4
pandora,threatened by mining colony,"The continued existence of the Na'vi tribe of Pandora, as depicted in the film Avatar, is threatened by the expansion of the mining colony.",a806b61ab52c415ea4b307946da7ad5e,,4
human beings,colonizing pandora,"Human beings are colonizing Pandora, as depicted in the film Avatar.",a806b61ab52c415ea4b307946da7ad5e,,4
pandora,mining valuable mineral unobtanium,"The valuable mineral unobtanium is being mined on Pandora, as depicted in the film Avatar.",a806b61ab52c415ea4b307946da7ad5e,,4
room-temperature superconductor mineral,unobtanium,"Unobtanium is a room-temperature superconductor mineral, as depicted in the film Avatar.",a806b61ab52c415ea4b307946da7ad5e,,4
humanoid body,avatar,"A genetically engineered Na'vi body operated from the brain of a remotely located human is called an Avatar, as depicted in the film Avatar.",a806b61ab52c415ea4b307946da7ad5e,,4
avatar,james cameron,James Cameron wrote an 80-page treatment for Avatar in 1994 and the film's budget was officially set at $237 million due to the groundbreaking array of new visual effects he achieved with Weta Digital. Other estimates put the cost as high as $310 million for production and $150 million for promotion.,2798e8e05f034b2f8d2b8707f5cb95f1,,4
avatar,titanic,"James Cameron originally planned to film Avatar after completing Titanic in 1997, but the necessary technology was not yet available to achieve his vision of the film.",2798e8e05f034b2f8d2b8707f5cb95f1,,4
avatar,na'vi language,Work on the Na'vi language began in 2005 while Cameron started developing the screenplay and fictional universe for Avatar in early 2006.,2798e8e05f034b2f8d2b8707f5cb95f1,,4
avatar,3d viewing formats,"Avatar was released using several different 3D viewing formats, including RealD 3D, Dolby 3D, XpanD 3D, and IMAX 3D.",2798e8e05f034b2f8d2b8707f5cb95f1,,4
avatar,south korean theaters,Some South Korean theaters offered a 4D viewing experience for Avatar.,2798e8e05f034b2f8d2b8707f5cb95f1,,4
james cameron,titanic (film),"James Cameron also co-produced Titanic with Jon Landau, who later played a prominent role in the production of Avatar.",2798e8e05f034b2f8d2b8707f5cb95f1,,4
avatar,odeon leicester square,"Premiered at the Odeon Leicester Square in London on December 10, 2009.",c2fd28bbcb94499da6891b58672f75f9,,4
avatar,united states,Released in the United States on December 18.,c2fd28bbcb94499da6891b58672f75f9,,4
avatar,highest-grossing film of all time,"Broke several box office records, including becoming the highest-grossing film of all time during its theatrical run.",c2fd28bbcb94499da6891b58672f75f9,,4
avatar,highest-grossing film since then,Returned to becoming the highest-grossing film since 2019 with subsequent re-releases.,c2fd28bbcb94499da6891b58672f75f9,,4
avatar,avengers: endgame,Lost its position as the highest-grossing film to Avengers: Endgame in 2019 but regained it with subsequent re-releases.,c2fd28bbcb94499da6891b58672f75f9,,4
avatar,second-highest-grossing movie of all time (adjusted for inflation),"With a total of a little more than $3.5 billion, Avatar is the second-highest-grossing movie of all time after Gone with the Wind when adjusted for inflation.",c2fd28bbcb94499da6891b58672f75f9,,4
avatar,best-selling video title of 2010 in the united states,Became the best-selling video title of 2010 in the United States.,c2fd28bbcb94499da6891b58672f75f9,,4
avatar,3d televisions,Caused electronics manufacturers to release 3D televisions.,c2fd28bbcb94499da6891b58672f75f9,,4
avatar,3d films,Increased in popularity due to the success of Avatar.,c2fd28bbcb94499da6891b58672f75f9,,4
avatar: the way of water,avatar,"The success of the film led to the Avatar franchise, which includes the sequels Avatar: The Way of Water (2022), Avatar: Fire and Ash (2025), Avatar 4 (2029), and Avatar 5 (2031).",c2fd28bbcb94499da6891b58672f75f9,,4
earth,resource exhaustion and ecological collapse,"In 2154, Earth suffers from resource exhaustion and ecological collapse.",7c32ab6cf83f48939682fa0cc0d4793f,,4
resources development administration (rda),pandora,"The Resources Development Administration (RDA) mines the valuable mineral unobtanium on Pandora, a lush habitable moon orbiting a gas giant in the Alpha Centauri star system.",7c32ab6cf83f48939682fa0cc0d4793f,,4
pandora,na'vi,"Pandora is inhabited by the Na'vi, 10-foot-tall (3.0 m), blue-skinned, sapient humanoids that live in harmony with nature.",7c32ab6cf83f48939682fa0cc0d4793f,,4
na'vi,humans,The Na'vi and humans are two different sentient species on Pandora.,7c32ab6cf83f48939682fa0cc0d4793f,,4
paraplegic former marine jake sully,avatars,"Paraplegic former Marine Jake Sully is recruited by the RDA to replace his deceased identical twin, who had signed up to be an operator. Avatar Program head Dr. Grace Augustine considers Jake inadequate, but accepts him as an operator.",7c32ab6cf83f48939682fa0cc0d4793f,,4
jake sully,na'vi princess neytiri,"While escorting the avatars of Grace and Dr. Norm Spellman, Jake's avatar is attacked by Pandoran wildlife and flees into the forest, where he is rescued by the Na'vi princess Neytiri.",7c32ab6cf83f48939682fa0cc0d4793f,,4
neytiri,clan,"Suspicious of Jake, she takes him to her clan.",7c32ab6cf83f48939682fa0cc0d4793f,,4
mo'at,spiritual leader,"Mo'at, the clan’s spiritual leader, orders her daughter to initiate Jake into their society.",7c32ab6cf83f48939682fa0cc0d4793f,,4
colonel miles quaritch,jake sully,"Quaritch promises Jake that the company will restore the use of his legs in exchange for information about the Na'vi and their gathering place, Hometree.",d611ec7841d14d04bc7e04403c1e232d,,4
hometree,unobtanium deposit,Under which is a rich deposit of unobtanium.,d611ec7841d14d04bc7e04403c1e232d,,4
grace augustine,jake sully,"Grace transfers herself, Jake, and Norm to an outpost after learning that Quaritch promised to restore the use of Jake's legs in exchange for information about the Na'vi and their gathering place.",d611ec7841d14d04bc7e04403c1e232d,,4
jake sully,neytiri,Jake falls in love with Neytiri as he is initiated into the tribe.,d611ec7841d14d04bc7e04403c1e232d,,4
na'vi gathering place,hometree,"The Na'vi and their gathering place, Hometree.",d611ec7841d14d04bc7e04403c1e232d,,4
administrator parker selfridge,hometree,Orders Hometree destroyed despite Grace's argument that destroying it would damage the biological neural network that encompasses all Pandoran life.,d611ec7841d14d04bc7e04403c1e232d,,4
jake sully,grace augustine,"Jake confesses that he was a spy to the Na'vi after Quaritch's soldiers destroy Hometree, killing many, including Neytiri's father, the clan chief.",d611ec7841d14d04bc7e04403c1e232d,,4
na'vi,grace augustine,Take Jake and Grace captive after learning that he was a spy.,d611ec7841d14d04bc7e04403c1e232d,,4
quaritch's soldiers,hometree,"Destroy Hometree, killing many, including Neytiri's father, the clan chief.",d611ec7841d14d04bc7e04403c1e232d,,4
jake sully,grace augustine,Are detached from their avatars and imprisoned by Quaritch's forces during the escape.,d611ec7841d14d04bc7e04403c1e232d,,4
trudy chacón,jake sully,"Airlifts Jake, Grace, and Norm to Grace's outpost, but during the escape Grace is shot and fatally wounded.",d611ec7841d14d04bc7e04403c1e232d,,4
jake,toruk,"regains the Na'vi's trust by connecting his mind to that of the Toruk, a dragon-like creature feared and revered by the Na'vi.",166281eba53648ebbdd80fe1924df398,,4
jake,neytiri,"supported by Neytiri and the new chief Tsu'tey, Jake unites the clan",166281eba53648ebbdd80fe1924df398,,4
jake,rda,tells them to gather all the clans to battle the RDA.,166281eba53648ebbdd80fe1924df398,,4
quaritch,tree of souls,organizes a strike against the Tree of Souls to demoralize the Na'vi.,166281eba53648ebbdd80fe1924df398,,4
eywa,jake,Jake prays to the Na'vi deity Eywa via a neural connection with the Tree of Souls.,166281eba53648ebbdd80fe1924df398,,4
tsu'tey,na'vi,among the battle's heavy casualties.,166281eba53648ebbdd80fe1924df398,,4
trudy,na'vi,among the battle's heavy casualties.,166281eba53648ebbdd80fe1924df398,,4
pandoran wildlife,battle,"unexpectedly join the attack and overwhelm the humans, which Neytiri interprets as Eywa answering Jake's prayer.",166281eba53648ebbdd80fe1924df398,,4
