node_1,node_2,edge,chunk_id,node_3,relation,count
black panther,marvel comics character,Black Panther is a character from Marvel Comics.,100f997bc851421d9d48b4fdf98cfeea,,,4
black panther,american superhero film,The film Black Panther is based on the Marvel Comics character of the same name.,100f997bc851421d9d48b4fdf98cfeea,,,4
marvel studios,black panther,Black Panther is produced by Marvel Studios.,100f997bc851421d9d48b4fdf98cfeea,,,4
walt disney studios motion pictures,black panther,Black Panther is distributed by Walt Disney Studios Motion Pictures.,100f997bc851421d9d48b4fdf98cfeea,,,4
t'challa,black panther,T'Challa is the Marvel Comics character Black Panther.,100f997bc851421d9d48b4fdf98cfeea,,,4
ryan coogler,black panther,Ryan Coogler directed the film Black Panther.,100f997bc851421d9d48b4fdf98cfeea,,,4
joe robert cole,black panther,Joe Robert Cole co-wrote the screenplay for the film Black Panther with Ryan Coogler.,100f997bc851421d9d48b4fdf98cfeea,,,4
chadwick boseman,t'challa,Chadwick Boseman portrays the Marvel Comics character T'Challa in the film Black Panther.,100f997bc851421d9d48b4fdf98cfeea,,,4
michael b. jordan,killmonger,Michael B. Jordan plays the role of Killmonger in the film Black Panther.,100f997bc851421d9d48b4fdf98cfeea,,,4
lupita nyong'o,character,Lupita Nyong'o portrays a character in the film Black Panther.,100f997bc851421d9d48b4fdf98cfeea,,,4
danai gurira,character,Danai Gurira portrays a character in the film Black Panther.,100f997bc851421d9d48b4fdf98cfeea,,,4
martin freeman,character,Martin Freeman portrays a character in the film Black Panther.,100f997bc851421d9d48b4fdf98cfeea,,,4
daniel kaluuya,character,Daniel Kaluuya portrays a character in the film Black Panther.,100f997bc851421d9d48b4fdf98cfeea,,,4
letitia wright,character,Letitia Wright portrays a character in the film Black Panther.,100f997bc851421d9d48b4fdf98cfeea,,,4
winston duke,character,Winston Duke portrays a character in the film Black Panther.,100f997bc851421d9d48b4fdf98cfeea,,,4
sterling k. brown,character,Sterling K. Brown portrays a character in the film Black Panther.,100f997bc851421d9d48b4fdf98cfeea,,,4
angela bassett,character,Angela Bassett portrays a character in the film Black Panther.,100f997bc851421d9d48b4fdf98cfeea,,,4
forest whitaker,character,Forest Whitaker portrays a character in the film Black Panther.,100f997bc851421d9d48b4fdf98cfeea,,,4
andy serkis,character,Andy Serkis portrays a character in the film Black Panther.,100f997bc851421d9d48b4fdf98cfeea,,,4
mcu,black panther,Black Panther is part of the Marvel Cinematic Universe (MCU).,100f997bc851421d9d48b4fdf98cfeea,,,4
2018,black panther,The film Black Panther was released in 2018.,100f997bc851421d9d48b4fdf98cfeea,,,4
black panther film,wesley snipes,"In 1992, Wesley Snipes planned to make a Black Panther film but the project did not come to fruition.",ff0fc2b1a47341e9b25bbe1f9c488fa3,,,4
black panther film,marvel studios,"In September 2005, Marvel Studios listed a Black Panther film as one of ten films based on Marvel characters intended to be distributed by Paramount Pictures.",ff0fc2b1a47341e9b25bbe1f9c488fa3,,,4
black panther film,mark bailey,"In January 2011, Mark Bailey was hired to write a script for the Black Panther film.",ff0fc2b1a47341e9b25bbe1f9c488fa3,,,4
chadwick boseman,black panther character,Boseman made his first appearance as the Black Panther character in Captain America: Civil War (2016).,ff0fc2b1a47341e9b25bbe1f9c488fa3,,,4
ryan coogler,black director,Coogler was announced as the Black director for the Black Panther film in October 2014.,ff0fc2b1a47341e9b25bbe1f9c488fa3,,,4
lutheran university of south korea,busan,"Principal photography for the Black Panther film also took place in Busan, South Korea.",ff0fc2b1a47341e9b25bbe1f9c488fa3,,,4
black panther,mcu,"Black Panther is a film that is part of the Marvel Cinematic Universe (MCU), which includes several other superhero movies.",a25b1f6621e942fca8ceb7266a1d2cbe,,,4
black panther,dolby theatre,"The premiere of Black Panther took place at the Dolby Theatre in Los Angeles on January 29, 2018.",a25b1f6621e942fca8ceb7266a1d2cbe,,,4
black panther,mcu phase three,"Black Panther was released as part of Phase Three of the MCU, which includes several other films such as Captain America: Civil War and Avengers: Infinity War.",a25b1f6621e942fca8ceb7266a1d2cbe,,,4
black panther,critics,"Black Panther received critical acclaim from various critics, who praised its direction, writing, acting, costume design, production values, and soundtrack.",a25b1f6621e942fca8ceb7266a1d2cbe,,,4
black panther,visual effects,"Some critics criticized the visual effects of Black Panther, but it still became a commercial and critical success.",a25b1f6621e942fca8ceb7266a1d2cbe,,,4
black panther,culture,Black Panther was also noted for its cultural significance due to its predominantly black cast and portrayal of African culture.,a25b1f6621e942fca8ceb7266a1d2cbe,,,4
black panther,academy awards,"Black Panther received seven nominations at the 91st Academy Awards, winning three awards, including Best Costume Design, Best Original Score, and Best Production Design.",a25b1f6621e942fca8ceb7266a1d2cbe,,,4
black panther,disney+,A television series set in Wakanda is currently in development for Disney+'s streaming service.,a25b1f6621e942fca8ceb7266a1d2cbe,,,4
