node_1,node_2,edge,chunk_id,edge_1,count
dune,frank herbert,The film 'Dune' is an adaptation of the novel by Frank Herbert.,ed6424f5e4534cf7b9299a018e2f22a7,,4
denis villeneuve,dune,Denis Villeneuve directed and co-produced the film 'Dune'.,ed6424f5e4534cf7b9299a018e2f22a7,,4
paul atreides,dune,'Paul Atreides' is a character in the novel and film adaptation 'Dune'.,ed6424f5e4534cf7b9299a018e2f22a7,,4
house atreides,dune,The noble House Atreides is mentioned in the novel and film adaptation 'Dune'.,ed6424f5e4534cf7b9299a018e2f22a7,,4
arrakis,dune,'Arrakis' is a planet mentioned in the novel and film adaptation 'Dune'.,ed6424f5e4534cf7b9299a018e2f22a7,,4
timothée chalamet,paul atreides,Timothée Chalamet plays the character 'Paul Atreides' in the film adaptation of 'Dune'.,ed6424f5e4534cf7b9299a018e2f22a7,,4
rebecca ferguson,house atreides,Rebecca Ferguson portrays a member of the noble House Atreides in the film adaptation of 'Dune'.,ed6424f5e4534cf7b9299a018e2f22a7,,4
oscar isaac,house atreides,Oscar Isaac plays a member of the noble House Atreides in the film adaptation of 'Dune'.,ed6424f5e4534cf7b9299a018e2f22a7,,4
josh brolin,house harkonnen,'Josh Brolin' portrays a member of House Harkonnen in the film adaptation of 'Dune'.,ed6424f5e4534cf7b9299a018e2f22a7,,4
stellan skarsgård,house corrino,'Stellan Skarsgård' plays a member of House Corrino in the film adaptation of 'Dune'.,ed6424f5e4534cf7b9299a018e2f22a7,,4
dave bautista,ss murderhaus,'Dave Bautista' portrays a member of the SS MurderHaus in the film adaptation of 'Dune'.,ed6424f5e4534cf7b9299a018e2f22a7,,4
stephen mckinley henderson,thufir hawat,'Stephen McKinley Henderson' plays the character 'Thufir Hawat' in the film adaptation of 'Dune'.,ed6424f5e4534cf7b9299a018e2f22a7,,4
zendaya,chani,'Zendaya' portrays the character 'Chani' in the film adaptation of 'Dune'.,ed6424f5e4534cf7b9299a018e2f22a7,,4
chang chen,dr. yueh,'Chang Chen' plays the character 'Dr. Yueh' in the film adaptation of 'Dune'.,ed6424f5e4534cf7b9299a018e2f22a7,,4
