node_1,node_2,edge,chunk_id,context,edge_cont,count
brokeback mountain,american neo-western romantic drama film,Brokeback Mountain is a 2005 American neo-Western romantic drama film directed by Ang Lee and produced by Diana Ossana and James Schamus.,39b9c54d96044fb8bd0ae407b627dc20,,,4
ang lee,director,"Ang Lee is the director of Brokeback Mountain, a 2005 American neo-Western romantic drama film.",39b9c54d96044fb8bd0ae407b627dc20,,,4
diana ossana,producer,"Diana Ossana is one of the producers of Brokeback Mountain, a 2005 American neo-Western romantic drama film.",39b9c54d96044fb8bd0ae407b627dc20,,,4
james schamus,producer,"James Schamus is one of the producers of Brokeback Mountain, a 2005 American neo-Western romantic drama film.",39b9c54d96044fb8bd0ae407b627dc20,,,4
annie proulx,author,Brokeback Mountain is adapted from the 1997 short story by Annie Proulx.,39b9c54d96044fb8bd0ae407b627dc20,,,4
heath ledger,actor,"Heath Ledger is one of the actors in Brokeback Mountain, a 2005 American neo-Western romantic drama film.",39b9c54d96044fb8bd0ae407b627dc20,,,4
jake gyllenhaal,actor,"Jake Gyllenhaal is one of the actors in Brokeback Mountain, a 2005 American neo-Western romantic drama film.",39b9c54d96044fb8bd0ae407b627dc20,,,4
anne hathaway,actor,"Anne Hathaway is one of the actors in Brokeback Mountain, a 2005 American neo-Western romantic drama film.",39b9c54d96044fb8bd0ae407b627dc20,,,4
michelle williams,actor,"Michelle Williams is one of the actors in Brokeback Mountain, a 2005 American neo-Western romantic drama film.",39b9c54d96044fb8bd0ae407b627dc20,,,4
focus features,production company,Brokeback Mountain was jointly produced by Focus Features and River Road Entertainment.,39b9c54d96044fb8bd0ae407b627dc20,,,4
river road entertainment,production company,Brokeback Mountain was jointly produced by Focus Features and River Road Entertainment.,39b9c54d96044fb8bd0ae407b627dc20,,,4
venice international film festival,film festival,Brokeback Mountain premiered at the 2005 Venice International Film Festival.,39b9c54d96044fb8bd0ae407b627dc20,,,4
brokeback mountain,critical acclaim,Brokeback Mountain received widespread critical acclaim.,9fd22c29e3ae43c4a466421758ff5af5,,,4
ledger,gyllenhaal,The film received widespread critical acclaim for the performances of Ledger and Gyllenhaal.,9fd22c29e3ae43c4a466421758ff5af5,,,4
brokeback mountain,commercial success,Brokeback Mountain emerged as a commercial success at the box-office.,9fd22c29e3ae43c4a466421758ff5af5,,,4
brokeback mountain,best picture nomination,Brokeback Mountain was nominated for Best Picture at the 78th Academy Awards.,9fd22c29e3ae43c4a466421758ff5af5,,,4
brokeback mountain,best director award,Brokeback Mountain won the Best Director award at the 78th Academy Awards.,9fd22c29e3ae43c4a466421758ff5af5,,,4
brokeback mountain,golden globe best motion picture - drama award,Brokeback Mountain won the Best Motion Picture — Drama award at the 63rd Golden Globe Awards.,9fd22c29e3ae43c4a466421758ff5af5,,,4
brokeback mountain,bafta best film award,Brokeback Mountain won the Best Film award at the 59th British Academy Film Awards.,9fd22c29e3ae43c4a466421758ff5af5,,,4
brokeback mountain,censorship controversy,"Brokeback Mountain was subject to controversies; its loss to Crash for the Academy Award for Best Picture, subsequent censorship,",9fd22c29e3ae43c4a466421758ff5af5,,,4
brokeback mountain,criticism from conservative media outlets,"Brokeback Mountain was subject to controversies; its loss to Crash for the Academy Award for Best Picture, subsequent censorship, and criticism from conservative media outlets received significant attention.",9fd22c29e3ae43c4a466421758ff5af5,,,4
brokeback mountain,queer cinema mainstream advancement,Brokeback Mountain has also been regarded as a turning point for the advancement of queer cinema into the mainstream.,9fd22c29e3ae43c4a466421758ff5af5,,,4
brokeback mountain,national film registry selection,"In 2018, the film was selected for preservation in the United States National Film Registry by the Library of Congress as being ""culturally, historically, or aesthetically significant"". ",9fd22c29e3ae43c4a466421758ff5af5,,,4
ennis del mar,jack twist,"Coworkers hired by Joe Aguirre to herd sheep on Brokeback Mountain in 1963, initially develop a sexual and emotional relationship after a night of heavy drinking, have sex in their tent, and continue their relationship for the rest of the summer. Before parting ways, Ennis leaves his shirt on the mountain.",9dee4e61a4b7418b97d1ba3a15cb22be,,,4
ennis del mar,alma beers,Marries Ennis and has two daughters with him: Alma Jr. And Jenny.,9dee4e61a4b7418b97d1ba3a15cb22be,,,4
jack twist,lureen newsome,"Meets wealthy rodeo rider in Texas, moves there, and marries her, having a son together.",9dee4e61a4b7418b97d1ba3a15cb22be,,,4
ennis del mar,alma beers,"Witnesses Ennis and Jack kiss passionately during their reunion, but is stunned and does not intervene.",9dee4e61a4b7418b97d1ba3a15cb22be,,,4
ennis,alma,"Ex-spouses, divorced in 1975. Alma confronts Ennis about his relationship with Jack during a Thanksgiving dinner in the kitchen, causing Ennis to storm out and cease contact with Alma.",a2340fc3f90a40e282c24d40e313b597,,,4
ennis,jenny,Father-daughter relationship. Ennis visits Jenny and her sister Alma Jr. During a Thanksgiving dinner at Alma's house.,a2340fc3f90a40e282c24d40e313b597,,,4
ennis,jack,Close friends who go on private fishing trips while their respective marriages deteriorate. Ennis and Jack cease contact after a confrontation between Alma and Ennis during a Thanksgiving dinner.,a2340fc3f90a40e282c24d40e313b597,,,4
jack,lureen,"Spouses. Lureen goes into business with her father, with Jack working in sales.",a2340fc3f90a40e282c24d40e313b597,,,4
alma,monroe,"Husband-wife relationship. Alma marries Monroe, manager of the grocery store where she works.",a2340fc3f90a40e282c24d40e313b597,,,4
ennis,cassie,Short-lived romantic relationship.,a2340fc3f90a40e282c24d40e313b597,,,4
jenny,alma jr.,Sister-sister relationship. Ennis visits Jenny and her sister Alma Jr. During a Thanksgiving dinner at Alma's house.,a2340fc3f90a40e282c24d40e313b597,,,4
randall malone,lashawn malone,Couple befriended by Jack and Lureen. Implied that Jack and Randall have a brief affair.,a2340fc3f90a40e282c24d40e313b597,,,4
ennis,jack,"Close relationship between Ennis and Jack, as they were in a romantic relationship on Brokeback Mountain.",88179719be314d6dae2641274c565f60,,,4
deceased,jack,"Jack passed away due to an accident, resulting in his being labeled as deceased.",88179719be314d6dae2641274c565f60,,,4
brokeback mountain,jack's ashes,Jack requested that his ashes be scattered on Brokeback Mountain.,88179719be314d6dae2641274c565f60,,,4
family plot,jack's ashes,Jack's father did not agree with Jack's wishes and decided to inter his ashes in the family plot.,88179719be314d6dae2641274c565f60,,,4
shirt (ennis),shirt (jack),"Both shirts belonged to Ennis and Jack, respectively. Jack kept Ennis' shirt while he was on Brokeback Mountain.",88179719be314d6dae2641274c565f60,,,4
effort to carry out jack's wish,ennis,"Ennis visited Jack's parents and tried to fulfill Jack's wish of scattering his ashes on Brokeback Mountain, but was unsuccessful due to Jack's father's decision.",88179719be314d6dae2641274c565f60,,,4
holding the two shirts,ennis,"After finding Jack's shirt in his closet, Ennis held both their shirts and wept silently while remembering their relationship.",88179719be314d6dae2641274c565f60,,,4
allowed to keep the two shirts,jack's mother,"Seeing Ennis holding both their shirts, Jack's mother allowed him to keep them as a memento.",88179719be314d6dae2641274c565f60,,,4
care tire explosion,jack,"Cause of Jack's death was a care tire explosion in his face, resulting in heavy bleeding and eventual drowning in his own blood.",88179719be314d6dae2641274c565f60,,,4
envisioned group of men beating jack to death with a tire iron,ennis,"While talking to Lureen about Jack's death, Ennis had a vivid vision of a group of men brutally attacking and killing Jack with a tire iron.",88179719be314d6dae2641274c565f60,,,4
