node_1,node_2,edge,chunk_id,node_3,count
interstellar,science fiction drama film,Interstellar is a 2014 epic science fiction drama film directed by Sir Christopher Nolan.,285d1f7c218f4d248a7039efc5553509,,4
sir christopher nolan,director,"Sir Christopher Nolan, who co-wrote the screenplay with his brother Jonathan, directed Interstellar.",285d1f7c218f4d248a7039efc5553509,,4
jonathan nolan,co-writer,The screenplay had its origins in a script Jonathan developed in 2007 and was originally set to be directed by Steven Spielberg.,285d1f7c218f4d248a7039efc5553509,,4
steven spielberg,director (originally),The screenplay had its origins in a script Jonathan developed in 2007 and was originally set to be directed by Steven Spielberg.,285d1f7c218f4d248a7039efc5553509,,4
interstellar,space,"Set in a dystopian future where Earth is suffering from catastrophic blight and famine, the film follows a group of astronauts who travel through a wormhole near Saturn in search of a new home for mankind.",285d1f7c218f4d248a7039efc5553509,,4
matthew mcconaughey,astronaut,"The film stars Matthew McConaughey, Anne Hathaway, Jessica Chastain, Bill Irwin, Ellen Burstyn, Matt Damon, and Michael Caine.",285d1f7c218f4d248a7039efc5553509,,4
anne hathaway,astronaut,"The film stars Matthew McConaughey, Anne Hathaway, Jessica Chastain, Bill Irwin, Ellen Burstyn, Matt Damon, and Michael Caine.",285d1f7c218f4d248a7039efc5553509,,4
jessica chastain,astronaut,"The film stars Matthew McConaughey, Anne Hathaway, Jessica Chastain, Bill Irwin, Ellen Burstyn, Matt Damon, and Michael Caine.",285d1f7c218f4d248a7039efc5553509,,4
bill irwin,astronaut,"The film stars Matthew McConaughey, Anne Hathaway, Jessica Chastain, Bill Irwin, Ellen Burstyn, Matt Damon, and Michael Caine.",285d1f7c218f4d248a7039efc5553509,,4
ellen burstyn,astronaut,"The film stars Matthew McConaughey, Anne Hathaway, Jessica Chastain, Bill Irwin, Ellen Burstyn, Matt Damon, and Michael Caine.",285d1f7c218f4d248a7039efc5553509,,4
matt damon,astronaut,"The film stars Matthew McConaughey, Anne Hathaway, Jessica Chastain, Bill Irwin, Ellen Burstyn, Matt Damon, and Michael Caine.",285d1f7c218f4d248a7039efc5553509,,4
michael caine,astronaut,"The film stars Matthew McConaughey, Anne Hathaway, Jessica Chastain, Bill Irwin, Ellen Burstyn, Matt Damon, and Michael Caine.",285d1f7c218f4d248a7039efc5553509,,4
alberta,filming location,"Filming began in late 2013 and took place in Alberta,",285d1f7c218f4d248a7039efc5553509,,4
klaustur,filming location,"Filming began in late 2013 and took place in Alberta, Klaustur, and Los Angeles.",285d1f7c218f4d248a7039efc5553509,,4
los angeles,filming location,"Filming began in late 2013 and took place in Alberta, Klaustur, and Los Angeles.",285d1f7c218f4d248a7039efc5553509,,4
panavision anamorphic format,camerawork,Cinematographer Hoyte van Hoytema shot it on 35 mm movie film in the Panavision anamorphic format and IMAX 70 mm.,285d1f7c218f4d248a7039efc5553509,,4
kip thorne,theoretical physicist,"Theoretical physicist Kip Thorne was an executive producer and scientific consultant on the film,",285d1f7c218f4d248a7039efc5553509,,4
interstellar,"november 7, 2014","The movie Interstellar was released in theaters on November 7, 2014.",02d917c6cf154d81a8dfbc2a7be528b0,,4
interstellar,united states,"In the United States, the movie Interstellar was first released in theaters.",02d917c6cf154d81a8dfbc2a7be528b0,,4
interstellar,$681 million worldwide ($705 million after subsequent re-releases),The movie Interstellar grossed over $681 million worldwide and more than $705 million after subsequent re-releases.,02d917c6cf154d81a8dfbc2a7be528b0,,4
interstellar,black hole,Thorne's computer-generated depiction of a black hole in the movie Interstellar has received commendation from astronomers and physicists.,02d917c6cf154d81a8dfbc2a7be528b0,,4
interstellar,academy awards,The movie Interstellar was nominated for five awards at the 87th Academy Awards.,02d917c6cf154d81a8dfbc2a7be528b0,,4
2067,humanity,"In 2067, humanity faces extinction due to a global blight.",02d917c6cf154d81a8dfbc2a7be528b0,,4
joseph cooper,nasa,"Joseph Cooper, a former NASA test pilot,",02d917c6cf154d81a8dfbc2a7be528b0,,4
joseph cooper,endurance team,Joseph Cooper joined the Endurance team.,02d917c6cf154d81a8dfbc2a7be528b0,,4
endurance team,scientists,"The scientists Romilly, Doyle and Amelia were part of the Endurance team.",02d917c6cf154d81a8dfbc2a7be528b0,,4
endurance team,artificially-intelligent robots,The artificially-intelligent robots TARS and CASE were part of the Endurance team.,02d917c6cf154d81a8dfbc2a7be528b0,,4
murph,joseph cooper,"Cooper's daughter, Murph, insisted he stay.",02d917c6cf154d81a8dfbc2a7be528b0,,4
murph,interstellar,"Back home, Cooper's daughter, Murph, wanted him to return from the mission to search for habitable planets in Interstellar.",02d917c6cf154d81a8dfbc2a7be528b0,,4
gargantua,endurance,"After transiting a newly-formed wormhole near Saturn, the crew arrive at a planetary system, circling a supermassive black hole named Gargantua. They descend into the gravity well of Gargantua to survey the first candidate planet and return to their spacecraft, Endurance, but have lost 23 Earth-years due to the severe time dilation caused by escaping the gravity well.",06c7a8186ef14803b040093c6be80388,,4
endurance,romilly,"After transiting a newly-formed wormhole near Saturn, the crew arrive at a planetary system, circling a supermassive black hole named Gargantua. Romilly remains aboard while the others descend into the gravity well of Gargantua to survey the first candidate planet.",06c7a8186ef14803b040093c6be80388,,4
endurance,doyle,"After transiting a newly-formed wormhole near Saturn, the crew arrive at a planetary system, circling a supermassive black hole named Gargantua. The others descend into the gravity well to survey the first candidate planet, but Doyle is swept away by a colossal wave.",06c7a8186ef14803b040093c6be80388,,4
endurance,cooper,"After transiting a newly-formed wormhole near Saturn, the crew arrive at a planetary system, circling a supermassive black hole named Gargantua. Cooper and Brand descend into the gravity well to survey the first candidate planet.",06c7a8186ef14803b040093c6be80388,,4
endurance,brand,"After transiting a newly-formed wormhole near Saturn, the crew arrive at a planetary system, circling a supermassive black hole named Gargantua. Cooper and Brand descend into the gravity well to survey the first candidate planet.",06c7a8186ef14803b040093c6be80388,,4
gargantua,planet,"After transiting a newly-formed wormhole near Saturn, the crew arrive at a planetary system, circling a supermassive black hole named Gargantua. They descend into the gravity well to survey the first candidate planet, which turns out to be an inhospitable ocean world.",06c7a8186ef14803b040093c6be80388,,4
endurance,fuel,"After transiting a newly-formed wormhole near Saturn, the crew arrive at a planetary system, circling a supermassive black hole named Gargantua. Romilly remains aboard while the others descend into the gravity well to survey the first candidate planet, and upon their return, they find that Endurance is depleted of fuel.",06c7a8186ef14803b040093c6be80388,,4
endurance,murph (adult),"On Earth in 2092, an adult Murph helps Dr Brand, Amelia's father, with a gravity equation that is supposed to help transport humanity en masse to potentially habitable worlds.",06c7a8186ef14803b040093c6be80388,,4
brand,murph (child),"After transiting a newly-formed wormhole near Saturn, the crew arrive at a planetary system, circling a supermassive black hole named Gargantua. Dr Brand, Amelia's father, confesses to Murph (Child) the secret to his gravity equation, but states that it is unsolvable without information from inside a black hole's singularity.",06c7a8186ef14803b040093c6be80388,,4
brand,endurance,"After transiting a newly-formed wormhole near Saturn, the crew arrive at a planetary system, circling a supermassive black hole named Gargantua. Dr Brand, Amelia's father, confesses to Murph (Child) that he believes the only way to transport humanity en masse to potentially habitable worlds is by using information from inside a black hole's singularity.",06c7a8186ef14803b040093c6be80388,,4
brand,information,"After transiting a newly-formed wormhole near Saturn, the crew arrive at a planetary system, circling a supermassive black hole named Gargantua. Dr Brand, Amelia's father, confesses to Murph (Child) that he believes the only way to transport humanity en masse to potentially habitable worlds is by using information from inside a black hole's singularity, but states that this information is currently unknown.",06c7a8186ef14803b040093c6be80388,,4
endurance,gargantua,"The Endurance travels to the second candidate planet, a frigid ice world near Gargantua. They chart a gravity-assist path around Gargantua to reach the final candidate planet.",a3eaf12c16c244eda700546cb894b2f2,,4
endurance,cooper,Cooper is aboard the Endurance as they travel towards the candidate planets.,a3eaf12c16c244eda700546cb894b2f2,,4
endurance,amelia,Amelia is also aboard the Endurance with Cooper and the robots.,a3eaf12c16c244eda700546cb894b2f2,,4
endurance,mann,"Mann, a surviving NASA explorer in cryostasis, is on board the Endurance.",a3eaf12c16c244eda700546cb894b2f2,,4
cooper,murph,Cooper communicates with Murph through a wristwatch to help her complete Brand's equation and save humanity.,a3eaf12c16c244eda700546cb894b2f2,,4
endurance,robots tars and case,TARS and CASE accompany Cooper and Amelia aboard the Endurance.,a3eaf12c16c244eda700546cb894b2f2,,4
cooper,murph's bedroom,"Cooper finds a four-dimensional tesseract inside the black hole, made up of infinitely repeated copies of Murph's childhood bedroom.",a3eaf12c16c244eda700546cb894b2f2,,4
endurance,future advanced humankind,A future advanced humankind places a four-dimensional tesseract inside the black hole to enable Cooper to communicate with the past and save humanity.,a3eaf12c16c244eda700546cb894b2f2,,4
