node_1,node_2,edge,chunk_id,node_3,type,count
the help,journalistic exposé,"The film and novel recount the story of a young white woman and aspiring journalist Eugenia ""Skeeter"" Phelan. The story focuses on her relationship with two black maids, Aibileen Clark and Minny Jackson, during the Civil Rights Movement in 1963 Jackson, Mississippi. In an attempt to become a legitimate journalist and writer, Skeeter decides to write a book from the point of view of the maids, exposing the racism they face as they work for white families. Black domestic workers in 1960s United States were referred to as ""the help"", hence the title of the journalistic exposé, the novel and the film.",07e9c6ae8f2d46b08809b12609b32805,,,4
the help,journalistic exposé (novel),"The film and novel recount the story of a young white woman and aspiring journalist Eugenia ""Skeeter"" Phelan. The story focuses on her relationship with two black maids, Aibileen Clark and Minny Jackson, during the Civil Rights Movement in 1963 Jackson, Mississippi. In an attempt to become a legitimate journalist and writer, Skeeter decides to write a book from the point of view of the maids, exposing the racism they face as they work for white families. Black domestic workers in 1960s United States were referred to as ""the help"", hence the title of the journalistic exposé (novel) and the film.",07e9c6ae8f2d46b08809b12609b32805,,,4
"eugenia ""skeeter"" phelan",young white woman,"The film and novel recount the story of a young white woman and aspiring journalist Eugenia ""Skeeter"" Phelan. The story focuses on her relationship with two black maids, Aibileen Clark and Minny Jackson, during the Civil Rights Movement in 1963 Jackson, Mississippi.",07e9c6ae8f2d46b08809b12609b32805,,,4
"eugenia ""skeeter"" phelan",aspiring journalist,"The film and novel recount the story of a young white woman and aspiring journalist Eugenia ""Skeeter"" Phelan. In an attempt to become a legitimate journalist and writer, Skeeter decides to write a book from the point of view of the maids, exposing the racism they face as they work for white families.",07e9c6ae8f2d46b08809b12609b32805,,,4
aibileen clark,black maid,"The film and novel recount the story of a young white woman and aspiring journalist Eugenia ""Skeeter"" Phelan. The story focuses on her relationship with two black maids, Aibileen Clark and Minny Jackson, during the Civil Rights Movement in 1963 Jackson, Mississippi.",07e9c6ae8f2d46b08809b12609b32805,,,4
minny jackson,black maid,"The film and novel recount the story of a young white woman and aspiring journalist Eugenia ""Skeeter"" Phelan. The story focuses on her relationship with two black maids, Aibileen Clark and Minny Jackson, during the Civil Rights Movement in 1963 Jackson, Mississippi.",07e9c6ae8f2d46b08809b12609b32805,,,4
civil rights movement,1963,"The film and novel recount the story of a young white woman and aspiring journalist Eugenia ""Skeeter"" Phelan. The story focuses on her relationship with two black maids, Aibileen Clark and Minny Jackson, during the Civil Rights Movement in 1963 Jackson, Mississippi.",07e9c6ae8f2d46b08809b12609b32805,,,4
mississippi,jackson,"The film and novel recount the story of a young white woman and aspiring journalist Eugenia ""Skeeter"" Phelan. The story focuses on her relationship with two black maids, Aibileen Clark and Minny Jackson, during the Civil Rights Movement in 1963 Jackson, Mississippi.",07e9c6ae8f2d46b08809b12609b32805,,,4
black domestic workers,1960s united states,"Black domestic workers in 1960s United States were referred to as ""the help"", hence the title of the journalistic exposé, the novel and the film.",07e9c6ae8f2d46b08809b12609b32805,,,4
aibileen clark,elizabeth leefolt,"In 1963, Aibileen Clark is an African-American domestic worker in Jackson, Mississippi, working for socialite Elizabeth Leefolt. She raises Elizabeth’s emotionally neglected two-year-old Mae Mobley.",09cb8e641c69471098b58d9029ad9ea5,,,4
minny jackson,mrs. walters,Minny Jackson works for Mrs. Walters.,09cb8e641c69471098b58d9029ad9ea5,,,4
hilly holbrook,mrs. walters,"Hilly Holbrook, who leads the women's socialite group, and her mother Mrs. Walters.",09cb8e641c69471098b58d9029ad9ea5,,,4
eugenia 'skeeter' phelan,elizabeth leefolt,"Securing a local job writing a housekeeping column, she witnesses the city's systemic racism and the demeaning mistreatment of maids in Elizabeth Leefolt's household.",09cb8e641c69471098b58d9029ad9ea5,,,4
elizabeth leefolt,mae mobley,Elizabeth Leefolt has a two-year-old daughter named Mae Mobley who is neglected emotionally.,09cb8e641c69471098b58d9029ad9ea5,,,4
hilly holbrook,skeeter phelan,Hilly Holbrook tries to discourage Skeeter from pursuing her interest in writing a book about the experiences of African-American maids.,09cb8e641c69471098b58d9029ad9ea5,,,4
the help,aibileen clark,"In the movie, 'The Help', Aibileen Clark is one of the central characters.",09cb8e641c69471098b58d9029ad9ea5,,,4
elizabeth leefolt,mrs. walters,"Elizabeth Leefolt's mother Mrs. Walters also appears in the movie, 'The Help'.",09cb8e641c69471098b58d9029ad9ea5,,,4
hilly holbrook,skeeter phelan,"The antagonist of the story, Hilly Holbrook, tries to stop Skeeter from publishing her book on the experiences of African-American maids in 'The Help'.",09cb8e641c69471098b58d9029ad9ea5,,,4
separate bathrooms,building code,"Hilly insists on installing separate bathrooms and wants them enshrined in building code, implying a strong relation between the two concepts.",e2589b970395433eb6fb1dec3cc84e3e,,,4
minny,indoor bathroom,"During a dangerous tornado, Minny defiantly uses an indoor bathroom, which results in her being fired by Hilly and rendered unemployable.",e2589b970395433eb6fb1dec3cc84e3e,,,4
minny,hilly,"Hilly spreads the lie that Minny stole from her, forcing her teenage daughter to quit school to work, thereby vindictively rendering Minny unemployable.",e2589b970395433eb6fb1dec3cc84e3e,,,4
celia rae foote,maid,"Celia gratefully hires Minny as her house in Madison is massive, and she cannot cook, indicating a need for domestic help.",e2589b970395433eb6fb1dec3cc84e3e,,,4
celia rae foote,johnny,"Celia does not tell Johnny, Hilly's former love interest, that she has hired Minny, implying a desire to keep this decision private from him.",e2589b970395433eb6fb1dec3cc84e3e,,,4
hilly,socialites,"Celia and the socialites ostracize Celia Rae Foote due to her being pregnant, highlighting the influence of social norms on their behavior.",e2589b970395433eb6fb1dec3cc84e3e,,,4
minny,husband,"Minny's husband has given her a black eye, which Celia treats.",e2589b970395433eb6fb1dec3cc84e3e,,,4
separate but equal bathrooms,hilly,"Hilly's insistence on separate and equal bathrooms for blacks in the Junior League newsletter, which Skeeter slow-walked instead of publishing an embarrassing misprint.",49922f283f834f83827f9257822e48ab,,,4
yule may davis,hilly,"Hilly refuses to advance money to Yule May, who needs it for her twins' education. When Yule May pawns a lost ring and is arrested after Hilly reports her, this incident inspires more maids to share their stories.",49922f283f834f83827f9257822e48ab,,,4
aibileen,skeeter,Aibileen agrees to let Skeeter interview her after attending a dynamic sermon.,49922f283f834f83827f9257822e48ab,,,4
minny,skeeter,Minny lets Skeeter interview her after going to a dynamic sermon.,49922f283f834f83827f9257822e48ab,,,4
aibileen's son,foreman,Aibileen's son dies due to the negligence of his foreman after an on-the-job accident.,49922f283f834f83827f9257822e48ab,,,4
medgar evers,assassination,The assassination of Medgar Evers inspires more maids to share their stories.,49922f283f834f83827f9257822e48ab,,,4
minny's chocolate pie,hilly,"After revealing the ""terrible awful"", Minny brings Hilly her famous chocolate pie but reveals – after Hilly had finished two slices – she had baked her own excrement into it. This incident leads to Hilly's mother being sent to a nursing home for laughing about it.",49922f283f834f83827f9257822e48ab,,,4
aibileen,elaine stein,"Elaine Stein asks Skeeter for many more maid's stories for the book, but fear of retribution prevents others from coming forward.",49922f283f834f83827f9257822e48ab,,,4
skeeter,charlotte,Skeeter confronts Charlotte about Constantine's departure.,952dd5d8fbec492aa997ccb282cf0b1f,,,4
constantine,rachel,"During a Daughters of America luncheon at her home, Charlotte fired Constantine when Rachel refused to enter the house through the kitchen.",952dd5d8fbec492aa997ccb282cf0b1f,,,4
rachel,chicago,"Rachel subsequently moved her heartbroken mother to Chicago,",952dd5d8fbec492aa997ccb282cf0b1f,,,4
charlotte,celia,"Minny subtly reveals the 'terrible awful' to Celia, calling her 'Two Slice Hilly'.",952dd5d8fbec492aa997ccb282cf0b1f,,,4
hilly,skeeter,"Hilly threatens to sue Skeeter for libel,",952dd5d8fbec492aa997ccb282cf0b1f,,,4
johnny,minny,"Johnny tells Minny he knows she has been working at their house and promises her permanent job security,",952dd5d8fbec492aa997ccb282cf0b1f,,,4
aibileen,congregation,Aibileen's congregation honors her for her leadership in the publication.,952dd5d8fbec492aa997ccb282cf0b1f,,,4
emma stone,eugenia 'skeeter' phelan,Emma Stone was attached to play the role of Eugenia 'Skeeter' Phelan in the production.,7bb38023bee6418688183847c882ebcb,,,4
viola davis,aibileen,Viola Davis was cast as Aibileen for the production.,7bb38023bee6418688183847c882ebcb,,,4
bryce dallas howard,hilly holbrook,"Bryce Dallas Howard was cast as Hilly Holbrook, a racist and town ringleader for the production.",7bb38023bee6418688183847c882ebcb,,,4
allison janney,charlotte phelan,"Allison Janney was cast as Charlotte Phelan, Skeeter's mother for the production.",7bb38023bee6418688183847c882ebcb,,,4
chris lowell,stuart whitworth,"Chris Lowell was cast as Stuart Whitworth, Skeeter's boyfriend and a senator's son for the production.",7bb38023bee6418688183847c882ebcb,,,4
leslie jordan,editor of the jackson journal,"Leslie Jordan appears as the editor of the fictional local newspaper, The Jackson Journal, in the production.",7bb38023bee6418688183847c882ebcb,,,4
mike vogel,johnny foote,Mike Vogel plays the character Johnny Foote in the production.,7bb38023bee6418688183847c882ebcb,,,4
octavia spencer,minny,"Octavia Spencer portrays Minny in the production and inspired the character of Minny in Stockett's novel, as well as voiced her in the audiobook version.",7bb38023bee6418688183847c882ebcb,,,4
greenwood,jackson (represents 1960s-era jackson),"The city of Greenwood was chosen to portray 1960s-era Jackson in the production, and producer Green said he had expected to shoot '95 percent' of the film there.",7bb38023bee6418688183847c882ebcb,,,4
the help,mississippi,"The Help was the most significant film production in Mississippi since O Brother, Where Art Thou? This highlights the significance of The Help as a movie and also emphasizes that it was filmed in Mississippi. Mississippi's significance is further highlighted by Stockett's statement about her heart being broken if the movie were set anywhere else.",fc85db5057dc4a659f412d61fef13a37,,,4
greenwood,the help,Tate Taylor and others came to Greenwood to scout locations for The Help. This implies that Greenwood is a location where some parts of the movie were filmed.,fc85db5057dc4a659f412d61fef13a37,,,4
dreamworks executives,greenwood,"At his first meeting with DreamWorks executives, Tate Taylor presented them with a photo album of potential filming spots in Greenwood. This shows that Greenwood was proposed as a location for filming The Help to DreamWorks executives.",fc85db5057dc4a659f412d61fef13a37,,,4
mississippi's tax incentive program,the help,The state's tax incentive program for filmmakers was a key enticement in the decision to shoot The Help in Mississippi. This suggests that the tax incentive program played an important role in convincing the producers to choose Mississippi as the location for filming.,fc85db5057dc4a659f412d61fef13a37,,,4
the help,soundtracks,Two soundtracks were released for The Help.,13d53d4dd0d24e4faea40098d76afbaa,,,4
geffen records,soundtrack album,"Geffen Records released the soundtrack album on August 4, 2011.",13d53d4dd0d24e4faea40098d76afbaa,,,4
"august 4, 2011",release date,"The soundtrack album was released on August 4, 2011.",13d53d4dd0d24e4faea40098d76afbaa,,,4
collated by jennifer hawks,music supervisor,"The 12-track collection, collated by Jennifer Hawks,",13d53d4dd0d24e4faea40098d76afbaa,,,4
johnny cash,frankie valli,"The songs from the likes of Johnny Cash, Frankie Valli and Ray Charles.",13d53d4dd0d24e4faea40098d76afbaa,Ray Charles,multiple,4
mary j. blige,original track,"Mary J. Blige's ""The Living Proof"" is the only original track.",13d53d4dd0d24e4faea40098d76afbaa,,,4
second viewing of the film,raw emotions,Her raw emotions inspired her to compose the lone song for the film.,13d53d4dd0d24e4faea40098d76afbaa,composed,multiple,4
varèse sarabande,score album,"The score album, featuring original cues composed and conducted by Thomas Newman was released by Varèse Sarabande on September 6, 2011.",13d53d4dd0d24e4faea40098d76afbaa,,,4
"august 10, 2011",release date,"The film's release date was rescheduled two days earlier to August 10, 2011.",13d53d4dd0d24e4faea40098d76afbaa,,multiple,4
disney,walt disney studios motion pictures,Distributed The Help worldwide through the studio's Touchstone Pictures banner.,13d53d4dd0d24e4faea40098d76afbaa,,,4
