node_1,node_2,edge,chunk_id,node_3,node_4,count
kambakkht ishq,indian romantic action comedy film,The movie Kambakkht Ishq is a Indian romantic action comedy film directed by Sabbir Khan and produced by Sajid Nadiadwala.,75379501dea54402a5961235bec2d470,,,4
sabbir khan,director,Sabbir Khan is the director of the movie Kambakkht Ishq.,75379501dea54402a5961235bec2d470,,,4
sajid nadiadwala,producer,Sajid Nadiadwala is the producer of the movie Kambakkht Ishq.,75379501dea54402a5961235bec2d470,,,4
indian,country,The movie Kambakkht Ishq is an Indian film.,75379501dea54402a5961235bec2d470,,,4
romantic,genre,Kambakkht Ishq is a romantic film.,75379501dea54402a5961235bec2d470,,,4
action,genre,Kambakkht Ishq is an action film.,75379501dea54402a5961235bec2d470,,,4
comedy,genre,Kambakkht Ishq is a comedy film.,75379501dea54402a5961235bec2d470,,,4
pammal k. sambandam,tamil film,The movie Kambakkht Ishq is based on the Tamil film Pammal K. Sambandam.,75379501dea54402a5961235bec2d470,,,4
pammal k. sambandam,1999 film,The movie Pammal K. Sambandam was released in 1999.,75379501dea54402a5961235bec2d470,,,4
akshay kumar,kareena kapoor,pivotal roles in the movie,7e0251b261c34ce6a73412fdf350f3e8,,,4
aftab shivdasani,amrita arora,supporting roles in the movie,7e0251b261c34ce6a73412fdf350f3e8,,,4
jaaved jaafrey,kirron kher,supporting roles in the movie,7e0251b261c34ce6a73412fdf350f3e8,,,4
sylvester stallone,denise richards,"appear in cameos, playing themselves",7e0251b261c34ce6a73412fdf350f3e8,Brandon Routh,Holly Valance,4
viraj shergill,simrita rai,instantaneously develop a dislike for each other at Lucky's and Kamini Sandhu's wedding ceremony,7e0251b261c34ce6a73412fdf350f3e8,,,4
lucky,kamini sandhu,hastily planned wedding ceremony,7e0251b261c34ce6a73412fdf350f3e8,,,4
simrita rai,kamini sandhu,best friend,7e0251b261c34ce6a73412fdf350f3e8,,,4
viraj shergill,lucky's brother,brother of Lucky,7e0251b261c34ce6a73412fdf350f3e8,,,4
simrita,lucky,spouse relationship,19daf7dc78c744b38039732ffdb52445,,,4
simrita,kamini,friendship/rivalry due to love triangle,19daf7dc78c744b38039732ffdb52445,,,4
lucky,kamini,love relationship,19daf7dc78c744b38039732ffdb52445,,,4
simrita,viraj,encounter in a specific situation (disco bar),19daf7dc78c744b38039732ffdb52445,,,4
kamini,viraj,"encounter in a specific situation (disco bar), possibly related to the love triangle",19daf7dc78c744b38039732ffdb52445,,,4
simrita,dolly (aunt),gift receiver/giver relationship,19daf7dc78c744b38039732ffdb52445,,,4
simrita,watch pendant,possession relationship,19daf7dc78c744b38039732ffdb52445,,,4
simrita (with watch pendant),viraj,accidental ingestion during medical treatment,19daf7dc78c744b38039732ffdb52445,,,4
simrita,divorced father,"During one such process, which fails, it becomes clear that Simrita is bitter about her perceived unfaithfulness of the two most prominent men from her childhood: her divorced father and her elder sister's ex-husband.",7694f7291e1545e08d03701cb7a1d7d4,,,4
simrita,elder sister's ex-husband,"During one such process, which fails, it becomes clear that Simrita is bitter about her perceived unfaithfulness of the two most prominent men from her childhood: her divorced father and her elder sister's ex-husband.",7694f7291e1545e08d03701cb7a1d7d4,,,4
viraj,stomach,"Simrita tries various ways of getting the watch out. During one such process, which fails, it becomes clear that Simrita is bitter about her perceived unfaithfulness of the two most prominent men from her childhood: her divorced father and her elder sister's ex-husband.",7694f7291e1545e08d03701cb7a1d7d4,,,4
denise richards,viraj,"Following the surgery, Viraj overhears the truth and leaves. Several days later, he proposes to Denise Richards in an attempt to forget about Simrita.",7694f7291e1545e08d03701cb7a1d7d4,,,4
simrita,lucky,Simrita helps Lucky and Kamini reconcile,7694f7291e1545e08d03701cb7a1d7d4,,,4
kamini,lucky,Simrita helps Lucky and Kamini reconcile,7694f7291e1545e08d03701cb7a1d7d4,,,4
akshay kumar,hollywood stuntman,Kumar plays a Hollywood stuntman in the film,7694f7291e1545e08d03701cb7a1d7d4,,,4
kareena kapoor,up-and-coming model,Kapoor plays a up-and-coming model.,7694f7291e1545e08d03701cb7a1d7d4,,,4
kambakkht ishq,filming,Kambakkht Ishq is a film that involves the process of filming.,bff58ee5aead4bf2bed8be1acd71970c,,,4
january 2008,filming,"In January 2008, filming for Kambakkht Ishq took place.",bff58ee5aead4bf2bed8be1acd71970c,,,4
los angeles,film location,Kambakkht Ishq was filmed in Los Angeles.,bff58ee5aead4bf2bed8be1acd71970c,,,4
arnold schwarzenegger,cameo appearance,Reports indicated that Arnold Schwarzenegger was signed on to appear in Kambakkht Ishq.,bff58ee5aead4bf2bed8be1acd71970c,,,4
beyoncé,performance,Kambakkht Ishq was reported to feature a performance by Beyoncé.,bff58ee5aead4bf2bed8be1acd71970c,,,4
may 2008,new filming schedule,"Due to extensive pre-production work on the film, the filming for Kambakkht Ishq was shifted from January 2008 to May 2008.",bff58ee5aead4bf2bed8be1acd71970c,,,4
universal studios,film location,"Kambakkht Ishq is the first Indian film to be shot within Universal Studios, as announced by Nadiadwala.",bff58ee5aead4bf2bed8be1acd71970c,,,4
kodak theatre,film location,Pivotal scenes of Kambakkht Ishq were filmed at the Kodak Theatre.,bff58ee5aead4bf2bed8be1acd71970c,,,4
"venice, italy",overseas filming location,"After completing their overseas schedule, the production team headed to Venice, Italy for further filming of Kambakkht Ishq.",bff58ee5aead4bf2bed8be1acd71970c,,,4
"mumbai, india",film location,"After completing their overseas schedule, the production team also headed to Mumbai, India for further filming of Kambakkht Ishq.",bff58ee5aead4bf2bed8be1acd71970c,,,4
kambakkht ishq,"venice, italy","For the project in Venice, Italy, Kambakkht Ishq was shot.",6db4ab552dee4f29b357a4006d29a218,,,4
kambakkht ishq,india,"After completing their overseas schedule, the production team of Kambakkht Ishq later headed to shoot in Mumbai, India.",6db4ab552dee4f29b357a4006d29a218,,,4
"electra, carmen",kumar and kapoor,"During December 2008, reports surfaced indicating that Kumar and Kapoor would appear alongside Carmen Electra in a promotional music video for the film.",6db4ab552dee4f29b357a4006d29a218,,,4
"electra, carmen",rdb,"In February 2009, Nadiadwala announced that Electra wouldn't be appearing in the music video and was replaced by the music group RDB.",6db4ab552dee4f29b357a4006d29a218,,,4
first trailer of kambakkht ishq,aa dekhen zara (2009),The first trailer of the film was shown alongside the release of Jehangir Surti's film Aa Dekhen Zara (2009).,6db4ab552dee4f29b357a4006d29a218,,,4
anu malik,kambakkht ishq,"The music of this movie was primarily composed by Anu Malik,",6db4ab552dee4f29b357a4006d29a218,,,4
rdb,kambakkht ishq,with RDB and Salim–Sulaiman as guest composers.,6db4ab552dee4f29b357a4006d29a218,,,4
advance bookings for kambakkht ishq,"july 3, 2009","Before the film's worldwide release of 3 July 2009, advance bookings for Kambakkht Ishq officially commenced from 28 June onwards to positive response from the public.",6db4ab552dee4f29b357a4006d29a218,,,4
kambakkht ishq,"july 2, 2009","On 3 July 2009, Kambakkht Ishq opened to an average response of 50-60% all over India.",6db4ab552dee4f29b357a4006d29a218,,,4
kambakkht ishq,rs 85.0 million,"Making a first day total of Rs 85.0 million,",6db4ab552dee4f29b357a4006d29a218,,,4
kambakkht ishq,rs 245.0 million,"For its opening weekend in India, Kambakkht Ishq accumulated a total of Rs 245.0 million",6db4ab552dee4f29b357a4006d29a218,,,4
kambakkht ishq,bollywood film with highest grossing of all time,Kambakkht Ishq is a Bollywood film that holds the record for highest grossing of all time in Indian cinema.,8cbee0039b774314959adbd4b129f82e,,,4
kambakkht ishq,rs 245.0 million,"In its opening weekend in India, Kambakkht Ishq grossed Rs 245.0 million from 1,400 screens.",8cbee0039b774314959adbd4b129f82e,,,4
kambakkht ishq,rs 359.5 million,"At the end of its first week, Kambakkht Ishq collected a total of Rs 359.5 million.",8cbee0039b774314959adbd4b129f82e,,,4
kambakkht ishq,70% drop in collections,"During its second week at the box office, the film showed a 70% drop in its collections.",8cbee0039b774314959adbd4b129f82e,,,4
eros international,kambakkht ishq,Eros International released Kambakkht Ishq overseas in over 600 screens.,8cbee0039b774314959adbd4b129f82e,,,4
kambakkht ishq,number 8,"In the United Kingdom, the film debuted at number 8 and grossed £ 299,533 on 56 screens.",8cbee0039b774314959adbd4b129f82e,,,4
kambakkht ishq,noyon jyoti parasara,"Noyon Jyoti Parasara from AOL India concluded, ""The film has nothing going for it. It has a worryingly bad script, horrible screenplay, traumatising dialogues and unpleasant music.""",8cbee0039b774314959adbd4b129f82e,,,4
kambakkht ishq,indian films on the world stage,"The author describes Kambakkht Ishq as a shame when it comes to watching Indian films on the world stage, implying that it fails to meet the standards expected from Indian films that are showcased globally.",91d96dca18714a5abf2c5d843a38dfc0,,,4
kambakkht ishq,cnn-ibn,"Rajeev Masand, a critic from CNN-IBN, gave the film 1 star out of 5 and referred to it as 'a loud, vulgar and seriously offensive film'.",91d96dca18714a5abf2c5d843a38dfc0,,,4
kambakkht ishq,youth,"Taran Adarsh, a critic from indiaFM, mentioned that the film would strike a chord with the youth.",91d96dca18714a5abf2c5d843a38dfc0,,,4
kambakkht ishq,zany and madcap entertainers,Taran Adarsh also noted that the film would appeal to those who enjoy such kinds of movies.,91d96dca18714a5abf2c5d843a38dfc0,,,4
kambakkht ishq,historic week 1,"According to Taran Adarsh, the film would witness a record-breaking opening weekend and an exceptional first week.",91d96dca18714a5abf2c5d843a38dfc0,,,4
kambakkht ishq,crude humor,Rachel Saltz from The New York Times observed that the film's humor was frequently crude.,91d96dca18714a5abf2c5d843a38dfc0,,,4
kambakkht ishq,relentless pace,Rachel Saltz also noted that the film had a frenetic pace.,91d96dca18714a5abf2c5d843a38dfc0,,,4
kambakkht ishq,unpalatable racial bits,Rachel Saltz further mentioned that the film contained some objectionable racial elements.,91d96dca18714a5abf2c5d843a38dfc0,,,4
