node_1,node_2,edge,chunk_id,node_3,type,count
the last days of american crime,action,"The Last Days of American Crime is a 2020 American action thriller film directed by Olivier Megaton from a screenplay written by Karl Gajdusek, based on Rick Remender and Greg Tocchini's 2009 comic of the same name.",45eaa0cd5472440fbf1cd18392ca39bc,,,4
the last days of american crime,thriller film,"The Last Days of American Crime is a 2020 American action thriller film directed by Olivier Megaton from a screenplay written by Karl Gajdusek, based on Rick Remender and Greg Tocchini's 2009 comic of the same name.",45eaa0cd5472440fbf1cd18392ca39bc,,,4
the last days of american crime,comic,"The Last Days of American Crime is a 2020 American action thriller film directed by Olivier Megaton from a screenplay written by Karl Gajdusek, based on Rick Remender and Greg Tocchini's 2009 comic of the same name.",45eaa0cd5472440fbf1cd18392ca39bc,,,4
édgar ramírez,star,"Édgar Ramírez stars in The Last Days of American Crime, a 2020 American action thriller film directed by Olivier Megaton from a screenplay written by Karl Gajdusek, based on Rick Remender and Greg Tocchini's 2009 comic of the same name.",45eaa0cd5472440fbf1cd18392ca39bc,,,4
anna brewster,star,"Anna Brewster stars in The Last Days of American Crime, a 2020 American action thriller film directed by Olivier Megaton from a screenplay written by Karl Gajdusek, based on Rick Remender and Greg Tocchini's 2009 comic of the same name.",45eaa0cd5472440fbf1cd18392ca39bc,,,4
michael pitt,star,"Michael Pitt stars in The Last Days of American Crime, a 2020 American action thriller film directed by Olivier Megaton from a screenplay written by Karl Gajdusek, based on Rick Remender and Greg Tocchini's 2009 comic of the same name.",45eaa0cd5472440fbf1cd18392ca39bc,,,4
patrick bergin,star,"Patrick Bergin stars in The Last Days of American Crime, a 2020 American action thriller film directed by Olivier Megaton from a screenplay written by Karl Gajdusek, based on Rick Remender and Greg Tocchini's 2009 comic of the same name.",45eaa0cd5472440fbf1cd18392ca39bc,,,4
sharlto copley,star,"Sharlto Copley stars in The Last Days of American Crime, a 2020 American action thriller film directed by Olivier Megaton from a screenplay written by Karl Gajdusek, based on Rick Remender and Greg Tocchini's 2009 comic of the same name.",45eaa0cd5472440fbf1cd18392ca39bc,,,4
olivier megaton,director,"Olivier Megaton directs The Last Days of American Crime, a 2020 American action thriller film from a screenplay written by Karl Gajdusek, based on Rick Remender and Greg Tocchini's 2009 comic.",45eaa0cd5472440fbf1cd18392ca39bc,,,4
karl gajdusek,screenplay writer,"Karl Gajdusek writes the screenplay for The Last Days of American Crime, a 2020 American action thriller film directed by Olivier Megaton, based on Rick Remender and Greg Tocchini's 2009 comic.",45eaa0cd5472440fbf1cd18392ca39bc,,,4
rick remender,comic creator,"Rick Remender creates the comic The Last Days of American Crime, which is adapted into a film directed by Olivier Megaton in 2020.",45eaa0cd5472440fbf1cd18392ca39bc,,,4
greg tocchini,comic creator,"Greg Tocchini creates the comic The Last Days of American Crime, which is adapted into a film directed by Olivier Megaton in 2020.",45eaa0cd5472440fbf1cd18392ca39bc,,,4
api signal,u.s. government,"The U.S. government prepares to activate the American Peace Initiative (API) signal, a ‘synaptic blocker’ that will prevent the population from breaking the law.",fd8dd00cd2bc4b02833378ab17e13202,,,4
bricke's crew,bank robbers,"Graham Bricke leads a crew of bank robbers including his brother Rory,",fd8dd00cd2bc4b02833378ab17e13202,,,4
rory,bricke's crew,"Bricke's crew includes his brother Rory,",fd8dd00cd2bc4b02833378ab17e13202,,,4
dumois crime family,graham bricke,"Bricke lies to the Dumois crime family that he lost the stolen money,",fd8dd00cd2bc4b02833378ab17e13202,,,4
money,stolen money,"Bricke saves the stolen money to escape to Canada,",fd8dd00cd2bc4b02833378ab17e13202,,,4
death,rory,"Rory is killed while Bricke’s crew robs a bank,",fd8dd00cd2bc4b02833378ab17e13202,,,4
sidell,graham bricke,"Bricke tortures a man named Sidell into confessing that Johnny Dee betrayed him to the Dumois syndicate,",fd8dd00cd2bc4b02833378ab17e13202,,,4
johnny dee,bricke's crew,"Deceased member of Bricke’s crew, Johnny Dee was betrayed by another member to the Dumois syndicate,",fd8dd00cd2bc4b02833378ab17e13202,,,4
dumois syndicate,johnny dee,"The Dumois syndicate used Graham Bricke’s crew, including Johnny Dee and Rory, to test the API signal in prison,",fd8dd00cd2bc4b02833378ab17e13202,,,4
