node_1,node_2,edge,chunk_id,edge1,edge2,count
movie,summary,A movie consists of a summary that provides a brief overview of its plot.,7c8ada1b9ca8496ea84f26bfe23e04ea,,,4
a thousand words,formulaic and outdated films,"critics panned the film A Thousand Words as formulaic and outdated, indicating a negative association between the two concepts.",148648e6c22f4479a3a81ed0d7a88959,,,4
a thousand words,box office bomb,"it is currently one of a small number of films with a 0% rating on review aggregator Rotten Tomatoes. It was also a box office bomb, having grossed just $22 million worldwide on a $40 million budget.",148648e6c22f4479a3a81ed0d7a88959,,,4
jack mccall,gift of gab,"literary agent Jack McCall uses his 'gift of gab' to get various book deals, indicating a positive association between the two concepts.",148648e6c22f4479a3a81ed0d7a88959,,,4
brian robbins,a thousand words,"directed and co-produced by Brian Robbins from a script by Steve Koren, indicating a direct association between the two concepts.",148648e6c22f4479a3a81ed0d7a88959,,,4
eddie murphy,silent role,"starring Eddie Murphy. It was four years after it was filmed. Critics panned the film as formulaic and outdated, and for miscasting Eddie Murphy in a mostly silent role.",148648e6c22f4479a3a81ed0d7a88959,Eddie Murphy played a mostly silent role in the film A Thousand Words.,"Critics panned the film A Thousand Words as formulaic and outdated, indicating a negative association between the two concepts. However, they also criticized Eddie Murphy's casting, suggesting a mixed association between the two concepts.",4
new age self-help guru dr. sinja,deceit,"New Age self-help guru Dr. Sinja saw through Jack's deceit but agreed to the deal, indicating a complex association between the two concepts.",148648e6c22f4479a3a81ed0d7a88959,,,4
jack mccall,dr. sinja,"while he was trying to get a deal from New Age self-help guru Dr. Sinja, he saw through Jack's deceit but agreed to the deal.",148648e6c22f4479a3a81ed0d7a88959,Jack McCall tried to get a deal from Dr. Sinja.,"Dr. Sinja saw through Jack McCall's deceit but still agreed to the deal, suggesting a mixed association between the two concepts.",4
bodhi tree,jack's backyard,"a Bodhi Tree appears in Jack's backyard, so he assumes it's a gift from Dr. Sinja.",148648e6c22f4479a3a81ed0d7a88959,A Bodhi Tree appeared in Jack's backyard.,"Jack assumed that the Bodhi Tree was a gift from Dr. Sinja, indicating an associative or causal relationship between the two concepts.",4
dr. sinja,bodhi tree,"after Jack discovers that Sinja has written a five-page book and goes to confront him, they discover that for every word Jack speaks, a leaf falls.",148648e6c22f4479a3a81ed0d7a88959,Jack discovered that Dr. Sinja had written a five-page book.,"Dr. Sinja and the Bodhi Tree were both present during the scene where Jack found out about the five-page book, indicating a proximity or coexistence relationship between the two concepts.",4
jack,bodhi tree,"After Jack mentions the bodhi tree, the tree starts losing leaves for every word spoken by Jack. The tree will die if it runs out of leaves, affecting both the tree and Jack.",5243faf4bb294514a655cadf6fa44fe9,,,4
jack,communication,Communication becomes difficult due to the limit on Jack's words affecting his ability to convey thoughts clearly.,5243faf4bb294514a655cadf6fa44fe9,,,4
jack,caroline,"When Caroline thinks that Jack's sudden silence is due to him not loving her anymore, she leaves him, leading to the loss of their marriage.",5243faf4bb294514a655cadf6fa44fe9,,,4
jack,aaron weisberger,Only Aaron realizes that Jack is telling the truth about the tree and goes to keep track of how many leaves remain.,5243faf4bb294514a655cadf6fa44fe9,,,4
bodhi tree,squirrels,"When squirrels climb the tree, it tickles Jack.",5243faf4bb294514a655cadf6fa44fe9,,,4
bodhi tree,gardener,"When the gardener tries to poison or water the tree, it affects Jack as well.",5243faf4bb294514a655cadf6fa44fe9,,,4
jack,alcohol consumption,"Jack drinks a lot of alcohol, causing him to sing and making the tree lose most of its leaves.",5243faf4bb294514a655cadf6fa44fe9,,,4
jack,homeless,Giving food to the homeless helps Jack in breaking the curse but fails as he drinks a lot of alcohol at night.,5243faf4bb294514a655cadf6fa44fe9,,,4
jack,aaron weisberger,"When Aaron confronts him and tackles him to the ground, he stops speaking and falls asleep.",5243faf4bb294514a655cadf6fa44fe9,,,4
tree,leaves,lose most of its leaves,f1a4d7bc3d4b49aebb5788948f520fa2,,,4
jack,dr. sinja,confronts and asks for help to end the curse,f1a4d7bc3d4b49aebb5788948f520fa2,,,4
jack,wife,reconcile but hesitant,f1a4d7bc3d4b49aebb5788948f520fa2,,,4
annie,raymond (late father),mistakes Jack for late father and wishes for forgiveness,f1a4d7bc3d4b49aebb5788948f520fa2,,,4
jack,father's grave,visits to make peace and forgive,f1a4d7bc3d4b49aebb5788948f520fa2,,,4
tree,leaves,last three leaves expended with words 'I forgive you',f1a4d7bc3d4b49aebb5788948f520fa2,,,4
