node_1,node_2,edge,chunk_id,direction,count
movie,details,"The given context provides information about a specific movie, and 'details' refer to the important aspects of the movie that are being shared.",a904d6b11ad74f67bf4a6dc715a0fa5b,,4
summary,movie's,"The summary is an overview or brief description of the movie, which can be found by looking at 'movie's' summary.",a904d6b11ad74f67bf4a6dc715a0fa5b,,4
details,important aspects,'Details' in this context refers to the significant features or characteristics of the movie that are being discussed or conveyed.,a904d6b11ad74f67bf4a6dc715a0fa5b,,4
miss march,playboy franchise,"The film Miss March, written, starring, and directed by Trevor Moore and Zach Cregger, includes the Playboy franchise as a significant theme. The final on-screen film appearance of Hugh Hefner before his death in 2017 also appears in this movie, which marks the first of only three films directed by Trevor Moore before his death in 2021.",083d652dfbfc491581f79f7275ab3232,,4
eugene,abstinence seminar,Eugene and his girlfriend Cindi Whitehall are public speakers to the elementary kids on the subject of abstinence.,083d652dfbfc491581f79f7275ab3232,,4
cindi whitehall,playboy centerfold,"The film Miss March reveals that Cindi Whitehall, Eugene's girlfriend, has become the newest Playboy centerfold.",083d652dfbfc491581f79f7275ab3232,,4
tucker,playboy franchise,The main character Tucker in the film Miss March is a huge fan of the Playboy franchise since finding his friend's older brother's magazines when he was eight years old.,083d652dfbfc491581f79f7275ab3232,,4
tucker,eugene,"The plot revolves around Eugene and Tucker, two characters in the movie Miss March.",083d652dfbfc491581f79f7275ab3232,,4
cindi whitehall,eugene,Cindi Whitehall is Eugene's girlfriend in the film Miss March.,083d652dfbfc491581f79f7275ab3232,,4
cindi,playboy centerfold,becomes,dc91d616bbf34877bf7733cf8359a5cf,,4
tucker,candace,girlfriend,dc91d616bbf34877bf7733cf8359a5cf,outgoing,4
candace,tucker,boyfriend,dc91d616bbf34877bf7733cf8359a5cf,incoming,4
candace,rick,brother,dc91d616bbf34877bf7733cf8359a5cf,outgoing,4
tucker,playboy mansion,goes to,dc91d616bbf34877bf7733cf8359a5cf,outgoing,4
eugene,old girlfriend,wants to reunite with,dc91d616bbf34877bf7733cf8359a5cf,outgoing,4
tucker,crystal,is in the bedroom with,dc91d616bbf34877bf7733cf8359a5cf,outgoing,4
crystal,window,accidentally flies out of,dc91d616bbf34877bf7733cf8359a5cf,outgoing,4
horsedick,eugene,argues with,dc91d616bbf34877bf7733cf8359a5cf,outgoing,4
eugene,bus,defecates on board of,dc91d616bbf34877bf7733cf8359a5cf,outgoing,4
tucker,russian lesbians (nadia and vonka),makes a deal with,dc91d616bbf34877bf7733cf8359a5cf,outgoing,4
russian lesbians,boys driving to los angeles,deal between the two groups for a mutual benefit,b98cf008b2c2438f8ff99d56fc1fca86,,4
mansion,lesbians,lesbians are let in while boys are stopped by bouncers,b98cf008b2c2438f8ff99d56fc1fca86,,4
eugene,cindi,Cindi visits Eugene in secure holding area and clears the misunderstanding,b98cf008b2c2438f8ff99d56fc1fca86,,4
eugene,candace,Eugene begs for a second chance from Candace after being thrown out of Mansion,b98cf008b2c2438f8ff99d56fc1fca86,,4
tucker,hugh hefner,discussion between Tucker and Hugh Hefner about Tucker's issues with women,b98cf008b2c2438f8ff99d56fc1fca86,,4
hefner,tucker,Hugh Hefner calls security upon learning about Tucker's actions towards his girlfriend,b98cf008b2c2438f8ff99d56fc1fca86,,4
hefner,moore and cregger,"Hefner offered the script of Miss March to Moore and Cregger, but they initially rejected it as a writing exercise. They developed the project without Hefner's involvement.",f8614db265264448a10347958de61488,,4
hefner,wagner,"Wagner was originally cast as Hefner in Miss March, but the role was eventually portrayed by someone else.",f8614db265264448a10347958de61488,,4
eugene,cindi,"After Cindi reveals to everyone outside that Horsedick was born without genitals, Eugene and Cindi make up and have sex, but during the credits, Eugene's doctor attempts to resuscitate a coma patient (who turns out to be Crystal) with a baseball bat, promising to kill Tucker.",f8614db265264448a10347958de61488,,4
tucker,firefighters,Tucker is handed over to the firefighters for a beheading by Candace in response to his actions.,f8614db265264448a10347958de61488,,4
candace,tucker,Candace decides to give Tucker another shot after he apologizes to her and begs for a second chance following his beheading by the firefighters.,f8614db265264448a10347958de61488,,4
