node_1,node_2,edge,chunk_id,count
bella cullen,edward cullen,"husband and wife, Bella falls pregnant with Edward's child and becomes a vampire due to his venom",88642300ffda4fcda6adb6fe2c7c2adc,4
bella cullen,jacob black,"best friends, Bella eventually gives birth to Jacob's daughter via imprinting",88642300ffda4fcda6adb6fe2c7c2adc,4
edward cullen,bella cullen,"husband and wife, Bella falls pregnant with Edward's child and becomes a vampire due to his venom",88642300ffda4fcda6adb6fe2c7c2adc,4
edward cullen,jacob black,romantic rivals,88642300ffda4fcda6adb6fe2c7c2adc,4
carlisle cullen,bella swan,helps Bella during her unnaturally accelerated pregnancy and provides human blood for Bella to drink,88642300ffda4fcda6adb6fe2c7c2adc,4
esme cullen,carlisle cullen,husband and wife,88642300ffda4fcda6adb6fe2c7c2adc,4
elizabeth reaser,carlisle cullen,"spouse relationship between Elizabeth Reaser's character, Esme Cullen, and the character of Carlisle played by another actor.",d15cf7b15d62496cbdd649129d65f2fc,4
ashley greene,alice cullen,"portrayal of a single individual, Ashley Greene, who embodies the character Alice Cullen in the movie.",d15cf7b15d62496cbdd649129d65f2fc,4
kellan lutz,emmett cullen,"spouse relationship between Kellan Lutz's character, Emmett, and another actor portraying Rosalie.",d15cf7b15d62496cbdd649129d65f2fc,4
nikki reed,rosalie hale,"portrayal of a single individual, Nikki Reed, who embodies the character Rosalie Hale in the movie.",d15cf7b15d62496cbdd649129d65f2fc,4
jackson rathbone,jasper hale,"portrayal of a single individual, Jackson Rathbone, who embodies the character Jasper Hale in the movie.",d15cf7b15d62496cbdd649129d65f2fc,4
billy burke,charlie swan,"portrayal of a single individual, Billy Burke, who embodies the character Charlie Swan in the movie.",d15cf7b15d62496cbdd649129d65f2fc,4
sarah clarke,renée dwyer,"portrayal of a single individual, Sarah Clarke, who embodies the character Renée Dwyer in the movie.",d15cf7b15d62496cbdd649129d65f2fc,4
ty olsson,phil dwyer,"portrayal of a single individual, Ty Olsson, who embodies the character Phil Dwyer in the movie.",d15cf7b15d62496cbdd649129d65f2fc,4
anna kendrick,jessica stanley,"portrayal of a single individual, Anna Kendrick, who embodies the character Jessica Stanley in the movie.",d15cf7b15d62496cbdd649129d65f2fc,4
michael welch,mike newton,"portrayal of a single individual, Michael Welch, who embodies the character Mike Newton in the movie.",d15cf7b15d62496cbdd649129d65f2fc,4
christian serratos,angela weber,"portrayal of a single individual, Christian Serratos, who embodies the character Angela Weber in the movie.",d15cf7b15d62496cbdd649129d65f2fc,4
justin chon,eric yorkie,"portrayal of a single individual, Justin Chon, who embodies the character Eric Yorkie in the movie.",d15cf7b15d62496cbdd649129d65f2fc,4
julia jones,leah clearwater,"portrayal of a single individual, Julia Jones, who embodies the character Leah Clearwater in the movie.",d15cf7b15d62496cbdd649129d65f2fc,4
julia jones,leah clearwater,older sister relationship,1ec8eeecf6be4dd7ac05bd618e73d917,4
seth clearwater,edward and jacob's friend,friendship with Edward and Jacob,1ec8eeecf6be4dd7ac05bd618e73d917,4
myanna buring,tanya,leadership role in Denali coven,1ec8eeecf6be4dd7ac05bd618e73d917,4
maggie grace,irina,member of Denali coven with deceased lover Laurent,1ec8eeecf6be4dd7ac05bd618e73d917,4
casey labow,kate,ability to release electric current over body,1ec8eeecf6be4dd7ac05bd618e73d917,4
michael sheen,aro,one of the three main founders of the Volturi with ability to read every thought a person has ever had once he has made physical contact,1ec8eeecf6be4dd7ac05bd618e73d917,4
jamie campbell bower,caius,one of the three main founders of the Volturi,1ec8eeecf6be4dd7ac05bd618e73d917,4
christopher heyerdahl,marcus,"ability to sense strength and nature of relationships, one of the three main founders of the Volturi",1ec8eeecf6be4dd7ac05bd618e73d917,4
charlie bewley,demetri,voltti guard with gifted tracking ability,1ec8eeecf6be4dd7ac05bd618e73d917,4
daniel cudmore,felix,"loyal servant to the volturi, one of their guards",1ec8eeecf6be4dd7ac05bd618e73d917,4
gil birmingham,billy black,quileute elder and jacob's physically disabled father,1ec8eeecf6be4dd7ac05bd618e73d917,4
chaske spencer,sam uley,alpha of the main werewolf pack,1ec8eeecf6be4dd7ac05bd618e73d917,4
tinsel korey,emily young,imprinted fiancée whom sam once hurt unintentionally,1ec8eeecf6be4dd7ac05bd618e73d917,4
bronson pelletier,jared cameron,Bronson Pelletier portrays the character of Jared Cameron in the movie.,a3a342c9039449c48117ad3c31a9f9d9,4
tinsel korey,emily young,"Tinsel Korey depicts Emily Young, Sam's imprinted fiancée whom he once unintentionally hurt in the movie.",a3a342c9039449c48117ad3c31a9f9d9,4
mackenzie foy,renesmee cullen,"Mackenzie Foy plays the role of Renesmee Cullen, Bella and Edward's half-mortal, half-immortal daughter in the movie.",a3a342c9039449c48117ad3c31a9f9d9,4
christian camargo,eleazar,"Christian Camargo essays the character of Eleazar, a member of the Denali coven who has the ability to identify the special powers of other vampires in the movie.",a3a342c9039449c48117ad3c31a9f9d9,4
mía maestro,carmen,"Mía Maestro depicts Carmen, a member of the Denali coven and mate of Eleazar in the movie.",a3a342c9039449c48117ad3c31a9f9d9,4
olga fonda,valentina,"Olga Fonda essays the role of Valentina, a secretary to the Volturi who announces Edward and Bella's wedding in the movie.",a3a342c9039449c48117ad3c31a9f9d9,4
stephenie meyer,attendee,Stephenie Meyer makes a cameo as an attendee of Edward and Bella's wedding in the movie.,a3a342c9039449c48117ad3c31a9f9d9,4
