node_1,node_2,edge,chunk_id,subEdge,related_nodes,count
movie,summary,"A movie has a summary that provides a brief overview of its plot, characters, and themes.",6820877bafdb45509af1c460fb9b9254,,,4
dragonball evolution,loosely based on the japanese dragon ball manga series created by akira toriyama,Dragonball Evolution is a 2009 American superhero film loosely based on the Japanese Dragon Ball manga series created by Akira Toriyama.,5db1754a99ea471eb0765ecb7e2dfb03,,,4
goku,reveals his past,"In the film, the teenager Goku reveals his past",5db1754a99ea471eb0765ecb7e2dfb03,,,4
lord piccolo,evil alien warlord,Goku sets out to fight the evil alien warlord Lord Piccolo who wishes to gain the powerful Dragon Balls and use them to take over Earth.,5db1754a99ea471eb0765ecb7e2dfb03,,,4
dragon balls,powerful,Lord Piccolo wishes to gain the powerful Dragon Balls,5db1754a99ea471eb0765ecb7e2dfb03,,,4
goku,fighter,Goku is a fighter,5db1754a99ea471eb0765ecb7e2dfb03,,,4
lord piccolo,wishes to take over earth,Lord Piccolo wishes to gain the powerful Dragon Balls and use them to take over Earth.,5db1754a99ea471eb0765ecb7e2dfb03,,,4
dragonball evolution,first official live-action adaptation of the dragon ball series,Dragonball Evolution is the first official live-action adaptation of the Dragon Ball series.,5db1754a99ea471eb0765ecb7e2dfb03,,,4
james wong,director,Dragonball Evolution is directed by James Wong,5db1754a99ea471eb0765ecb7e2dfb03,,,4
stephen chow,producer,Dragonball Evolution is produced by Stephen Chow,5db1754a99ea471eb0765ecb7e2dfb03,,,4
ben ramsey,writer,Dragonball Evolution is written by Ben Ramsey,5db1754a99ea471eb0765ecb7e2dfb03,,,4
justin chatwin,star,Dragonball Evolution stars Justin Chatwin,5db1754a99ea471eb0765ecb7e2dfb03,,,4
emmy rossum,star,Dragonball Evolution stars Emmy Rossum,5db1754a99ea471eb0765ecb7e2dfb03,,,4
james marsters,star,Dragonball Evolution stars James Marsters,5db1754a99ea471eb0765ecb7e2dfb03,,,4
jamie chung,star,Dragonball Evolution stars Jamie Chung,5db1754a99ea471eb0765ecb7e2dfb03,,,4
chow yun-fat,star,Dragonball Evolution stars Chow Yun-fat,5db1754a99ea471eb0765ecb7e2dfb03,,,4
joon park,star,Dragonball Evolution stars Joon Park,5db1754a99ea471eb0765ecb7e2dfb03,,,4
eriko tamura,star,Dragonball Evolution stars Eriko Tamura,5db1754a99ea471eb0765ecb7e2dfb03,,,4
asia,distributed in,"Dragonball Evolution was distributed in Japan and several other Asian countries on March 13, 2009.",5db1754a99ea471eb0765ecb7e2dfb03,,,4
north america,released in,"Dragonball Evolution was released in North America on April 10, 2009.",5db1754a99ea471eb0765ecb7e2dfb03,,,4
dragonball evolution,commercial failure,Dragonball Evolution was a commercial failure.,5db1754a99ea471eb0765ecb7e2dfb03,,,4
critics and fans alike,"lamented the script, cast, and unfaithfulness to the source material","Critics and fans alike lamented the script, cast, and unfaithfulness to the source material.",5db1754a99ea471eb0765ecb7e2dfb03,,,4
asia,released in,"Two thousand years ago, the Namekian was released in several other Asian countries.",5db1754a99ea471eb0765ecb7e2dfb03,,,4
adaptations,source material,failure at the box office serves as a factor for adaptations to deviate from the original source material,f1a74da1369646218e44fc1df6a63ffc,,,4
adaptations,loyalty,lack of loyalty in adaptations is attributed to their failure at the box office,f1a74da1369646218e44fc1df6a63ffc,,,4
king piccolo,namekian king piccolo,"King Piccolo, a character from the original source material, came to Earth and caused chaos",f1a74da1369646218e44fc1df6a63ffc,,,4
mafuba,enchantment,The Mafuba is a powerful enchantment used to seal King Piccolo away,f1a74da1369646218e44fc1df6a63ffc,,,4
king piccolo,failure at the box office,King Piccolo's breakout from his imprisonment results in failure at the box office for adaptations based on the original source material,f1a74da1369646218e44fc1df6a63ffc,,,4
piccolo,king piccolo,Piccolo is the son of King Piccolo and carries forward his evil intentions,f1a74da1369646218e44fc1df6a63ffc,,,4
goku,grandpa gohan,Grandpa Gohan gives Goku a Dragonball on his eighteenth birthday,f1a74da1369646218e44fc1df6a63ffc,,,4
bulma,capsule corporation,"Bulma, from the Capsule Corporation, has invented a device to locate Dragonballs",f1a74da1369646218e44fc1df6a63ffc,,,4
roshi,master roshi,"Goku seeks out Master Roshi, who has another Dragonball",f1a74da1369646218e44fc1df6a63ffc,,,4
paozu city,finds him in paozu city,Roshi is found in Paozu City during the group's search for another Dragonball,f1a74da1369646218e44fc1df6a63ffc,,,4
yamcha,desert bandit yamcha,"The desert bandit Yamcha sets a trap for the group, and Roshi convinces him to join them",f1a74da1369646218e44fc1df6a63ffc,,,4
chi-chi,competition,Chi-Chi is competing in The World Martial Arts Tournament,f1a74da1369646218e44fc1df6a63ffc,,,4
mai,henchwoman mai,"Mai, Piccolo's henchwoman, steals from the group during their search for another Dragonball and fights Chi-Chi in a match",f1a74da1369646218e44fc1df6a63ffc,,,4
dragonballs,search for dragonballs,The group is on a quest to find all seven Dragonballs,f1a74da1369646218e44fc1df6a63ffc,,,4
group,the world martial arts tournament,The group visits The World Martial Arts Tournament.,cc7f495416df42b2bdbac2c2d57311c4,,,4
chi-chi,mai,Chi-Chi fights Mai in a match at The World Martial Arts Tournament.,cc7f495416df42b2bdbac2c2d57311c4,"[{'node_1': 'Blood sample', 'node_2': 'Chi-Chi', 'edge': ""Mai steals a sample of Chi-Chi's blood at The World Martial Arts Tournament."", 'subEdge': [{'node_1': 'Appearance assumption', 'node_2': 'Mai', 'edge': 'Unable to tell Mai from Chi-Chi, Goku accidentally knocks out Chi-Chi and is shot by Mai.', 'subEdge': [{'node_1': 'Dragonballs', 'node_2': 'Mai', 'edge': ""Mai steals the team's Dragonballs.""}]}]}]",,4
chi-chi,goku,Chi-Chi helps Goku in his training to learn the Kamehameha Wave.,cc7f495416df42b2bdbac2c2d57311c4,"[{'node_1': 'Most powerful of ki-bending techniques', 'node_2': 'Kamehameha Wave', 'edge': 'The most powerful of the ki-bending techniques is the Kamehameha Wave.'}]",,4
roshi,sifu norris,Roshi consults his former teacher Sifu Norris.,cc7f495416df42b2bdbac2c2d57311c4,"[{'node_1': 'Preparing a new Mafuba enchantment', 'node_2': 'Roshi', 'edge': 'Roshi begins preparing a new Mafuba enchantment to reseal Piccolo.', 'subEdge': [{'node_1': 'Piccolo', 'node_2': 'Resealing', 'edge': 'Roshi uses the Mafuba on Piccolo.'}]}]",,4
chi-chi,piccolo,Mai assumes Chi-Chi's appearance.,cc7f495416df42b2bdbac2c2d57311c4,"[{'node_1': 'Goku', 'node_2': 'Accidentally knocking out Chi-Chi and being shot by Mai.', 'edge': 'Unable to tell Mai from Chi-Chi, Goku accidentally knocks out Chi-Chi and is shot by Mai.'}]",,4
solar eclipse,goku,The solar eclipse transforms Goku into Ōzaru.,cc7f495416df42b2bdbac2c2d57311c4,"[{'node_1': 'Ōzaru the Great Ape', 'node_2': 'Piccolo', 'edge': 'Piccolo reveals to Goku that he is his minion, Ōzaru the Great Ape, having been sent to Earth as an infant to destroy it.', 'subEdge': [{'node_1': 'Earth', 'node_2': 'Destruction', 'edge': 'Ōzaru the Great Ape was sent to Earth as an infant to destroy it.'}]}]",,4
roshi,piccolo,Ōzaru chokes Roshi to death.,cc7f495416df42b2bdbac2c2d57311c4,"[{'node_1': 'Dying words', 'node_2': 'Roshi', 'edge': ""Roshi's dying words enable Goku to fight back Ōzaru.""}]",,4
piccolo,goku,Goku engages Piccolo in a final battle.,cc7f495416df42b2bdbac2c2d57311c4,"[{'node_1': 'Defeating', 'node_2': 'Piccolo', 'edge': 'Seemingly defeats Piccolo with the Kamehameha Wave.'}]",,4
dragonballs,shenron,Goku uses the Dragonballs to summon Shenron.,cc7f495416df42b2bdbac2c2d57311c4,"[{'node_1': 'Roshi', 'node_2': 'Restoration back to life', 'edge': 'As the group celebrates, Roshi is restored back to life.'}]",,4
goku,kamehameha wave,defeating him with,32db8a2693984e52aece044702d41110,,,4
shenron,dragonballs,summons through,32db8a2693984e52aece044702d41110,,,4
bulma,dragonballs,declares that the scattered,32db8a2693984e52aece044702d41110,,,4
dragon ball,live-action film adaptation,"In 2002, 20th Century Fox acquired the live-action feature film rights to the Dragon Ball franchise from Shueisha. This led to a series of negotiations and offers made by various directors such as Stephen Chow, Robert Rodriguez, Mark A.Z. Dippé, and Zack Snyder who ultimately declined. James Wong was then approached by 20th Century Fox and RatPac-Dune Entertainment co-founder Brett to write and direct the film, which he accepted in 2007.",69f283fe061d4bae93b3b870579bfb9a,,,4
james wong,dragon ball live-action film adaptation director,"In 2007, James Wong was approached by 20th Century Fox and RatPac-Dune Entertainment co-founder Brett to write and direct the Dragon Ball live-action film adaptation, which he accepted.",69f283fe061d4bae93b3b870579bfb9a,,,4
dragon ball,creative consultant,"In 2002, when 20th Century Fox acquired the live-action feature film rights to the Dragon Ball franchise from Shueisha, publisher of Toriyama's original manga series, Akira Toriyama was engaged by 20th Century Fox as a creative consultant.",69f283fe061d4bae93b3b870579bfb9a,,,4
stephen chow,dragon ball live-action film adaptation director candidate,"In 2002, Stephen Chow was approached to direct the Dragon Ball live-action film adaptation, but ultimately declined the chance to direct.",69f283fe061d4bae93b3b870579bfb9a,,,4
robert rodriguez,dragon ball live-action film adaptation director candidate,"In 2002, Robert Rodriguez was offered to direct the Dragon Ball live-action film adaptation, but ultimately passed.",69f283fe061d4bae93b3b870579bfb9a,,,4
mark a.z. dippé,dragon ball live-action film adaptation director candidate,"In 2002, Mark A.Z. Dippé was offered to direct the Dragon Ball live-action film adaptation, but ultimately passed.",69f283fe061d4bae93b3b870579bfb9a,,,4
zack snyder,dragon ball live-action film adaptation director candidate,"In 2002, Zack Snyder was offered to direct the Dragon Ball live-action film adaptation, but ultimately passed.",69f283fe061d4bae93b3b870579bfb9a,,,4
jackie chan,goku in live-action dragon ball adaptation,"In 2013, when asked about the casting for main protagonist Goku in a Dragon Ball live-action film adaptation, Dragon Ball creator Akira Toriyama said that ""nobody came to mind"" for the role, but if ""it were back when Jackie Chan was still young, I suppose I would have thought nobody could play Goku but him."" However, in 1995, Jackie Chan had expressed some interest in adapting Dragon Ball into a live-action film, but he said it would require ""a lot of amazing special effects and an enormous budget.""",69f283fe061d4bae93b3b870579bfb9a,,,4
dragonball,fox,Fox then went on to send the script to writer/director James Wong who accepted.,51a9e0d8046443d0876301306d568007,,,4
dragonball,james wong,"James Wong and RatPac-Dune Entertainment co-founder Brett Ratner were announced as director and producer respectively, and the project was retitled Dragonball.",51a9e0d8046443d0876301306d568007,,,4
dragonball,ben ramsey,"Ben Ramsey's first draft was deemed too expensive to shoot,",51a9e0d8046443d0876301306d568007,,,4
dragonball,chow,Chow was a Dragon Ball fan,51a9e0d8046443d0876301306d568007,,,4
dragonball,goku,Justin Chatwin was selected to play the film's central character Goku.,51a9e0d8046443d0876301306d568007,,,4
lord piccolo,ron perlman,"Ron Perlman was originally offered the role of the villain Lord Piccolo, but turned it down to work on Hellboy II: The Golden Army.",51a9e0d8046443d0876301306d568007,,,4
dragonball,james marsters,James Marsters accepted the role,51a9e0d8046443d0876301306d568007,,,4
marsters,original anime adaptation,"Marsters described it as 'the coolest television cartoon in the last 50,000 years [because] it's got a Shakespearean sense of good and evil.'",61112e2528834ab9b65b5dfc98957af9,,,4
piccolo,force of good,Piccolo was 'thousands of years old and a very long time ago he used to be a force of good',61112e2528834ab9b65b5dfc98957af9,,,4
piccolo,bad argument,but [he] got into a bad argument and was put into prison for 2000 years,61112e2528834ab9b65b5dfc98957af9,,,4
piccolo,evil,and then tries to destroy the world.,61112e2528834ab9b65b5dfc98957af9,,,4
piccolo,thousands of years,Thousands of years old and,61112e2528834ab9b65b5dfc98957af9,,,4
marsters,decrepit complexion,Marsters and the make-up artist chose to give him a decrepit complexion to reflect his having been trapped for thousands of years stewing in his evil and thirst for vengeance.,61112e2528834ab9b65b5dfc98957af9,,,4
zhang yuqi,chi chi,"Originally, Piccolo was going to be depicted as a handsome creature, but Marsters and the make-up artist chose to give him a decrepit complexion instead of casting Zhang Yuqi for the part of Chi Chi, with whom he worked on CJ7.",61112e2528834ab9b65b5dfc98957af9,,,4
chi chi,stephen chow,"Stephen Chow originally wanted to cast Zhang Yuqi, with whom he worked on CJ7, for the part of Chi Chi.",61112e2528834ab9b65b5dfc98957af9,,,4
mexico city,principal photography,"Principal photography began on December 3, 2007, in Mexico City,",61112e2528834ab9b65b5dfc98957af9,,,4
universidad tecnológica de méxico,locations,Locations included the Universidad Tecnológica de México.,61112e2528834ab9b65b5dfc98957af9,,,4
sierra de órganos national park,shooting,"From January 2, 2008, the crew shot at Sierra de Órganos National Park.",61112e2528834ab9b65b5dfc98957af9,,,4
estado de méxico,shooting,The crew moved to Estado de México in March of that year for some shots at Nevado de Toluca.,61112e2528834ab9b65b5dfc98957af9,,,4
los angeles,shooting,"Shooting was also scheduled at Los Angeles,",61112e2528834ab9b65b5dfc98957af9,,,4
estado de méxico,nevado de toluca,The crew moved to Estado de México in March of that year for some shots at Nevado de Toluca.,3d46757af579462f80d827fa9d173093,,,4
oriental locations,oriental culture,"In adapting the Dragon Ball manga, the futuristic cities and flying vehicles were kept; however, the anthropomorphic creatures and talking animals (such as Turtle, Oolong, Puar, Shu, and Korin) were dropped. Many of the locations are very Oriental,",886393be1fb344119b0aa7b7763ff087,,,4
oriental culture,aztec influence,"...particularly from their temples,",886393be1fb344119b0aa7b7763ff087,,,4
rossum (character),blue wig,"It was thought that Rossum would wear a blue wig to resemble her manga counterpart, but it was ultimately decided that such a look was too unrealistic,",886393be1fb344119b0aa7b7763ff087,,,4
chatwin (character),goku's hair,"Chatwin did not wear a wig as the director felt Chatwin's hair resembled Goku's,",886393be1fb344119b0aa7b7763ff087,,,4
dragonball evolution,abandoned jeans factory,"Dragonball Evolution was shot in an abandoned jeans factory, also located in Durango, Mexico.",09281f6de1564ae09b463ec8396a8659,,,4
dragonball evolution,mexico,"Dragonball Evolution was shot in an abandoned jeans factory, also located in Durango, Mexico.",09281f6de1564ae09b463ec8396a8659,,,4
dragonball evolution,special effects,"Dragonball Evolution special effects were done by Amalgamated Dynamics,",09281f6de1564ae09b463ec8396a8659,,,4
dragonball evolution,visual effects,"Dragonball Evolution visual effects were done by Ollin Studios, Zoic Studios, and Imagine Engine.",09281f6de1564ae09b463ec8396a8659,,,4
theme song,dragonball evolution,"It was confirmed that the theme song would be ""Rule"" by Japanese singer Ayumi Hamasaki for Dragonball Evolution.",09281f6de1564ae09b463ec8396a8659,,,4
american pop artist brian anthony,dragonball evolution soundtrack,"Whose remixed song 'Worked Up' was released as a single in English territories, and is included on the home video releases as a bonus feature.",09281f6de1564ae09b463ec8396a8659,,,4
dragonball evolution: original motion picture soundtrack,brian tyler,"The score was composed by Brian Tyler, who recorded the score with an 82-piece ensemble of the Hollywood Studio Symphony at the Newman Scoring Stage at 20th Century Fox.",09281f6de1564ae09b463ec8396a8659,,,4
dragonball evolution: the junior novel,stacia deutsch and rhody cohon,"A film novelization, Dragonball Evolution: The Junior Novel, was written by Stacia Deutsch and Rhody Cohon. Aimed at children ages 8–15, the novel was released by Viz Media on February 24, 2009.",09281f6de1564ae09b463ec8396a8659,,,4
dragonball evolution,chapter books,A series of chapter books for readers 7–10 was released on the same day.,09281f6de1564ae09b463ec8396a8659,,,4
dragonball: evolution,"deutsch, robert","The three volumes subtitled The Discovery, The Search, and The Battle were also written by Deutsch and Cohan.",89a456f5ce0342fa9a785d96c706c6b9,,,4
dragonball: evolution,"cohan, mordecai","The three volumes subtitled The Discovery, The Search, and The Battle were also written by Deutsch and Cohan.",89a456f5ce0342fa9a785d96c706c6b9,,,4
