node_1,node_2,edge,chunk_id,node_3,node_4,node_5,node_6,node_7,count
fifty shades trilogy,movie's production,Fifty Shades trilogy is the source material being adapted into a movie.,84da7e03b00d4f84a7dba32d92af2128,,,,,,4
james,creative process,Author James sought to retain some control during the movie's creative process.,84da7e03b00d4f84a7dba32d92af2128,,,,,,4
michael de luca,production,De Luca was chosen by James to produce the film along with Dana Brunetti.,84da7e03b00d4f84a7dba32d92af2128,,,,,,4
kelly marcel,screenplay,Marcel was hired to write the screenplay for Fifty Shades of Grey.,84da7e03b00d4f84a7dba32d92af2128,,,,,,4
bret easton ellis,screenplay,Ellis expressed his desire to write the screenplay for Fifty Shades of Grey but was not chosen.,84da7e03b00d4f84a7dba32d92af2128,,,,,,4
patrick marber,character work,Marber was brought in by Taylor-Wood to do some 'character work' specifically for the script.,84da7e03b00d4f84a7dba32d92af2128,,,,,,4
mark bomback,script doctoring,Universal hired Mark Bomback for script doctoring on the movie.,84da7e03b00d4f84a7dba32d92af2128,,,,,,4
sam taylor-johnson,direction,Taylor-Johnson was chosen to direct the film.,84da7e03b00d4f84a7dba32d92af2128,,,,,,4
joe wright,director,The studio considered Joe Wright as a director but it proved unworkable due to his schedule.,84da7e03b00d4f84a7dba32d92af2128,,,,,,4
patty jenkins,director,Jenkins was also under consideration for the director role.,84da7e03b00d4f84a7dba32d92af2128,,,,,,4
charlie hunnam,christian grey,Charlie Hunnam was initially considered for the role of Christian Grey in 'Fifty Shades of Grey' but had to drop out due to scheduling conflicts.,32eecd7af66048cd95f325dbed5a2dac,,,,,,4
robert pattinson,christian grey,"Author E. L. James revealed that Robert Pattinson was originally her first choice for the role of Christian Grey, but she felt it would be 'weird' to cast him alongside his former 'Twilight' co-star Kristen Stewart.",32eecd7af66048cd95f325dbed5a2dac,,,,,,4
ian somerhalder,christian grey,"Ian Somerhalder expressed interest in playing the role of Christian Grey, but later admitted that his shooting schedule for 'The Vampire Diaries' would have conflicted with filming 'Fifty Shades of Grey'.",32eecd7af66048cd95f325dbed5a2dac,,,,,,4
chace crawford,christian grey,Chace Crawford expressed interest in playing the role of Christian Grey.,32eecd7af66048cd95f325dbed5a2dac,,,,,,4
dakota johnson,anastasia steele,Dakota Johnson was cast as Anastasia Steele in 'Fifty Shades of Grey' after being on a short list of other actresses considered for the role.,32eecd7af66048cd95f325dbed5a2dac,,,,,,4
christian grey,anastasia steele,"Initially, Hunnam turned down the role of Christian Grey but later reconsidered after reading the first book and feeling excited about bringing the character to life. Taylor-Johnson suggested a reading with Dakota Johnson, who was her favorite for the role of Anastasia Steele. This indicates a strong relation between Christian Grey and Anastasia Steele in the context provided.",27315055e35145889b7e06ce3e022387,,,,,,4
anastasia steele,christian grey,"Hunnam initially turned down the role of Christian Grey, but after a meeting with studio heads and reading the first book, he felt excited about playing the character. Taylor-Johnson suggested a reading with Dakota Johnson, who was her favorite for the role of Anastasia Steele. This suggests a relation between Christian Grey and Anastasia Steele in the context provided.",27315055e35145889b7e06ce3e022387,,,,,,4
anastasia steele,christian grey,"During the audition process, Emilia Clarke was offered the role of Anastasia but turned it down due to nudity requirements. Taylor-Johnson gave every actress who auditioned for the role of Anastasia four pages to read from Ingmar Bergman's Persona.",27315055e35145889b7e06ce3e022387,,,,,,4
christian grey,anastasia steele,"In the context provided, the studio originally wanted Ryan Gosling for Christian, but he was not interested in the role. Garrett Hedlund was also considered, but he could not connect with the character.",27315055e35145889b7e06ce3e022387,,,,,,4
taylor-johnson,dakota,chemistry between us. It felt exciting and fun and weird and compelling.,88f3ddcf02f94f4fa179a4c041bb1fa8,,,,,,4
producer dana brunetti,fans',"negative reaction that the casting drew from fans, [their] desire to do it, chemistry with other actor, etc. So if your favorite wasn't cast, then it is most likely due to something on that list. Keep that in mind while hating and keep perspective.",88f3ddcf02f94f4fa179a4c041bb1fa8,,,,,,4
alexander skarsgård,christian cooke,were at the top of the list to replace Hunnam as Christian Grey.,88f3ddcf02f94f4fa179a4c041bb1fa8,Theo James,François Arnaud,Scott Eastwood,Luke Bracey,Billy Magnussen,4
jennifer ehle,carla,"during October 2013, actress Jennifer Ehle was in talks for the role of Anastasia's mother Carla.",88f3ddcf02f94f4fa179a4c041bb1fa8,,,,,,4
hunnam,christian grey,due to conflicts with the schedule of his FX series Sons of Anarchy.,88f3ddcf02f94f4fa179a4c041bb1fa8,,,,,,4
victor rasuk,"josé rodriguez, jr.","On October 31, 2013, Victor Rasuk was cast as José Rodriguez, Jr.",88f3ddcf02f94f4fa179a4c041bb1fa8,,,,,,4
eloise mumford,kate kavanagh,"On November 22, 2013, Eloise Mumford was cast as Kate Kavanagh.",88f3ddcf02f94f4fa179a4c041bb1fa8,,,,,,4
rita ora,mia,"On December 2, 2013, singer Rita Ora was cast as Christian's younger sister Mia.",88f3ddcf02f94f4fa179a4c041bb1fa8,,,,,,4
christian grey,kate kavanagh,"Kate Kavanagh is cast as a character in the movie. She may have some relation to Christian Grey, but the context doesn't provide any further details.",481d9ddabb1e406489a66e4b4f9f1b0d,,,,,,4
rita ora,christian's younger sister mia,Singer Rita Ora was cast as Christian's younger sister Mia. This indicates a direct relationship between Rita Ora and the character of Mia.,481d9ddabb1e406489a66e4b4f9f1b0d,,,,,,4
marcia gay harden,"christian's mother, grace","Actress Marcia Gay Harden was cast as Christian's mother, Grace. This establishes a familial relationship between the two characters.",481d9ddabb1e406489a66e4b4f9f1b0d,,,,,,4
gastown district of vancouver,filming location,"The Gastown district in Vancouver served as a filming location for the movie. This suggests that scenes related to Christian Grey, Kate Kavanagh or Mia could have been filmed there.",481d9ddabb1e406489a66e4b4f9f1b0d,,,,,,4
bentall 5,filming location,Bentall 5 was used as the Grey Enterprises building in the movie. This indicates that Christian Grey's company could be based here.,481d9ddabb1e406489a66e4b4f9f1b0d,,,,,,4
university of british columbia,filming location and educational institution,"The University of British Columbia was used as Washington State University Vancouver in the movie, and Ana graduated from this university. This indicates that Ana may have some association with Christian Grey's sister or family.",481d9ddabb1e406489a66e4b4f9f1b0d,,,,,,4
fairmont hotel vancouver,filming location,The Fairmont Hotel Vancouver was used as the Heathman Hotel in the movie. This could suggest a connection between Christian Grey and this hotel.,481d9ddabb1e406489a66e4b4f9f1b0d,,,,,,4
