node_1,node_2,edge,chunk_id,node_3,node_4,node_5,node_6,count
movies,summary,a movie is represented by its summary,0360aefe15b2412bbc1a267536418bbe,,,,,4
slender man,"tall, slender, horrifying supernatural being","Slender Man is a well-known supernatural figure in internet lore, characterized by his tall and slender appearance, often depicted as menacing and predatory towards innocent children.",ecbe3da3967e48368fb1c82ccdf851b5,,,,,4
winsford,fictional small town,"The movie 'Slender Man' is set in a fictional small town called Winsford, Massachusetts.",ecbe3da3967e48368fb1c82ccdf851b5,,,,,4
hallie knudsen,one of the girls in the movie,"In the movie 'Slender Man', Hallie Knudsen is one of the main characters, a girl who is part of a group that discovers information about the Slender Man.",ecbe3da3967e48368fb1c82ccdf851b5,,,,,4
katie jensen,another girl in the movie,Katie Jensen is another one of the main characters in 'Slender Man'. She hosts a sleepover where the girls discuss and investigate information about the Slender Man.,ecbe3da3967e48368fb1c82ccdf851b5,,,,,4
chloe,another character in the movie,"Chloe is another character in 'Slender Man' who is part of the group investigating the Slender Man. She appears alongside Hallie Knudsen, Katie Jensen and Wren.",ecbe3da3967e48368fb1c82ccdf851b5,,,,,4
wren,another character in the movie,"In 'Slender Man', Wren is another character who is part of the group investigating the Slender Man. She appears alongside Hallie Knudsen, Katie Jensen and Chloe.",ecbe3da3967e48368fb1c82ccdf851b5,,,,,4
website containing a disturbing video,referred to in the movie,"In 'Slender Man', the girls come across a website that contains a disturbing video related to the Slender Man. This video serves as a significant plot point in the movie.",ecbe3da3967e48368fb1c82ccdf851b5,,,,,4
seducing and then abducting,attributes of slender man,"The Slender Man, as described in 'Slender Man', is known to seduce innocent children and subsequently abduct them.",ecbe3da3967e48368fb1c82ccdf851b5,,,,,4
top secret,description by a group of boys in the movie,"In 'Slender Man', a group of boys describe their evening plans as being top secret. The exact nature of these plans is not revealed in the movie.",ecbe3da3967e48368fb1c82ccdf851b5,,,,,4
slender man,katie,"Katie became involved in the occult and developed an unhealthy obsession with Slender Man sightings and videos, messaging Allison Riley about methods of reaching him. Slender Man infects people's minds similar to a virus, eventually either driving them completely insane or kidnapping them.",3532019b9f1e4f1fac3c2e4067469a12,,,,,4
