node_1,node_2,edge,chunk_id,edge1,edge2,count
movie,summary,A movie consists of a summary that provides a brief overview of its plot.,7c8ada1b9ca8496ea84f26bfe23e04ea,,,4
jack mccall,gift of gab,"literary agent Jack McCall uses his 'gift of gab' to get various book deals, indicating a positive association between the two concepts.",148648e6c22f4479a3a81ed0d7a88959,,,4
eddie murphy,silent role,"starring Eddie Murphy. It was four years after it was filmed. Critics panned the film as formulaic and outdated, and for miscasting Eddie Murphy in a mostly silent role.",148648e6c22f4479a3a81ed0d7a88959,Eddie Murphy played a mostly silent role in the film A Thousand Words.,"Critics panned the film A Thousand Words as formulaic and outdated, indicating a negative association between the two concepts. However, they also criticized Eddie Murphy's casting, suggesting a mixed association between the two concepts.",4
new age self-help guru dr. sinja,deceit,"New Age self-help guru Dr. Sinja saw through Jack's deceit but agreed to the deal, indicating a complex association between the two concepts.",148648e6c22f4479a3a81ed0d7a88959,,,4
bodhi tree,jack's backyard,"a Bodhi Tree appears in Jack's backyard, so he assumes it's a gift from Dr. Sinja.",148648e6c22f4479a3a81ed0d7a88959,A Bodhi Tree appeared in Jack's backyard.,"Jack assumed that the Bodhi Tree was a gift from Dr. Sinja, indicating an associative or causal relationship between the two concepts.",4
jack,bodhi tree,"After Jack mentions the bodhi tree, the tree starts losing leaves for every word spoken by Jack. The tree will die if it runs out of leaves, affecting both the tree and Jack.",5243faf4bb294514a655cadf6fa44fe9,,,4
jack,communication,Communication becomes difficult due to the limit on Jack's words affecting his ability to convey thoughts clearly.,5243faf4bb294514a655cadf6fa44fe9,,,4
jack,caroline,"When Caroline thinks that Jack's sudden silence is due to him not loving her anymore, she leaves him, leading to the loss of their marriage.",5243faf4bb294514a655cadf6fa44fe9,,,4
jack,homeless,Giving food to the homeless helps Jack in breaking the curse but fails as he drinks a lot of alcohol at night.,5243faf4bb294514a655cadf6fa44fe9,,,4
aaron,prank,"In the context, Aaron is seen playing a prank by implying that leaves are falling off during conversation. This can be interpreted as a relational aspect between Aaron and the word 'prank'.",713fd1ac84114e909b899d020725d726,,,4
eddie murphy,a thousand words,"Eddie Murphy stars in and is associated with the movie A Thousand Words, which received critical backlash for its poor quality and mediocre box office performance.",51c9cc74e052455a8848014b7590be9d,,,4
john carter,a thousand words,"Both John Carter and A Thousand Words were expected to gross $5 million on their opening weekends, but John Carter outperformed A Thousand Words by a significant margin.",51c9cc74e052455a8848014b7590be9d,,,4
silent house,a thousand words,"All three movies mentioned in the context were released around the same time, with Silent House and A Thousand Words both underperforming at the box office compared to John Carter.",51c9cc74e052455a8848014b7590be9d,,,4
rotten tomatoes,a thousand words,"A Thousand Words received a 0% approval rating on Rotten Tomatoes, which is the site's lowest possible rating, and was awarded their 'Moldy Tomato' award for being the worst-reviewed movie of 2012.",51c9cc74e052455a8848014b7590be9d,,,4
metacritic,a thousand words,"A Thousand Words received a score of 26 out of 100 on Metacritic, indicating 'generally unfavorable reviews'.",51c9cc74e052455a8848014b7590be9d,,,4
cinemascore,a thousand words,Audience polled by CinemaScore gave A Thousand Words an average grade of 'B-' on an A+ to F scale.,51c9cc74e052455a8848014b7590be9d,,,4
roger ebert,a thousand words,Roger Ebert of the Chicago Sun-Times gave A Thousand Words one and a half out of four stars and criticized its poor quality.,51c9cc74e052455a8848014b7590be9d,,,4
a thousand words,awfulness,"Everyone, it seems, is united by A Thousand Words' awfulness.",569b024da5fd4bffb2f974cb773ad776,,,4
eddie murphy,duct tape over his mouth,"shows Eddie Murphy with duct tape over his mouth,",569b024da5fd4bffb2f974cb773ad776,,,4
