node_1,node_2,edge,chunk_id,node_3,type,count
the last days of american crime,action,"The Last Days of American Crime is a 2020 American action thriller film directed by Olivier Megaton from a screenplay written by Karl Gajdusek, based on Rick Remender and Greg Tocchini's 2009 comic of the same name.",45eaa0cd5472440fbf1cd18392ca39bc,,,4
the last days of american crime,thriller film,"The Last Days of American Crime is a 2020 American action thriller film directed by Olivier Megaton from a screenplay written by Karl Gajdusek, based on Rick Remender and Greg Tocchini's 2009 comic of the same name.",45eaa0cd5472440fbf1cd18392ca39bc,,,4
the last days of american crime,comic,"The Last Days of American Crime is a 2020 American action thriller film directed by Olivier Megaton from a screenplay written by Karl Gajdusek, based on Rick Remender and Greg Tocchini's 2009 comic of the same name.",45eaa0cd5472440fbf1cd18392ca39bc,,,4
édgar ramírez,star,"Édgar Ramírez stars in The Last Days of American Crime, a 2020 American action thriller film directed by Olivier Megaton from a screenplay written by Karl Gajdusek, based on Rick Remender and Greg Tocchini's 2009 comic of the same name.",45eaa0cd5472440fbf1cd18392ca39bc,,,4
anna brewster,star,"Anna Brewster stars in The Last Days of American Crime, a 2020 American action thriller film directed by Olivier Megaton from a screenplay written by Karl Gajdusek, based on Rick Remender and Greg Tocchini's 2009 comic of the same name.",45eaa0cd5472440fbf1cd18392ca39bc,,,4
michael pitt,star,"Michael Pitt stars in The Last Days of American Crime, a 2020 American action thriller film directed by Olivier Megaton from a screenplay written by Karl Gajdusek, based on Rick Remender and Greg Tocchini's 2009 comic of the same name.",45eaa0cd5472440fbf1cd18392ca39bc,,,4
patrick bergin,star,"Patrick Bergin stars in The Last Days of American Crime, a 2020 American action thriller film directed by Olivier Megaton from a screenplay written by Karl Gajdusek, based on Rick Remender and Greg Tocchini's 2009 comic of the same name.",45eaa0cd5472440fbf1cd18392ca39bc,,,4
sharlto copley,star,"Sharlto Copley stars in The Last Days of American Crime, a 2020 American action thriller film directed by Olivier Megaton from a screenplay written by Karl Gajdusek, based on Rick Remender and Greg Tocchini's 2009 comic of the same name.",45eaa0cd5472440fbf1cd18392ca39bc,,,4
rory,bricke's crew,"Bricke's crew includes his brother Rory,",fd8dd00cd2bc4b02833378ab17e13202,,,4
money,stolen money,"Bricke saves the stolen money to escape to Canada,",fd8dd00cd2bc4b02833378ab17e13202,,,4
dumois syndicate,johnny dee,"The Dumois syndicate used Graham Bricke’s crew, including Johnny Dee and Rory, to test the API signal in prison,",fd8dd00cd2bc4b02833378ab17e13202,,,4
kevin cash,shelby dupree,"Kevin Cash is Shelby Dupree's fiancé,",fd8dd00cd2bc4b02833378ab17e13202,,,4
édgar ramírez,graham bricke,Édgar Ramírez stars as Graham Bricke in the film adaptation,57b00e95c8a147a7ba1ce2b11db2c06d,,,4
barry levine,kevin turen,"[{'source': 'Barry Levine', 'target': 'The Last Days of American Crime (film)'}, {'source': 'Kevin Turen', 'target': 'The Last Days of American Crime (film)'}]",57b00e95c8a147a7ba1ce2b11db2c06d,The Last Days of American Crime (film),both produce,4
