node_1,node_2,edge,chunk_id,node_3,node_4,count
anacondas,blood orchid,"The team of researchers is set for an expedition to search for the Blood Orchid, which they believe will bring humans to a longer and healthier life. Anacondas inhabit the island where they are searching.",c2c56839684546c39a3877310725bcd0,,,4
new york pharmaceutical firm wexel hall,blood orchid,The team of researchers is funded by New York pharmaceutical firm Wexel Hall to search for the Blood Orchid.,c2c56839684546c39a3877310725bcd0,,,4
gordon mitchell,cole burris,Gordon Mitchell and Cole Burris are both members of the team searching for the Blood Orchid.,c2c56839684546c39a3877310725bcd0,,,4
dr. jack byron,captain bill johnson,Dr. Jack Byron convinces Captain Bill Johnson to take an unsafe path during their search for the Blood Orchid.,c2c56839684546c39a3877310725bcd0,,,4
cole burris,gail stern,Cole Burris and Gail Stern are both members of the team searching for the Blood Orchid.,c2c56839684546c39a3877310725bcd0,,,4
dr. ben douglas,anaconda,Dr. Ben Douglas is attacked by a giant anaconda while searching for the Blood Orchid.,c2c56839684546c39a3877310725bcd0,,,4
gail stern,crocodile,Gail Stern falls into the water and is attacked by a crocodile while searching for the Blood Orchid.,c2c56839684546c39a3877310725bcd0,,,4
captain bill johnson,tran wu,Captain Bill Johnson and his partner Tran Wu take an unsafe path during their search for the Blood Orchid despite their misgivings.,c2c56839684546c39a3877310725bcd0,,,4
anaconda,blood orchid,"A giant anaconda emerges from the water and swallows Dr. Ben Douglas, who was searching for the Blood Orchid.",c2c56839684546c39a3877310725bcd0,,,4
anaconda,ben,A giant anaconda emerges from the water and swallows Ben.,1d430981e8f14d3cbcf1301917f56519,,,4
team,shore,The rest of the team reaches the shore.,1d430981e8f14d3cbcf1301917f56519,,,4
bill,largest snake,Bill assures them that it is the largest snake he has ever seen and that it should take weeks for it to grow hungry again.,1d430981e8f14d3cbcf1301917f56519,,,4
livingston,join,"They call for Bill's friend, John Livingston, who lives on the river, to join them,",1d430981e8f14d3cbcf1301917f56519,,,4
livingston,attacked,Livingston attacked and his boat wrecked.,1d430981e8f14d3cbcf1301917f56519,,,4
village,disemboweled anaconda,"They find a small native village and a disemboweled anaconda,",1d430981e8f14d3cbcf1301917f56519,,,4
orchids,food chain,"Orchids are a part of the food chain,",1d430981e8f14d3cbcf1301917f56519,,,4
snakes,unusually long lives,These snakes grow over unusually long lives.,1d430981e8f14d3cbcf1301917f56519,,,4
jack,orchids,"Jack realizes the orchids must be nearby,",1d430981e8f14d3cbcf1301917f56519,,,4
gail,orchids,Gail contends that the orchids may not work on humans.,1d430981e8f14d3cbcf1301917f56519,,,4
gordon,paralyzed,Gordon paralyzed using a previously collected spider to stop him from informing the others.,1d430981e8f14d3cbcf1301917f56519,,,4
sam,anacondas,"Sam falls into a pit filled with anacondas, but she manages to climb out of it while one of the snakes tries to get her.",8dde3fc583ea4a0dbbdf976a8ac80c83,,,4
bill,anaconda,"The anacondas try to get Bill, but he and the survivors manage to escape from them.",8dde3fc583ea4a0dbbdf976a8ac80c83,,,4
nerida tyson-chew,soundtrack,Nerida Tyson-Chew composes the soundtrack for the film 'Anacondas: The Hunt for the Blood Orchid'.,8dde3fc583ea4a0dbbdf976a8ac80c83,,,4
bill,sam,"The survivors of the anaconda attack - Bill, Sam, Cole, and Gail - make it back to the raft and head to Kota Bharu.",8dde3fc583ea4a0dbbdf976a8ac80c83,Cole,Gail,4
audiences,cinemascore,Audiences polled by CinemaScore gave the film an average grade of 'B' on an A+ to F scale.,2bc741910fc3412c97e31b79f0ac6ca0,,,4
film,razzie award,"The film was nominated for a Razzie Award for Worst Remake or Sequel, but lost to Scooby-Doo 2: Monsters Unleashed.",2bc741910fc3412c97e31b79f0ac6ca0,,,4
