node_1,node_2,edge,chunk_id,node_3,node_4,node_5,node_6,node_7,count
james,creative process,Author James sought to retain some control during the movie's creative process.,84da7e03b00d4f84a7dba32d92af2128,,,,,,4
mark bomback,script doctoring,Universal hired Mark Bomback for script doctoring on the movie.,84da7e03b00d4f84a7dba32d92af2128,,,,,,4
joe wright,director,The studio considered Joe Wright as a director but it proved unworkable due to his schedule.,84da7e03b00d4f84a7dba32d92af2128,,,,,,4
charlie hunnam,christian grey,Charlie Hunnam was initially considered for the role of Christian Grey in 'Fifty Shades of Grey' but had to drop out due to scheduling conflicts.,32eecd7af66048cd95f325dbed5a2dac,,,,,,4
robert pattinson,christian grey,"Author E. L. James revealed that Robert Pattinson was originally her first choice for the role of Christian Grey, but she felt it would be 'weird' to cast him alongside his former 'Twilight' co-star Kristen Stewart.",32eecd7af66048cd95f325dbed5a2dac,,,,,,4
ian somerhalder,christian grey,"Ian Somerhalder expressed interest in playing the role of Christian Grey, but later admitted that his shooting schedule for 'The Vampire Diaries' would have conflicted with filming 'Fifty Shades of Grey'.",32eecd7af66048cd95f325dbed5a2dac,,,,,,4
chace crawford,christian grey,Chace Crawford expressed interest in playing the role of Christian Grey.,32eecd7af66048cd95f325dbed5a2dac,,,,,,4
dakota johnson,anastasia steele,Dakota Johnson was cast as Anastasia Steele in 'Fifty Shades of Grey' after being on a short list of other actresses considered for the role.,32eecd7af66048cd95f325dbed5a2dac,,,,,,4
christian grey,anastasia steele,"Initially, Hunnam turned down the role of Christian Grey but later reconsidered after reading the first book and feeling excited about bringing the character to life. Taylor-Johnson suggested a reading with Dakota Johnson, who was her favorite for the role of Anastasia Steele. This indicates a strong relation between Christian Grey and Anastasia Steele in the context provided.",27315055e35145889b7e06ce3e022387,,,,,,4
anastasia steele,christian grey,"Hunnam initially turned down the role of Christian Grey, but after a meeting with studio heads and reading the first book, he felt excited about playing the character. Taylor-Johnson suggested a reading with Dakota Johnson, who was her favorite for the role of Anastasia Steele. This suggests a relation between Christian Grey and Anastasia Steele in the context provided.",27315055e35145889b7e06ce3e022387,,,,,,4
jennifer ehle,carla,"during October 2013, actress Jennifer Ehle was in talks for the role of Anastasia's mother Carla.",88f3ddcf02f94f4fa179a4c041bb1fa8,,,,,,4
victor rasuk,"josé rodriguez, jr.","On October 31, 2013, Victor Rasuk was cast as José Rodriguez, Jr.",88f3ddcf02f94f4fa179a4c041bb1fa8,,,,,,4
eloise mumford,kate kavanagh,"On November 22, 2013, Eloise Mumford was cast as Kate Kavanagh.",88f3ddcf02f94f4fa179a4c041bb1fa8,,,,,,4
rita ora,mia,"On December 2, 2013, singer Rita Ora was cast as Christian's younger sister Mia.",88f3ddcf02f94f4fa179a4c041bb1fa8,,,,,,4
christian grey,kate kavanagh,"Kate Kavanagh is cast as a character in the movie. She may have some relation to Christian Grey, but the context doesn't provide any further details.",481d9ddabb1e406489a66e4b4f9f1b0d,,,,,,4
rita ora,christian's younger sister mia,Singer Rita Ora was cast as Christian's younger sister Mia. This indicates a direct relationship between Rita Ora and the character of Mia.,481d9ddabb1e406489a66e4b4f9f1b0d,,,,,,4
marcia gay harden,"christian's mother, grace","Actress Marcia Gay Harden was cast as Christian's mother, Grace. This establishes a familial relationship between the two characters.",481d9ddabb1e406489a66e4b4f9f1b0d,,,,,,4
film,anne v. coates,The film was the last project worked on by prolific Academy Award-winning editor Anne V. Coates before her death in 2018.,1d5d5338b79448e5b08cdcea561ffcc1,,,,,,4
christian,flashbacks,Christian experiences flashbacks in an alternative ending of the film.,1d5d5338b79448e5b08cdcea561ffcc1,,,,,,4
ana,flashbacks,Ana experiences flashbacks in an alternative ending of the film.,1d5d5338b79448e5b08cdcea561ffcc1,,,,,,4
christian,rain,Christian jogs in the rain in an alternative ending of the film.,1d5d5338b79448e5b08cdcea561ffcc1,,,,,,4
ana,sobs,Ana sobs in her apartment in an alternative ending of the film.,1d5d5338b79448e5b08cdcea561ffcc1,,,,,,4
gift,note,Christian encounters a gift Ana gave him with the note: 'This reminded me of a happy time. —Ana' in an alternative ending of the film.,1d5d5338b79448e5b08cdcea561ffcc1,,,,,,4
