node_1,node_2,edge,chunk_id,subEdge,related_nodes,count
movie,summary,"A movie has a summary that provides a brief overview of its plot, characters, and themes.",6820877bafdb45509af1c460fb9b9254,,,4
dragonball evolution,loosely based on the japanese dragon ball manga series created by akira toriyama,Dragonball Evolution is a 2009 American superhero film loosely based on the Japanese Dragon Ball manga series created by Akira Toriyama.,5db1754a99ea471eb0765ecb7e2dfb03,,,4
goku,reveals his past,"In the film, the teenager Goku reveals his past",5db1754a99ea471eb0765ecb7e2dfb03,,,4
lord piccolo,evil alien warlord,Goku sets out to fight the evil alien warlord Lord Piccolo who wishes to gain the powerful Dragon Balls and use them to take over Earth.,5db1754a99ea471eb0765ecb7e2dfb03,,,4
dragon balls,powerful,Lord Piccolo wishes to gain the powerful Dragon Balls,5db1754a99ea471eb0765ecb7e2dfb03,,,4
goku,fighter,Goku is a fighter,5db1754a99ea471eb0765ecb7e2dfb03,,,4
dragonball evolution,first official live-action adaptation of the dragon ball series,Dragonball Evolution is the first official live-action adaptation of the Dragon Ball series.,5db1754a99ea471eb0765ecb7e2dfb03,,,4
justin chatwin,star,Dragonball Evolution stars Justin Chatwin,5db1754a99ea471eb0765ecb7e2dfb03,,,4
emmy rossum,star,Dragonball Evolution stars Emmy Rossum,5db1754a99ea471eb0765ecb7e2dfb03,,,4
james marsters,star,Dragonball Evolution stars James Marsters,5db1754a99ea471eb0765ecb7e2dfb03,,,4
jamie chung,star,Dragonball Evolution stars Jamie Chung,5db1754a99ea471eb0765ecb7e2dfb03,,,4
chow yun-fat,star,Dragonball Evolution stars Chow Yun-fat,5db1754a99ea471eb0765ecb7e2dfb03,,,4
joon park,star,Dragonball Evolution stars Joon Park,5db1754a99ea471eb0765ecb7e2dfb03,,,4
eriko tamura,star,Dragonball Evolution stars Eriko Tamura,5db1754a99ea471eb0765ecb7e2dfb03,,,4
asia,distributed in,"Dragonball Evolution was distributed in Japan and several other Asian countries on March 13, 2009.",5db1754a99ea471eb0765ecb7e2dfb03,,,4
north america,released in,"Dragonball Evolution was released in North America on April 10, 2009.",5db1754a99ea471eb0765ecb7e2dfb03,,,4
dragonball evolution,commercial failure,Dragonball Evolution was a commercial failure.,5db1754a99ea471eb0765ecb7e2dfb03,,,4
critics and fans alike,"lamented the script, cast, and unfaithfulness to the source material","Critics and fans alike lamented the script, cast, and unfaithfulness to the source material.",5db1754a99ea471eb0765ecb7e2dfb03,,,4
asia,released in,"Two thousand years ago, the Namekian was released in several other Asian countries.",5db1754a99ea471eb0765ecb7e2dfb03,,,4
adaptations,source material,failure at the box office serves as a factor for adaptations to deviate from the original source material,f1a74da1369646218e44fc1df6a63ffc,,,4
adaptations,loyalty,lack of loyalty in adaptations is attributed to their failure at the box office,f1a74da1369646218e44fc1df6a63ffc,,,4
mafuba,enchantment,The Mafuba is a powerful enchantment used to seal King Piccolo away,f1a74da1369646218e44fc1df6a63ffc,,,4
king piccolo,failure at the box office,King Piccolo's breakout from his imprisonment results in failure at the box office for adaptations based on the original source material,f1a74da1369646218e44fc1df6a63ffc,,,4
piccolo,king piccolo,Piccolo is the son of King Piccolo and carries forward his evil intentions,f1a74da1369646218e44fc1df6a63ffc,,,4
goku,grandpa gohan,Grandpa Gohan gives Goku a Dragonball on his eighteenth birthday,f1a74da1369646218e44fc1df6a63ffc,,,4
bulma,capsule corporation,"Bulma, from the Capsule Corporation, has invented a device to locate Dragonballs",f1a74da1369646218e44fc1df6a63ffc,,,4
roshi,master roshi,"Goku seeks out Master Roshi, who has another Dragonball",f1a74da1369646218e44fc1df6a63ffc,,,4
yamcha,desert bandit yamcha,"The desert bandit Yamcha sets a trap for the group, and Roshi convinces him to join them",f1a74da1369646218e44fc1df6a63ffc,,,4
group,the world martial arts tournament,The group visits The World Martial Arts Tournament.,cc7f495416df42b2bdbac2c2d57311c4,,,4
chi-chi,mai,Chi-Chi fights Mai in a match at The World Martial Arts Tournament.,cc7f495416df42b2bdbac2c2d57311c4,"[{'node_1': 'Blood sample', 'node_2': 'Chi-Chi', 'edge': ""Mai steals a sample of Chi-Chi's blood at The World Martial Arts Tournament."", 'subEdge': [{'node_1': 'Appearance assumption', 'node_2': 'Mai', 'edge': 'Unable to tell Mai from Chi-Chi, Goku accidentally knocks out Chi-Chi and is shot by Mai.', 'subEdge': [{'node_1': 'Dragonballs', 'node_2': 'Mai', 'edge': ""Mai steals the team's Dragonballs.""}]}]}]",,4
chi-chi,goku,Chi-Chi helps Goku in his training to learn the Kamehameha Wave.,cc7f495416df42b2bdbac2c2d57311c4,"[{'node_1': 'Most powerful of ki-bending techniques', 'node_2': 'Kamehameha Wave', 'edge': 'The most powerful of the ki-bending techniques is the Kamehameha Wave.'}]",,4
roshi,sifu norris,Roshi consults his former teacher Sifu Norris.,cc7f495416df42b2bdbac2c2d57311c4,"[{'node_1': 'Preparing a new Mafuba enchantment', 'node_2': 'Roshi', 'edge': 'Roshi begins preparing a new Mafuba enchantment to reseal Piccolo.', 'subEdge': [{'node_1': 'Piccolo', 'node_2': 'Resealing', 'edge': 'Roshi uses the Mafuba on Piccolo.'}]}]",,4
solar eclipse,goku,The solar eclipse transforms Goku into Ōzaru.,cc7f495416df42b2bdbac2c2d57311c4,"[{'node_1': 'Ōzaru the Great Ape', 'node_2': 'Piccolo', 'edge': 'Piccolo reveals to Goku that he is his minion, Ōzaru the Great Ape, having been sent to Earth as an infant to destroy it.', 'subEdge': [{'node_1': 'Earth', 'node_2': 'Destruction', 'edge': 'Ōzaru the Great Ape was sent to Earth as an infant to destroy it.'}]}]",,4
piccolo,goku,Goku engages Piccolo in a final battle.,cc7f495416df42b2bdbac2c2d57311c4,"[{'node_1': 'Defeating', 'node_2': 'Piccolo', 'edge': 'Seemingly defeats Piccolo with the Kamehameha Wave.'}]",,4
dragonballs,shenron,Goku uses the Dragonballs to summon Shenron.,cc7f495416df42b2bdbac2c2d57311c4,"[{'node_1': 'Roshi', 'node_2': 'Restoration back to life', 'edge': 'As the group celebrates, Roshi is restored back to life.'}]",,4
dragon ball,creative consultant,"In 2002, when 20th Century Fox acquired the live-action feature film rights to the Dragon Ball franchise from Shueisha, publisher of Toriyama's original manga series, Akira Toriyama was engaged by 20th Century Fox as a creative consultant.",69f283fe061d4bae93b3b870579bfb9a,,,4
dragonball,james wong,"James Wong and RatPac-Dune Entertainment co-founder Brett Ratner were announced as director and producer respectively, and the project was retitled Dragonball.",51a9e0d8046443d0876301306d568007,,,4
lord piccolo,ron perlman,"Ron Perlman was originally offered the role of the villain Lord Piccolo, but turned it down to work on Hellboy II: The Golden Army.",51a9e0d8046443d0876301306d568007,,,4
piccolo,force of good,Piccolo was 'thousands of years old and a very long time ago he used to be a force of good',61112e2528834ab9b65b5dfc98957af9,,,4
marsters,decrepit complexion,Marsters and the make-up artist chose to give him a decrepit complexion to reflect his having been trapped for thousands of years stewing in his evil and thirst for vengeance.,61112e2528834ab9b65b5dfc98957af9,,,4
zhang yuqi,chi chi,"Originally, Piccolo was going to be depicted as a handsome creature, but Marsters and the make-up artist chose to give him a decrepit complexion instead of casting Zhang Yuqi for the part of Chi Chi, with whom he worked on CJ7.",61112e2528834ab9b65b5dfc98957af9,,,4
chi chi,stephen chow,"Stephen Chow originally wanted to cast Zhang Yuqi, with whom he worked on CJ7, for the part of Chi Chi.",61112e2528834ab9b65b5dfc98957af9,,,4
mexico city,principal photography,"Principal photography began on December 3, 2007, in Mexico City,",61112e2528834ab9b65b5dfc98957af9,,,4
universidad tecnológica de méxico,locations,Locations included the Universidad Tecnológica de México.,61112e2528834ab9b65b5dfc98957af9,,,4
los angeles,shooting,"Shooting was also scheduled at Los Angeles,",61112e2528834ab9b65b5dfc98957af9,,,4
estado de méxico,nevado de toluca,The crew moved to Estado de México in March of that year for some shots at Nevado de Toluca.,3d46757af579462f80d827fa9d173093,,,4
dragonball evolution,abandoned jeans factory,"Dragonball Evolution was shot in an abandoned jeans factory, also located in Durango, Mexico.",09281f6de1564ae09b463ec8396a8659,,,4
dragonball evolution,mexico,"Dragonball Evolution was shot in an abandoned jeans factory, also located in Durango, Mexico.",09281f6de1564ae09b463ec8396a8659,,,4
dragonball evolution,special effects,"Dragonball Evolution special effects were done by Amalgamated Dynamics,",09281f6de1564ae09b463ec8396a8659,,,4
dragonball evolution,visual effects,"Dragonball Evolution visual effects were done by Ollin Studios, Zoic Studios, and Imagine Engine.",09281f6de1564ae09b463ec8396a8659,,,4
theme song,dragonball evolution,"It was confirmed that the theme song would be ""Rule"" by Japanese singer Ayumi Hamasaki for Dragonball Evolution.",09281f6de1564ae09b463ec8396a8659,,,4
dragonball evolution: the junior novel,stacia deutsch and rhody cohon,"A film novelization, Dragonball Evolution: The Junior Novel, was written by Stacia Deutsch and Rhody Cohon. Aimed at children ages 8–15, the novel was released by Viz Media on February 24, 2009.",09281f6de1564ae09b463ec8396a8659,,,4
dragonball: evolution,jump square,"The July 2008 issue of Jump Square published a manga by Daisuke Kadokuni, inspired by the Dragonball: Evolution.",89a456f5ce0342fa9a785d96c706c6b9,,,4
dragonball: evolution,daisuke kadokuni,"The July 2008 issue of Jump Square published a manga by Daisuke Kadokuni, inspired by the Dragonball: Evolution.",89a456f5ce0342fa9a785d96c706c6b9,,,4
dragonball: evolution,american film,"The context mentions that although Dragonball: Evolution is an American film, it was released in Japan and Hong Kong before its American release.",6bd4dc31cc9c4cc78e145621bfbbf3fa,,,4
dragonball: evolution,"march 13, 2009","The context mentions that Dragonball: Evolution was released in Japan and Hong Kong on March 13, 2009.",6bd4dc31cc9c4cc78e145621bfbbf3fa,,,4
dragonball: evolution,north america,"The context mentions that the initial release date for Dragonball: Evolution in North America was August 15, 2008, but it was later moved to April 2009.",6bd4dc31cc9c4cc78e145621bfbbf3fa,,,4
dragonball: evolution,"april 10, 2009","The context mentions that the final release date for Dragonball: Evolution in North America was April 10, 2009.",6bd4dc31cc9c4cc78e145621bfbbf3fa,,,4
dragonball: evolution,be@rbrick toys,The context mentions that Be@rbrick toys were released to coincide with the release of Dragonball: Evolution.,6bd4dc31cc9c4cc78e145621bfbbf3fa,,,4
dragonball: evolution,july 2008 issue of jump square,The context mentions that a manga inspired by Dragonball: Evolution was published in the July 2008 issue of Jump Square.,6bd4dc31cc9c4cc78e145621bfbbf3fa,,,4
dragonball: evolution,daisuke kadokuni,"The context mentions that a manga inspired by Dragonball: Evolution was published in the July 2008 issue of Jump Square, created by Daisuke Kadokuni.",6bd4dc31cc9c4cc78e145621bfbbf3fa,,,4
dragonball evolution,cinemascore,"The film's grade is discussed in the context, implying a connection between Dragonball Evolution and CinemaScore.",f6a848bd12c54270b72fbf55bf8c2698,,,4
anime,overly cartoonish,Christopher Monfette's review stated that the film captured 'the flavor of anime without becoming overly cartoonish',903f3b5a734d4fba8226c34b1a70fe7d,,,4
high school movie banter,dull,Jason Di Rosso mentioned 'dull high school movie banter' dialog in his review,903f3b5a734d4fba8226c34b1a70fe7d,,,4
uninspired,rob humanick,Slant Magazine's Rob Humanick used the word 'uninspired' to describe the film in his review,903f3b5a734d4fba8226c34b1a70fe7d,,,4
dragonball evolution,lowest-rated film on letterboxd,"As of August 19th, 2024, Dragonball Evolution holds the record as the lowest-rated film on Letterboxd with a 0.9 rating.",ca917c2b603349f4a808040cf9f840e9,,,4
dragonball evolution,chatwin was ill-cast as goku,"According to Jeffrey K. Lyles of The Gazette, Chatwin was ill-cast as Goku in the film Dragonball Evolution.",ca917c2b603349f4a808040cf9f840e9,,,4
dragon ball,toriyama,"Toriyama wrote: ""I had put Dragon Ball behind me, but seeing how much that live-action film ticked me off...""",0d6c21df9f5447f280c2ce3c54c7d8eb,,,4
dragonball: evolution,misled,Actor James Marsters expressed feelings that he was misled about Dragonball: Evolution,0d6c21df9f5447f280c2ce3c54c7d8eb,,,4
akira toriyama,dragonball evolution,"Following Akira Toriyama's death, Justin Chatwin sent condolences while also apologizing for the quality of Dragonball Evolution. This indicates that Akira Toriyama is associated with the creation of Dragonball and possibly played a role in the making or development of the film.",dbad398dabf843928a3306772efa068f,,,4
king piccolo,dragonball evolution,"James Marsters played King Piccolo in Dragonball Evolution, indicating an association between the character and the film.",dbad398dabf843928a3306772efa068f,,,4
dragon ball z,planned arc,The planned arc will feature elements from Dragon Ball Z.,9953b0599f384d199b1d9565cf5970ab,,,4
piccolo,piccolo jr.,Piccolo's reincarnation and redemption may merge Piccolo and his son Piccolo Jr. Into one character.,9953b0599f384d199b1d9565cf5970ab,,,4
goku's best friend,krillin,"Chatwin and Chung expressed their hopes that Goku's best friend Krillin would be included in a sequel, noting ""their dynamic in the anime's just too good not to use in this movie. If the studio knew better, they’d already have people lined up for auditions"".",9953b0599f384d199b1d9565cf5970ab,,,4
poor commercial and critical performance,planned sequels,The film's poor commercial and critical performance caused any planned sequels to be canceled.,9953b0599f384d199b1d9565cf5970ab,,,4
