node_1,node_2,edge,chunk_id,node_3,node_4,node_5,node_6,count
arthur fleck,joker,"Arthur Fleck, a failed clown and aspiring stand-up comedian, experiences mental illness and transforms into the menacing Joker.",5ab4d7e513dd4cb5a7d2f9ec69ea6a5f,,,,,4
gotham city,decaying gotham city,"The film is set in a decaying version of Gotham City, a fictional city closely associated with the Batman franchise.",5ab4d7e513dd4cb5a7d2f9ec69ea6a5f,,,,,4
joker,violent countercultural revolution,The emergence of Joker inspires a violent countercultural revolution against the wealthy in Gotham City.,5ab4d7e513dd4cb5a7d2f9ec69ea6a5f,,,,,4
arthur fleck,aspiring stand-up comedian,"Arthur Fleck is an aspiring stand-up comedian, a profession often associated with comedy and entertainment.",5ab4d7e513dd4cb5a7d2f9ec69ea6a5f,,,,,4
joker,dc comics characters,"The film loosely follows DC Comics characters, including the Joker.",5ab4d7e513dd4cb5a7d2f9ec69ea6a5f,,,,,4
arthur fleck,mental illness and nihilism,Arthur Fleck's descent into mental illness and nihilism is a significant aspect of the film.,5ab4d7e513dd4cb5a7d2f9ec69ea6a5f,,,,,4
robert de niro,supporting roles,Robert De Niro appears in supporting roles in the film.,5ab4d7e513dd4cb5a7d2f9ec69ea6a5f,,,,,4
zazie beetz,supporting roles,Zazie Beetz appears in supporting roles in the film.,5ab4d7e513dd4cb5a7d2f9ec69ea6a5f,,,,,4
frances conroy,supporting roles,Frances Conroy appears in supporting roles in the film.,5ab4d7e513dd4cb5a7d2f9ec69ea6a5f,,,,,4
warner bros. pictures,joker,Joker is distributed by Warner Bros. Pictures.,5ab4d7e513dd4cb5a7d2f9ec69ea6a5f,,,,,4
dc films,joker,Joker is produced by DC Films.,5ab4d7e513dd4cb5a7d2f9ec69ea6a5f,,,,,4
village roadshow pictures,joker,Joker is produced by Village Roadshow Pictures.,5ab4d7e513dd4cb5a7d2f9ec69ea6a5f,,,,,4
bron creative,joker,Joker is produced by Bron Creative.,5ab4d7e513dd4cb5a7d2f9ec69ea6a5f,,,,,4
joker,martin scorsese,"Phillips and Silver were inspired by the films of Martin Scorsese, particularly Taxi Driver (1976) and The King of Comedy (1982), while Scorsese was initially attached to the project as a producer.",6c21bc326cbd4a37af96b5548072499e,,,,,4
joker,batman: the killing joke (1988),The film loosely adapts plot elements from Batman: The Killing Joke (1988).,6c21bc326cbd4a37af96b5548072499e,,,,,4
