node_1,node_2,edge,chunk_id,node_3,node_4,node_5,node_6,node_7,node_8,node_9,node_10,count
the grand budapest hotel,2014 comedy-drama film,"The Grand Budapest Hotel is a 2014 comedy-drama film written, directed, and co-produced by Wes Anderson.",bee6d569ef9f4d1ab8b79532d367ea88,,,,,,,,,4
wes anderson,the grand budapest hotel,"Wes Anderson wrote, directed, and co-produced The Grand Budapest Hotel in 2014.",bee6d569ef9f4d1ab8b79532d367ea88,,,,,,,,,4
ralph fiennes,monsieur gustave h.,"Ralph Fiennes plays the role of Monsieur Gustave H., a famed concierge, in The Grand Budapest Hotel.",bee6d569ef9f4d1ab8b79532d367ea88,,,,,,,,,4
tilda swinton,wealthy dowager,"Tilda Swinton plays the role of a wealthy dowager in The Grand Budapest Hotel, who is later found murdered.",bee6d569ef9f4d1ab8b79532d367ea88,,,,,,,,,4
zubrowka,the grand budapest hotel,"The Grand Budapest Hotel is set in the fictional Eastern European country of Zubrowka, where Monsieur Gustave H. Is a concierge at a mountainside resort.",bee6d569ef9f4d1ab8b79532d367ea88,,,,,,,,,4
monsieur gustave h.,wealthy dowager,"In The Grand Budapest Hotel, Monsieur Gustave H. Has a relationship with the wealthy dowager who later meets a mysterious fate.",bee6d569ef9f4d1ab8b79532d367ea88,,,,,,,,,4
tony revolori,zero,"In The Grand Budapest Hotel, Tony Revolori plays the role of Zero, who is recently befriended by Monsieur Gustave H.",bee6d569ef9f4d1ab8b79532d367ea88,,,,,,,,,4
fox searchlight pictures,the grand budapest hotel,Fox Searchlight supervised the commercial distribution of The Grand Budapest Hotel in 2014.,bee6d569ef9f4d1ab8b79532d367ea88,,,,,,,,,4
indian paintbrush,the grand budapest hotel,The Grand Budapest Hotel was produced by Indian Paintbrush in association with Studio Babelsberg and American Empirical Pictures.,bee6d569ef9f4d1ab8b79532d367ea88,,,,,,,,,4
studio babelsberg,the grand budapest hotel,The Grand Budapest Hotel was produced by Studio Babelsberg in association with Indian Paintbrush and American Empirical Pictures.,bee6d569ef9f4d1ab8b79532d367ea88,,,,,,,,,4
scott rudin,steven rales,"The Grand Budapest Hotel was co-produced by Indian Paintbrush, Scott Rudin, and Steven Rales.",bee6d569ef9f4d1ab8b79532d367ea88,Indian Paintbrush,,,,,,,,4
eastern european country,zubrowka,Zubrowka is a fictional Eastern European country where The Grand Budapest Hotel is set.,bee6d569ef9f4d1ab8b79532d367ea88,,,,,,,,,4
encroaching fascist regime,the grand budapest hotel,"In The Grand Budapest Hotel, there is an encroaching fascist regime, as Monsieur Gustave H. Faces a challenge.",bee6d569ef9f4d1ab8b79532d367ea88,,,,,,,,,4
anderson,collaborator hugo guinness,conceived The Grand Budapest Hotel as a fragmented tale following a character inspired by a common friend.,49d4260f86224a30aebe7f170af30771,,,,,,,,,4
the grand budapest hotel,a character inspired by a common friend,"initially struggled in brainstorming, but the experience touring Europe and researching the literature of Austrian novelist Stefan Zweig shaped their vision for the film.",49d4260f86224a30aebe7f170af30771,,,,,,,,,4
the grand budapest hotel,europe-set mid-century hollywood films,draws visually from,49d4260f86224a30aebe7f170af30771,,,,,,,,,4
the grand budapest hotel,the united states library of congress's photochrom print collection of alpine resorts,draws visually from,49d4260f86224a30aebe7f170af30771,,,,,,,,,4
fascism,the grand budapest hotel,explores themes of,49d4260f86224a30aebe7f170af30771,,,,,,,,,4
