node_1,node_2,edge,chunk_id,sub_edges,count
logan,wolverine,"Logan is a 2017 American superhero film starring Hugh Jackman as the titular character. This film, entitled Logan, follows an aged Wolverine.",5dd9f52ec0e44b868c8a5b3d17628b4a,,4
hugh jackman,logan,"In the 2017 American superhero film Logan, Hugh Jackman plays the titular character, Wolverine.",5dd9f52ec0e44b868c8a5b3d17628b4a,,4
charles xavier,xavier,The film follows an extremely ill Charles Xavier (Patrick Stewart) who appears by the name Xavier in the movie.,5dd9f52ec0e44b868c8a5b3d17628b4a,,4
marvel entertainment,logan,"Logan is produced by Marvel Entertainment, which is a subsidiary of The Walt Disney Company's Marvel Studios.",5dd9f52ec0e44b868c8a5b3d17628b4a,,4
x-men film series,logan,"Logan is the tenth film in the X-Men film series, which began with X-Men in 2000.",5dd9f52ec0e44b868c8a5b3d17628b4a,,4
wolverine trilogy,logan,"The film is the third and final installment in the Wolverine trilogy, following X-Men Origins: Wolverine (2009) and The Wolverine (2013).",5dd9f52ec0e44b868c8a5b3d17628b4a,,4
mark millar,old man logan,"The film takes inspiration from the ""Old Man Logan"" comics storyline by Mark Millar.",5dd9f52ec0e44b868c8a5b3d17628b4a,,4
steve mcniven,old man logan,"The film takes inspiration from the ""Old Man Logan"" comics storyline by Mark Millar and Steve McNiven.",5dd9f52ec0e44b868c8a5b3d17628b4a,,4
laura,young mutant,The film follows an aged Wolverine (Hugh Jackman) and an extremely ill Charles Xavier (Patrick Stewart) who must defend a young mutant named Laura.,5dd9f52ec0e44b868c8a5b3d17628b4a,,4
donald pierce,reavers,"The Reavers, led by Donald Pierce (Boyd Holbrook), are the villains in this film.",5dd9f52ec0e44b868c8a5b3d17628b4a,,4
zander rice,reavers,"The Reavers, led by Zander Rice (Richard E. Grant), are the villains in this film.",5dd9f52ec0e44b868c8a5b3d17628b4a,,4
dafne keen,laura,"The film introduces Dafne Keen, who plays the role of Laura in her film debut.",5dd9f52ec0e44b868c8a5b3d17628b4a,,4
logan,wolverine,"Logan is a fictional character, known as Wolverine in the X-Men franchise. In this context, Jackman reprised his role as Logan/Wolverine in the 2024 film Deadpool & Wolverine.",793a88a52625426a8ccb01f79200bcec,,4
logan,el paso,"In this context, Logan works as a limousine driver in El Paso, Texas.",793a88a52625426a8ccb01f79200bcec,,4
charles xavier,logan,Charles Xavier and Logan live together in an abandoned smelting plant in northern Mexico in this context.,793a88a52625426a8ccb01f79200bcec,,4
caliban,charles xavier,"In this context, Caliban takes care of 97-year-old Charles Xavier alongside Logan.",793a88a52625426a8ccb01f79200bcec,,4
charles xavier,telepathic seizures,"In this context, Charles Xavier suffers from dementia that causes him to have destructive telepathic seizures.",793a88a52625426a8ccb01f79200bcec,,4
telepathic seizures,x-men,One of Charles Xavier's telepathic seizures killed several of the X-Men years prior in this context.,793a88a52625426a8ccb01f79200bcec,,4
logan,adamantium skeletal grafts,"In this context, Logan's healing ability is failing due to his adamantium skeletal grafts slowly poisoning him.",793a88a52625426a8ccb01f79200bcec,,4
berlin international film festival,the film,"In this context, 'The film' premiered at the 67th Berlin International Film Festival on February 17, 2017.",793a88a52625426a8ccb01f79200bcec,,4
united states,the film,"In this context, 'The film' was theatrically released in the United States on March 3, 2017.",793a88a52625426a8ccb01f79200bcec,,4
national board of review,top ten films of 2017,"In this context, 'The film' was selected by the National Board of Review as one of the top ten films of 2017.",793a88a52625426a8ccb01f79200bcec,,4
academy awards,best adapted screenplay,"In this context, 'The film' was nominated for Best Adapted Screenplay at the 90th Academy Awards.",793a88a52625426a8ccb01f79200bcec,,4
logan,gabriela lópez,"Logan reluctantly agrees to escort Gabriela López, a former nurse for biotechnology corporation Alkali-Transigen, and a young girl named Laura to Eden, a supposed refuge near the American-Canadian border.",82a95548ef93427f85a4a49a5a6bc1cc,,4
gabriela lópez,donald pierce,"Gabriela's killer Donald Pierce confronts Logan and is looking for Laura, who has powers similar to his.",82a95548ef93427f85a4a49a5a6bc1cc,,4
