node_1,node_2,edge,chunk_id,node_3,node_4,node_5,edge1,count
riley,inside out,"Riley is the main character of the movie, and Inside Out represents the five emotions (joy, sadness, anger, disgust, and fear) that control her thoughts and actions.",c360bd3dbaa041e5b56c68a86718dc5c,,,,,4
pete docter,inside out,Pete Docter is the director of Inside Out. The movie's concept was conceived by him after observing changes in his daughter's personality as she grew older.,c360bd3dbaa041e5b56c68a86718dc5c,,,,,4
amy poehler,riley,Amy Poehler voices Riley in the movie. Riley is the main character and represents a young girl who is going through changes as her family relocates.,c360bd3dbaa041e5b56c68a86718dc5c,,,,,4
joy,sadness,"Joy and sadness are two of the five emotions that control Riley's thoughts and actions. They sometimes have conflicting opinions on how to handle situations, but they both play important roles in Riley's emotional well-being.",c360bd3dbaa041e5b56c68a86718dc5c,,,,,4
ronnie del carmen,inside out,"Ronnie del Carmen co-directed Inside Out with Pete Docter. He worked closely with Docter to develop the story and characters, and also consulted psychologists and neuroscientists to ensure accuracy.",c360bd3dbaa041e5b56c68a86718dc5c,,,,,4
phyllis smith,sadness,"Phyllis Smith voices Sadness in the movie. She is one of the five emotions that control Riley's thoughts and actions, and she often finds herself at odds with Joy.",c360bd3dbaa041e5b56c68a86718dc5c,,,,,4
richard kind,anger,"Richard Kind voices Anger in the movie. He is one of the five emotions that control Riley's thoughts and actions, and he sometimes has a hard time controlling his temper.",c360bd3dbaa041e5b56c68a86718dc5c,,,,,4
bill hader,fear,"Bill Hader voices Fear in the movie. He is one of the five emotions that control Riley's thoughts and actions, and he sometimes has a hard time facing his fears.",c360bd3dbaa041e5b56c68a86718dc5c,,,,,4
mindy kaling,disgust,"Mindy Kaling voices Disgust in the movie. She is one of the five emotions that control Riley's thoughts and actions, and she sometimes has a hard time dealing with unpleasant situations.",c360bd3dbaa041e5b56c68a86718dc5c,,,,,4
kaitlyn dias,riley,"Kaitlyn Dias voices young Riley in the movie. She is the main character at the beginning of the story, before her family relocates.",c360bd3dbaa041e5b56c68a86718dc5c,,,,,4
diane lane,riley's mother,"Diane Lane voices Riley's mother in the movie. She is a significant figure in Riley's life, and her actions often have an impact on Riley's emotions.",c360bd3dbaa041e5b56c68a86718dc5c,,,,,4
kyle maclachlan,riley's father,"Kyle MacLachlan voices Riley's father in the movie. He is a significant figure in Riley's life, and his actions often have an impact on Riley's emotions.",c360bd3dbaa041e5b56c68a86718dc5c,,,,,4
joy,riley andersen,"Leads and is a part of Riley's personality, influencing her actions through emotions.",317a112271104f4d86104bd7bfe16177,,,,,4
