node_1,node_2,edge,chunk_id,edge1,count
inception,christopher nolan,Christopher Nolan wrote and directed the science fiction action film Inception in 2010. ,17c93d1d08614d3ebdf8ac71eada132a,,4
leonardo dicaprio,professional thief,"In the film Inception, Leonardo DiCaprio plays a professional thief who steals information by infiltrating the subconscious of his targets.",17c93d1d08614d3ebdf8ac71eada132a,,4
inception,christopher nolan's wife emma thomas,Christopher Nolan produced Inception with his wife Emma Thomas in 2010.,17c93d1d08614d3ebdf8ac71eada132a,,4
inception,warner bros.,Warner Bros. Produced and distributed the film Inception in 2010.,17c93d1d08614d3ebdf8ac71eada132a,,4
christopher nolan's 2002 treatment,horror film envisioning 'dream stealers',"In 2002, Christopher Nolan presented a written 80-page treatment for a horror film to Warner Bros. About 'dream stealers', based on lucid dreaming.",17c93d1d08614d3ebdf8ac71eada132a,,4
christopher nolan,more experience before tackling a production of this magnitude and complexity,"After completing Insomnia in 2002, Christopher Nolan decided to shelve his 'dream stealers' project as he needed more experience before tackling a production of this magnitude and complexity.",17c93d1d08614d3ebdf8ac71eada132a,,4
christopher nolan,the dark knight's success,Christopher Nolan's reputation and success with The Dark Knight helped secure the film's US$100 million in advertising expenditure for Inception.,17c93d1d08614d3ebdf8ac71eada132a,,4
inception,filmed in six countries,"Inception was filmed in six countries, beginning in Tokyo on June 19 and ending in Canada on November 22.",17c93d1d08614d3ebdf8ac71eada132a,,4
inception's official budget,warner bros. and legendary,"The official budget for Inception was $160 million, split between Warner Bros. And Legendary.",17c93d1d08614d3ebdf8ac71eada132a,,4
inception's cast,"leonardo dicaprio, joseph gordon-levitt, marion cotillard, elliot page, tom hardy, cillian murphy, tom berenger, dileep rao, and michael caine.","The ensemble cast of Inception includes Leonardo DiCaprio, Joseph Gordon-Levitt, Marion Cotillard, Elliot Page, Tom Hardy, Cillian Murphy, Tom Berenger, Dileep Rao, and Michael Caine.",17c93d1d08614d3ebdf8ac71eada132a,,4
inception,2010,"Inception, an acclaimed film directed by Christopher Nolan, premiered in London on July 8, 2010, and was released worldwide in both conventional and IMAX theaters beginning on July 16, 2010.",eb0ed354fdc4424b82e081dd1c1719f0,,4
inception,christopher nolan,"Inception is a film directed by Christopher Nolan, known for his successful works in the genre of science fiction and thriller movies.",eb0ed354fdc4424b82e081dd1c1719f0,,4
cobb,arthur,Dom Cobb and Arthur are 'extractors' who perform corporate espionage using experimental dream-sharing technology to infiltrate their targets' subconscious and extract information.,eb0ed354fdc4424b82e081dd1c1719f0,,4
saito,maurice fischer,"The latest target of Cobb and Arthur is Saito, who is impressed with Cobb's ability to layer multiple dreams within each other. The son of Saito's competitor, Maurice Fischer, is also mentioned.",eb0ed354fdc4424b82e081dd1c1719f0,,4
inception,saito,"Saito offers to hire Cobb for the job of implanting an idea into a person's subconscious; performing 'inception' on Robert Fischer, the son of Saito's competitor Maurice Fischer.",eb0ed354fdc4424b82e081dd1c1719f0,,4
cobb,clearing criminal status,"In return for completing this task for Saito, Cobb will be granted clearance to return home to his children.",eb0ed354fdc4424b82e081dd1c1719f0,,4
inception,robert fischer,"The ultimate goal of the operation is to implant an idea into Robert Fischer's subconscious, which will cause his father's company to dissolve.",eb0ed354fdc4424b82e081dd1c1719f0,,4
fischer,subconscious,"Robert Fischer and his father Maurice are both associated with 'subconscious,' as Cobb and Arthur plan to infiltrate their subconsciouses during the operation.",eb0ed354fdc4424b82e081dd1c1719f0,,4
cobb,eames,"Cobb accepts the offer and assembles his team, which includes Eames.",71861690b6c54215abbfbe56706e54cf,,4
eames,ariadne,They are both members of Cobb's dream extraction team.,71861690b6c54215abbfbe56706e54cf,,4
ariadne,cobb,"Ariadne is tasked with designing the dream's architecture, something Cobb himself cannot do for fear of being sabotaged by his mind's projection of his late wife, Mal.",71861690b6c54215abbfbe56706e54cf,,4
mal,cobb,"After waking up, Mal still believed she was dreaming. Attempting to 'wake up,' she committed suicide and framed Cobb for her murder to force him to do the same.",71861690b6c54215abbfbe56706e54cf,,4
"fischer, robert",saito,The team sedates Robert Fischer into a three-layer shared dream on an airplane to America bought by Saito.,71861690b6c54215abbfbe56706e54cf,,4
"fischer, robert",eames,"Eames impersonates Robert's godfather, Peter Browning, to introduce the idea of an alternate will to dissolve the company.",71861690b6c54215abbfbe56706e54cf,,4
limbo,cobb,"While dying in the dream would usually awaken dreamers, Yusuf's sedatives will instead send them into 'Limbo': a world of infinite subconscious.",71861690b6c54215abbfbe56706e54cf,,4
saito,limbo,"After being wounded, Saito reveals that while dying in the dream would usually awaken dreamers, Yusuf's sedatives will instead send them into 'Limbo': a world of infinite subconscious.",71861690b6c54215abbfbe56706e54cf,,4
"browning, peter",eames,"Eames impersonates Robert's godfather, Peter Browning, to introduce the idea of an alternate will to dissolve the company.",71861690b6c54215abbfbe56706e54cf,,4
"browning, peter","fischer, robert","Eames impersonates Robert's godfather, Peter Browning.",71861690b6c54215abbfbe56706e54cf,,4
cobb,limbo,"After waking up, Mal still believed she was dreaming. Attempting to 'wake up,' she committed suicide and framed Cobb for her murder to force him to do the same.",71861690b6c54215abbfbe56706e54cf,,4
mal,cobb,"Cobb reveals that while dying in the dream would usually awaken dreamers, Yusuf's sedatives will instead send them into 'Limbo': a world of infinite subconscious.",71861690b6c54215abbfbe56706e54cf,,4
yusuf,arthur,drives the team around as they are sedated into a hotel dreamed by Arthur,5aa01f942fd648e798345e51ed5862e5,,4
cobb,browning,persuades Robert that Browning has kidnapped him to stop the dissolution,5aa01f942fd648e798345e51ed5862e5,,4
cobb,robert,says Cobb is a defensive projection,5aa01f942fd648e798345e51ed5862e5,,4
cobb,robert,leads Robert to another third level deeper as part of a ruse to enter Robert's subconscious,5aa01f942fd648e798345e51ed5862e5,,4
yusuf,arthur,"drives off a bridge forcing Arthur and Eames to improvise a new set of kicks synchronized with them hitting the water by rigging an elevator and the fortress, respectively, with explosives",5aa01f942fd648e798345e51ed5862e5,,4
mal,robert,kills Robert before he can be subjected to the inception,5aa01f942fd648e798345e51ed5862e5,,4
cobb,mal,"refused to return to reality; Cobb had to convince her it was only a dream, accidentally incepting in her the belief that the real world was still a dream",5aa01f942fd648e798345e51ed5862e5,,4
ariadne,mal's projection,kills Mal's projection,5aa01f942fd648e798345e51ed5862e5,,4
