node_1,node_2,edge,chunk_id,node_3,node_4,count
children of men,universal pictures,"Children of Men was released by Universal Pictures on September 22, 2006.",5e4a8b95a2cd4c27b949b93fe72414dc,,,4
uk,children of men,"Children of Men was released in the UK on September 22, 2006.",5e4a8b95a2cd4c27b949b93fe72414dc,,,4
us,children of men,"Children of Men was also released in the US on December 25, 2006.",5e4a8b95a2cd4c27b949b93fe72414dc,,,4
limited release,children of men,Children of Men had a limited release during its initial release.,5e4a8b95a2cd4c27b949b93fe72414dc,,,4
clear marketing strategy,children of men,"During awards season, there was a lack of clear marketing strategy for Children of Men by the film's distributor.",5e4a8b95a2cd4c27b949b93fe72414dc,,,4
critical acclaim,children of men,"Despite the limited release and lack of clear marketing strategy, Children of Men received critical acclaim.",5e4a8b95a2cd4c27b949b93fe72414dc,,,4
screenwriting,children of men,Children of Men was nominated for three Academy Awards for Best Adapted Screenplay.,5e4a8b95a2cd4c27b949b93fe72414dc,,,4
cinematography,children of men,Children of Men was also nominated for an Academy Award for Best Cinematography.,5e4a8b95a2cd4c27b949b93fe72414dc,,,4
film editing,children of men,Children of Men was also nominated for an Academy Award for Best Film Editing.,5e4a8b95a2cd4c27b949b93fe72414dc,,,4
bafta awards,children of men,"Children of Men was nominated for three BAFTA Awards, winning two for Best Cinematography and Best Production Design.",5e4a8b95a2cd4c27b949b93fe72414dc,,,4
saturn awards,children of men,Children of Men won the Saturn Award for Best Science Fiction Film.,5e4a8b95a2cd4c27b949b93fe72414dc,,,4
total human infertility,children of men,"In the year 2027, eighteen years of total human infertility have led to war and global depression.",5e4a8b95a2cd4c27b949b93fe72414dc,,,4
functioning government,children of men,The United Kingdom is one of the few remaining nations with a functioning government.,5e4a8b95a2cd4c27b949b93fe72414dc,,,4
police state,children of men,"Humanity faces extinction, and society has become a totalitarian police state in which immigrants are arrested and either imprisoned, deported, or executed in concentration camps.",5e4a8b95a2cd4c27b949b93fe72414dc,,,4
100 films,children of men,"In 2016, Children of Men was voted 13th among 100 films considered the best of the 21st century by 117 film critics from around the world.",5e4a8b95a2cd4c27b949b93fe72414dc,,,4
theo faron,julian taylor,"estranged wife, pair separated after their son's death during a 2008 flu pandemic",8f8418a82ac047e4af4acca59c28cdef,,,4
