node_1,node_2,edge,chunk_id,node_3,edge_1,edge_2,count
no country for old men,best picture,"The film won the Academy Award for Best Picture in 2007, which is considered one of the highest honors in the film industry.",ee4354b98c344105b0199bdcbf2ae4b1,,,,4
no country for old men,commercial success,"The film grossed $171 million worldwide against a budget of $25 million, making it a commercial success.",ee4354b98c344105b0199bdcbf2ae4b1,,,,4
cannes film festival,premiered in competition,The film premiered in competition at the 2007 Cannes Film Festival on May 19.,ee4354b98c344105b0199bdcbf2ae4b1,,,,4
joel coen,directors,"Joel Coen, alongside his brother Ethan, directed the film.",ee4354b98c344105b0199bdcbf2ae4b1,,,,4
anton chigurh,performance,Javier Bardem's portrayal of Anton Chigurh in the film received widespread critical acclaim and won several awards.,ee4354b98c344105b0199bdcbf2ae4b1,,,,4
76 awards,number of awards won by the film,"The film won 76 awards from 109 nominations from multiple organizations, which is a testament to its critical and commercial success.",ee4354b98c344105b0199bdcbf2ae4b1,,,,4
no country for old men,best film,"according to various sources, as of december 2021, no country for old men is considered one of the best films of the 2000s and the best film of the coen brothers by many.",57da6bfab1e740fcae07acb4ff3c18dc,,,,4
no country for old men,best film of the 21st century,"according to some sources, no country for old men is considered one of the best films of the 21st century.",57da6bfab1e740fcae07acb4ff3c18dc,,,,4
coen brothers',best film,"many consider no country for old men as the coen brothers' best film, according to sources like the guardian and peter travers of rolling stone.",57da6bfab1e740fcae07acb4ff3c18dc,,,,4
anton chigurh,psychopath,"according to a study published by researchers at the université libre de bruxelles, belgium, in 2014, hitman anton chigurh is the most clinically accurate portrayal of a psychopath to date.",57da6bfab1e740fcae07acb4ff3c18dc,,,,4
anton chigurh,escape,"in 1980, hitman anton chigurh escaped from police custody by strangling a deputy and stealing a car by killing the driver with a captive bolt pistol.",57da6bfab1e740fcae07acb4ff3c18dc,,,,4
anton chigurh,spare life,"later in the story, hitman anton chigurh spared the life of a gas station owner for correctly calling a coin toss.",57da6bfab1e740fcae07acb4ff3c18dc,,,,4
moss,hotel in the border town of eagle pass,Moss moves to a hotel in the border town of Eagle Pass.,856082f4815b4817915b34d0afee7e54,,,,4
