node_1,node_2,edge,chunk_id,node_3,node_4,node_5,count
the father,a psychological drama film,The Father is a 2020 psychological drama film,194b5626abb841738f0072515a3c08dd,,,,4
florian zeller,director of the father,Florian Zeller directed The Father in his directorial debut,194b5626abb841738f0072515a3c08dd,,,,4
le père,play by florian zeller,The Father is based on Florian Zeller's 2012 play Le Père,194b5626abb841738f0072515a3c08dd,,,,4
christopher hampton,co-writer of the father,Florian Zeller co-wrote the screenplay for The Father with Christopher Hampton on the basis of his play,194b5626abb841738f0072515a3c08dd,,,,4
anthony hopkins,octogenarian welsh man living with dementia in the father,Anthony Hopkins plays an octogenarian Welsh man living with dementia in The Father,194b5626abb841738f0072515a3c08dd,,,,4
olivia colman,also stars in the father,"Olivia Colman, Mark Gatiss, Imogen Poots, Rufus Sewell, and Olivia Williams also star in The Father",194b5626abb841738f0072515a3c08dd,,,,4
french–british co-production,the father is a french–british co-production,The Father is a French–British co-production,194b5626abb841738f0072515a3c08dd,,,,4
covid-19 pandemic,delayed the wide release of the father,The wide release of The Father was delayed by the COVID-19 pandemic,194b5626abb841738f0072515a3c08dd,,,,4
6 million budget,of the father,The Father was produced with a $6 million budget,194b5626abb841738f0072515a3c08dd,,,,4
best picture nomination,received by the father at the 93rd academy awards,"The Father received six nominations, including Best Picture, at the 93rd Academy Awards",194b5626abb841738f0072515a3c08dd,,,,4
best actor award,won by anthony hopkins for his performance in the father,Anthony Hopkins won Best Actor for his performance in The Father at the 93rd Academy Awards,194b5626abb841738f0072515a3c08dd,,,,4
best adapted screenplay award,won by florian zeller and christopher hampton for their work on the father,Florian Zeller and Christopher Hampton won Best Adapted Screenplay for their work on The Father at the 93rd Academy Awards,194b5626abb841738f0072515a3c08dd,,,,4
one of the best films of the 2020s and the 21st century,the father has been cited as,"Since then, it has been cited as one of the best films of the 2020s and the 21st century.",194b5626abb841738f0072515a3c08dd,,,,4
anne,anthony,parent-child relationship,a17de9794a3d44b9a1eebb6fd7f9f40f,,,,4
anthony,latest caregiver,accuses of stealing his watch,a17de9794a3d44b9a1eebb6fd7f9f40f,,,,4
anne,paris,moving to Paris with a man,a17de9794a3d44b9a1eebb6fd7f9f40f,,,,4
anthony,nursing home,will have to move him into a nursing home if he refuses caregiver,a17de9794a3d44b9a1eebb6fd7f9f40f,,,,4
anthony,james,no recollection of any men in Anne's life since the end of her marriage to James,a17de9794a3d44b9a1eebb6fd7f9f40f,,,,4
