node_1,node_2,edge,chunk_id,node_3,node_4,node_5,count
life of pi,ang lee,Life of Pi is a 2012 adventure-drama film directed and produced by Ang Lee,5304d078c19f4f7297df332f0b5ae570,,,,4
life of pi,2012,Life of Pi is a 2012 adventure-drama film,5304d078c19f4f7297df332f0b5ae570,,,,4
life of pi,adventure-drama film,Life of Pi is an adventure-drama film,5304d078c19f4f7297df332f0b5ae570,,,,4
pi patel,suraj sharma,Suraj Sharma plays the role of Pi Patel in Life of Pi,5304d078c19f4f7297df332f0b5ae570,,,,4
richard parker,bengal tiger,The character Richard Parker in Life of Pi is a Bengal tiger,5304d078c19f4f7297df332f0b5ae570,,,,4
life of pi,yann martel's 2001 novel,Life of Pi is based on Yann Martel's 2001 novel of the same name,5304d078c19f4f7297df332f0b5ae570,,,,4
david magee,screenwriter,Screenplay for Life of Pi written by David Magee,5304d078c19f4f7297df332f0b5ae570,,,,4
alfonso cuarón,director,Director Alfonso Cuarón was initially considered for directing Life of Pi before Ang Lee's appointment,5304d078c19f4f7297df332f0b5ae570,,,,4
m. night shyamalan,director,Director M. Night Shyamalan was earlier associated with the project before it moved to Ang Lee's hands,5304d078c19f4f7297df332f0b5ae570,,,,4
jean-pierre jeunet,director,French director Jean-Pierre Jeunet was considered for directing Life of Pi before Ang Lee's appointment,5304d078c19f4f7297df332f0b5ae570,,,,4
irrfan khan,actor,Irrfan Khan plays a lead role in Life of Pi,5304d078c19f4f7297df332f0b5ae570,,,,4
tabu,actress,Tabu also features in Life of Pi,5304d078c19f4f7297df332f0b5ae570,,,,4
rafe spall,actor,Rafe Spall plays a role in Life of Pi,5304d078c19f4f7297df332f0b5ae570,,,,4
gérard depardieu,actor,Gérard Depardieu also features in Life of Pi,5304d078c19f4f7297df332f0b5ae570,,,,4
adil hussain,actor,Indian actor Adil Hussain features in Life of Pi,5304d078c19f4f7297df332f0b5ae570,,,,4
life of pi,u.s.,"Life of Pi became a commercial success, having grossed over $609 million, and was theatrically released in the U.S. By 20th Century Fox.",b59b0e7314df41da83bc4ba83e8e07e0,,,,4
life of pi,new york film festival,"The film had its worldwide premiere as the opening film of the 50th New York Film Festival at both the Walter Reade Theater and Alice Tully Hall in New York City on September 28, 2012.",b59b0e7314df41da83bc4ba83e8e07e0,,,,4
pi patel,writer,The writer meets Pi Patel...,b59b0e7314df41da83bc4ba83e8e07e0,,,,4
pi patel,piscine molitor patel,"Pi's father names him Piscine Molitor Patel after Piscine Molitor, a famous French swimming pool.",b59b0e7314df41da83bc4ba83e8e07e0,,,,4
pi patel,montreal,"In Montreal, Canada, the writer meets Pi Patel...",b59b0e7314df41da83bc4ba83e8e07e0,,,,4
pi patel,pondicherry,Pi was raised in a polytheistic Hindu family in Pondicherry.,b59b0e7314df41da83bc4ba83e8e07e0,,,,4
pi patel,christianity,"At 12 years old, he was introduced to Christianity and then Islam, and decided to follow all three religions as he 'just wants to love God'.",b59b0e7314df41da83bc4ba83e8e07e0,,,,4
pi patel,polytheistic hindu family,Pi was raised in a polytheistic Hindu family.,b59b0e7314df41da83bc4ba83e8e07e0,,,,4
pi's mother,pi,supports his desire to grow,52692dacdd7a40a98b8c0dbd748222ea,,,,4
pi's rationalist father,pi,tries to secularize him,52692dacdd7a40a98b8c0dbd748222ea,,,,4
pi's family,zoo,owns,52692dacdd7a40a98b8c0dbd748222ea,,,,4
pi,bengal tiger named richard parker,takes interest in,52692dacdd7a40a98b8c0dbd748222ea,,,,4
pi's father,richard parker,forces him to witness it killing a goat,52692dacdd7a40a98b8c0dbd748222ea,,,,4
japanese freighter,family,books passage with the animals on,52692dacdd7a40a98b8c0dbd748222ea,,,,4
mariana trench,ship,drowns his family into,52692dacdd7a40a98b8c0dbd748222ea,,,,4
lifeboat,pi,"[{'src': 'Lifeboat', 'dst': 'Pi'}, {'src': 'Lifeboat', 'dst': 'freed plains zebra'}, {'src': 'Lifeboat', 'dst': 'bornean orangutan'}, {'src': 'Hyena', 'dst': 'Lifeboat'}]",52692dacdd7a40a98b8c0dbd748222ea,freed plains zebra,bornean orangutan,spotted hyena,4
pi,lifeboat,Pi fashions a small raft which he tethers to the lifeboat to be safe from Richard Parker and the sinking ship.,0cb4ec64dc2d4263a5e944f4f73bd28d,,,,4
pi,tiger,"After the sinking of the ship, Pi begins fishing and sustaining the tiger, named Richard Parker.",0cb4ec64dc2d4263a5e944f4f73bd28d,,,,4
richard parker,lifeboat,"When Pi realizes that caring for Richard Parker is helping him stay alive, he helps the tiger into the boat after it jumps into the sea to hunt for fish.",0cb4ec64dc2d4263a5e944f4f73bd28d,,,,4
island,pi,"Weeks later, Pi and Richard Parker encounter a floating island with edible plants, freshwater pools, and a large population of meerkats.",0cb4ec64dc2d4263a5e944f4f73bd28d,,,,4
island,richard parker,"However, at night the island transforms into a hostile environment and Richard Parker retreats to the lifeboat while Pi and the meerkats sleep in the trees.",0cb4ec64dc2d4263a5e944f4f73bd28d,,,,4
island,pi,Pi deduces that the island is carnivorous after finding a human tooth embedded in a flower.,0cb4ec64dc2d4263a5e944f4f73bd28d,,,,4
mexico,pi,"After over 200 days at sea, Pi and Richard Parker reach Mexico, but Richard Parker disappears into the jungle without acknowledging Pi.",0cb4ec64dc2d4263a5e944f4f73bd28d,,,,4
insurance agents,pi,"After being rescued and recovering in a hospital, insurance agents for the Japanese freighter company interview Pi to ask what really happened concerning why the ship sank.",0cb4ec64dc2d4263a5e944f4f73bd28d,,,,4
faith,god,"I see water as faith and air as God because the film is talking about faith and it contains life and every emotion for Pi. And air represents heaven, spirituality, and death. I believe that the thing we call faith or God is our emotional attachment to the unknown. As a Chinese, I believe in the Taoist Buddha, which is similar to the abstract sense of God presented in this book. We're not talking about religion but overpowering emotions.",5b9e9e50266d45e491523dcfa9dc25d0,,,,4
pi,richard parker,"In Pi's survival story, he replaces the orangutan with his mother, a Buddhist sailor with an amiable man, and the hyena with the ship's brutish cook. The cook kills the sailor and feeds on his flesh, then kills Pi's mother, after which Pi kills him and uses his remains as food and fish bait.",5b9e9e50266d45e491523dcfa9dc25d0,,,,4
pi,insurance agents,"The insurance agents are dissatisfied with Pi's story but leave without questioning him further, as they prefer the animal story over the human story because it provides a more satisfactory explanation for their purposes.",5b9e9e50266d45e491523dcfa9dc25d0,,,,4
author,animal story,The author recognizes that Pi's animal story may be an allegory for the human story and chooses the animal story because it is more satisfying to explain Pi's survival.,5b9e9e50266d45e491523dcfa9dc25d0,,,,4
author,human story,"Pi explains that it does not matter which story is true because his family died either way, and neither story provides the explanation the insurance company wanted.",5b9e9e50266d45e491523dcfa9dc25d0,,,,4
writer,copy of the insurance report,The writer reads from a copy of the insurance report that Pi survived his adventure 'in the company of an adult Bengal tiger.',5b9e9e50266d45e491523dcfa9dc25d0,,,,4
life of pi,ang lee,"Ang Lee, on the use of water and the spiritual element of Life of Pi - November 17, 2012.",decefc5c66174cc7b2fdeb74ad6a10dd,,,,4
fox 2000 pictures,elizabeth gabler,Elizabeth Gabler kept the project active for Life of Pi adaptation - February 2003.,decefc5c66174cc7b2fdeb74ad6a10dd,,,,4
dean georgaris,life of pi,Dean Georgaris wrote a screenplay for Life of Pi in October 2003.,decefc5c66174cc7b2fdeb74ad6a10dd,,,,4
m. night shyamalan,life of pi,"M. Night Shyamalan was attracted to the novel's main character, also from Pondicherry in India - October 2003.",decefc5c66174cc7b2fdeb74ad6a10dd,,,,4
